카테고리,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2020년03월_계_총인구수,"62,262","19,613","9,458","14,083","5,423","9,736","3,949"
2020년03월_계_연령구간인구수,"62,262","19,613","9,458","14,083","5,423","9,736","3,949"
2020년03월_계_0~9세,"3,548","1,221",543,689,168,778,149
2020년03월_계_10~19세,"4,735","1,747",827,"1,018",262,664,217
2020년03월_계_20~29세,"6,187","2,253",836,"1,336",512,"1,003",247
2020년03월_계_30~39세,"5,890","1,954",804,"1,271",367,"1,199",295
2020년03월_계_40~49세,"8,029","2,685","1,132","2,001",566,"1,229",416
2020년03월_계_50~59세,"11,502","3,528","1,773","2,696","1,122","1,658",725
2020년03월_계_60~69세,"11,467","3,098","1,891","2,533","1,305","1,693",947
2020년03월_계_70~79세,"6,792","1,925",992,"1,639",698,963,575
2020년03월_계_80~89세,"3,563","1,049",557,778,369,485,325
2020년03월_계_90~99세,503,137,99,112,50,55,50
2020년03월_계_100세 이상,46,16,4,10,4,9,3
2020년03월_남_총인구수,"31,990","9,964","4,836","7,181","2,827","5,156","2,026"
2020년03월_남_연령구간인구수,"31,990","9,964","4,836","7,181","2,827","5,156","2,026"
2020년03월_남_0~9세,"1,749",620,246,346,87,388,62
2020년03월_남_10~19세,"2,530",950,421,544,150,345,120
2020년03월_남_20~29세,"3,499","1,217",463,744,319,617,139
2020년03월_남_30~39세,"3,167","1,041",437,676,192,661,160
2020년03월_남_40~49세,"4,345","1,426",612,"1,078",317,663,249
2020년03월_남_50~59세,"6,083","1,857",934,"1,425",589,875,403
2020년03월_남_60~69세,"5,912","1,557",978,"1,271",679,945,482
2020년03월_남_70~79세,"3,196",860,501,762,350,449,274
2020년03월_남_80~89세,"1,360",391,219,302,134,193,121
2020년03월_남_90~99세,131,42,23,28,7,16,15
2020년03월_남_100세 이상,18,3,2,5,3,4,1
2020년03월_여_총인구수,"30,272","9,649","4,622","6,902","2,596","4,580","1,923"
2020년03월_여_연령구간인구수,"30,272","9,649","4,622","6,902","2,596","4,580","1,923"
2020년03월_여_0~9세,"1,799",601,297,343,81,390,87
2020년03월_여_10~19세,"2,205",797,406,474,112,319,97
2020년03월_여_20~29세,"2,688","1,036",373,592,193,386,108
2020년03월_여_30~39세,"2,723",913,367,595,175,538,135
2020년03월_여_40~49세,"3,684","1,259",520,923,249,566,167
2020년03월_여_50~59세,"5,419","1,671",839,"1,271",533,783,322
2020년03월_여_60~69세,"5,555","1,541",913,"1,262",626,748,465
2020년03월_여_70~79세,"3,596","1,065",491,877,348,514,301
2020년03월_여_80~89세,"2,203",658,338,476,235,292,204
2020년03월_여_90~99세,372,95,76,84,43,39,35
2020년03월_여_100세 이상,28,13,2,5,1,5,2
