카테고리,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2020년08월_계_총인구수,"9,211","6,525",866,461,"1,359"
2020년08월_계_연령구간인구수,"9,211","6,525",866,461,"1,359"
2020년08월_계_0~9세,417,308,40,17,52
2020년08월_계_10~19세,472,376,38,15,43
2020년08월_계_20~29세,831,611,72,27,121
2020년08월_계_30~39세,916,685,56,38,137
2020년08월_계_40~49세,"1,316","1,007",95,35,179
2020년08월_계_50~59세,"1,883","1,339",196,93,255
2020년08월_계_60~69세,"1,757","1,206",173,102,276
2020년08월_계_70~79세,"1,038",669,113,86,170
2020년08월_계_80~89세,493,279,76,32,106
2020년08월_계_90~99세,77,34,7,16,20
2020년08월_계_100세 이상,11,11,0,0,0
2020년08월_남_총인구수,"5,018","3,558",462,245,753
2020년08월_남_연령구간인구수,"5,018","3,558",462,245,753
2020년08월_남_0~9세,214,160,19,11,24
2020년08월_남_10~19세,236,174,26,11,25
2020년08월_남_20~29세,495,356,47,12,80
2020년08월_남_30~39세,545,409,30,23,83
2020년08월_남_40~49세,815,615,58,24,118
2020년08월_남_50~59세,"1,081",769,114,51,147
2020년08월_남_60~69세,934,639,99,51,145
2020년08월_남_70~79세,476,308,42,45,81
2020년08월_남_80~89세,196,113,25,12,46
2020년08월_남_90~99세,21,10,2,5,4
2020년08월_남_100세 이상,5,5,0,0,0
2020년08월_여_총인구수,"4,193","2,967",404,216,606
2020년08월_여_연령구간인구수,"4,193","2,967",404,216,606
2020년08월_여_0~9세,203,148,21,6,28
2020년08월_여_10~19세,236,202,12,4,18
2020년08월_여_20~29세,336,255,25,15,41
2020년08월_여_30~39세,371,276,26,15,54
2020년08월_여_40~49세,501,392,37,11,61
2020년08월_여_50~59세,802,570,82,42,108
2020년08월_여_60~69세,823,567,74,51,131
2020년08월_여_70~79세,562,361,71,41,89
2020년08월_여_80~89세,297,166,51,20,60
2020년08월_여_90~99세,56,24,5,11,16
2020년08월_여_100세 이상,6,6,0,0,0
