,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2021년06월_계_총인구수,"223,245","4,686","24,779","12,132","12,398","8,632","21,795","15,024","10,595","13,795","18,239","20,456","12,151","11,014","14,259","2,441","20,849"
2021년06월_계_연령구간인구수,"223,245","4,686","24,779","12,132","12,398","8,632","21,795","15,024","10,595","13,795","18,239","20,456","12,151","11,014","14,259","2,441","20,849"
2021년06월_계_0~9세,"14,731",104,"2,442",873,757,253,"1,683","1,384",369,790,914,"1,047",866,578,770,59,"1,842"
2021년06월_계_10~19세,"19,811",139,"3,322",884,961,376,"1,825","1,389",826,"1,092","1,750","1,472",946,791,"1,228",134,"2,676"
2021년06월_계_20~29세,"30,225",351,"2,569","1,350","1,465",765,"3,345","1,773","2,718","1,966","2,876","3,943","1,329","1,994","1,524",201,"2,056"
2021년06월_계_30~39세,"25,622",373,"2,813","1,576","1,470",724,"2,929","1,987","1,050","1,398","1,885","2,975","1,456","1,276","1,380",151,"2,179"
2021년06월_계_40~49세,"33,962",498,"4,837","1,748","1,706",996,"3,300","2,353","1,231","2,036","2,669","3,137","1,755","1,546","2,131",254,"3,765"
2021년06월_계_50~59세,"36,226",924,"3,523","1,928","2,146","1,485","3,575","2,353","1,532","2,290","3,277","3,268","2,067","1,842","2,501",445,"3,070"
2021년06월_계_60~69세,"33,790","1,153","2,965","1,970","2,005","1,937","3,007","2,031","1,537","2,263","2,740","2,692","1,977","1,678","2,450",583,"2,802"
2021년06월_계_70~79세,"19,035",778,"1,575","1,206","1,205","1,285","1,439","1,139",895,"1,312","1,425","1,342","1,171",855,"1,508",320,"1,580"
2021년06월_계_80~89세,"8,677",326,633,530,602,714,608,534,390,584,622,520,504,407,684,256,763
