카테고리,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2020년06월_계_총인구수,"504,461","231,837","7,721","30,940","54,694","3,572","9,938","4,137","1,916","25,138","17,567","12,708","4,816","2,941","30,523","25,226","272,624","40,676","2,884","4,879","2,544","5,001","2,131",601,"1,292","15,884","17,359","19,905","22,511","31,933","22,761","72,676","9,587"
2020년06월_계_연령구간인구수,"504,461","231,837","7,721","30,940","54,694","3,572","9,938","4,137","1,916","25,138","17,567","12,708","4,816","2,941","30,523","25,226","272,624","40,676","2,884","4,879","2,544","5,001","2,131",601,"1,292","15,884","17,359","19,905","22,511","31,933","22,761","72,676","9,587"
2020년06월_계_0~9세,"40,861","18,055",161,"2,519","5,892",76,581,77,33,"1,266",661,454,228,177,"3,660","2,270","22,806","4,032",72,124,36,103,36,7,23,595,"1,275",821,"1,540","3,043","1,608","8,539",952
2020년06월_계_10~19세,"47,309","21,518",259,"3,760","5,858",156,790,132,78,"1,562",838,739,279,204,"3,786","3,077","25,791","3,634",88,225,89,192,57,17,39,827,"1,903","1,012","2,125","3,070","2,466","8,899","1,148"
2020년06월_계_20~29세,"56,998","26,576",514,"3,669","6,273",294,"1,017",207,106,"3,242","1,771","1,086",600,683,"3,593","3,521","30,422","4,200",186,313,169,314,74,35,51,"1,658","2,192","2,337","2,428","3,956","2,941","8,661",907
2020년06월_계_30~39세,"60,979","27,772",482,"3,280","8,401",279,958,184,85,"3,049","1,721","1,086",550,357,"3,943","3,397","33,207","5,245",128,289,104,246,73,14,58,"1,773","1,900","2,421","2,364","4,368","2,383","10,615","1,226"
2020년06월_계_40~49세,"77,719","35,917",786,"5,264","10,079",335,"1,296",315,176,"3,426","2,248","1,487",539,353,"5,174","4,439","41,802","6,291",227,492,200,389,129,42,105,"1,985","2,766","2,596","3,319","4,888","3,352","13,344","1,677"
2020년06월_계_50~59세,"90,977","41,927","1,501","6,050","8,411",738,"1,841",726,354,"4,640","3,452","2,444",872,501,"5,568","4,829","49,050","7,088",497,911,489,911,408,119,212,"2,855","3,514","3,521","4,215","6,031","4,639","12,146","1,494"
2020년06월_계_60~69세,"76,143","35,699","1,898","4,042","6,075",898,"1,768",966,453,"5,014","4,115","3,102",956,394,"3,605","2,413","40,444","5,565",736,"1,095",621,"1,224",571,193,345,"3,291","2,479","4,087","3,959","4,200","3,469","7,223","1,386"
2020년06월_계_70~79세,"36,275","16,886","1,346","1,628","2,479",528,"1,123",838,384,"2,291","2,104","1,682",579,191,858,855,"19,389","2,936",501,856,471,894,423,106,253,"2,024",953,"2,279","1,815","1,642","1,349","2,303",584
2020년06월_계_80~89세,"15,015","6,571",679,648,"1,093",231,490,600,219,565,588,543,189,75,280,371,"8,444","1,461",393,500,309,627,312,54,179,763,321,731,651,646,492,818,187
2020년06월_계_90~99세,"2,084",865,90,75,119,36,72,88,27,80,64,80,22,6,54,52,"1,219",216,54,72,55,99,48,14,25,104,52,95,90,86,60,125,24
2020년06월_계_100세 이상,101,51,5,5,14,1,2,4,1,3,5,5,2,0,2,2,50,8,2,2,1,2,0,0,2,9,4,5,5,3,2,3,2
2020년06월_남_총인구수,"254,995","119,491","3,895","15,784","28,951","1,863","5,018","2,032",926,"12,960","9,019","6,399","2,592","1,751","15,517","12,784","135,504","20,336","1,436","2,401","1,239","2,409","1,061",305,628,"7,781","8,588","9,838","11,021","15,624","11,316","36,792","4,729"
2020년06월_남_연령구간인구수,"254,995","119,491","3,895","15,784","28,951","1,863","5,018","2,032",926,"12,960","9,019","6,399","2,592","1,751","15,517","12,784","135,504","20,336","1,436","2,401","1,239","2,409","1,061",305,628,"7,781","8,588","9,838","11,021","15,624","11,316","36,792","4,729"
2020년06월_남_0~9세,"21,200","9,371",79,"1,326","3,025",37,298,43,18,662,345,254,114,98,"1,879","1,193","11,829","2,110",35,66,12,44,15,4,10,294,643,422,778,"1,606",851,"4,458",481
2020년06월_남_10~19세,"24,876","11,347",147,"1,958","3,111",80,405,63,47,823,453,393,147,105,"1,998","1,617","13,529","1,894",55,122,45,84,34,9,23,415,"1,021",513,"1,144","1,625","1,283","4,675",587
2020년06월_남_20~29세,"32,581","15,593",310,"2,123","3,702",172,572,125,62,"1,846","1,050",609,386,541,"2,113","1,982","16,988","2,367",111,193,94,188,54,18,27,910,"1,239","1,287","1,351","2,182","1,687","4,782",498
2020년06월_남_30~39세,"32,089","14,925",275,"1,649","4,539",171,524,106,49,"1,761","1,010",635,325,225,"1,884","1,772","17,164","2,680",77,163,71,163,47,14,35,"1,001",996,"1,370","1,204","2,211","1,241","5,285",606
2020년06월_남_40~49세,"39,036","18,542",490,"2,522","5,502",209,687,215,119,"1,870","1,263",818,324,190,"2,338","1,995","20,494","3,170",145,285,125,233,87,25,56,"1,060","1,243","1,394","1,574","2,247","1,545","6,467",838
2020년06월_남_50~59세,"45,662","21,754",868,"3,125","4,480",399,959,398,196,"2,249","1,756","1,246",475,264,"2,829","2,510","23,908","3,571",268,505,275,490,227,61,120,"1,404","1,652","1,649","2,006","2,804","2,145","6,013",718
2020년06월_남_60~69세,"37,395","17,681",924,"2,060","3,098",473,898,485,221,"2,351","1,871","1,463",467,207,"1,929","1,234","19,714","2,767",384,539,294,600,286,96,187,"1,524","1,230","1,801","1,851","2,072","1,725","3,705",653
2020년06월_남_70~79세,"16,904","8,020",567,806,"1,124",255,505,384,152,"1,177","1,035",778,275,93,470,399,"8,884","1,303",226,358,218,392,183,55,100,875,453,"1,088",850,712,648,"1,150",273
2020년06월_남_80~89세,"4,844","2,102",216,206,346,62,156,193,59,205,226,187,74,27,69,76,"2,742",429,129,161,94,189,113,18,64,277,100,289,240,153,179,236,71
2020년06월_남_90~99세,381,141,16,8,21,5,13,20,3,16,9,14,3,1,7,5,240,42,6,9,10,25,15,5,6,17,11,23,23,12,11,21,4
2020년06월_남_100세 이상,27,15,3,1,3,0,1,0,0,0,1,2,2,0,1,1,12,3,0,0,1,1,0,0,0,4,0,2,0,0,1,0,0
