,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2020년03월_계_총인구수,"285,431","7,094","8,043","7,400","2,326","1,613","1,960","2,687","3,169","3,029","3,406","5,426","4,488","4,591","2,645","1,604","3,527","4,976","7,230","22,563","9,374","11,970","38,966","8,749","23,962","14,655","25,127","15,625","6,816","32,410"
2020년03월_계_연령구간인구수,"285,431","7,094","8,043","7,400","2,326","1,613","1,960","2,687","3,169","3,029","3,406","5,426","4,488","4,591","2,645","1,604","3,527","4,976","7,230","22,563","9,374","11,970","38,966","8,749","23,962","14,655","25,127","15,625","6,816","32,410"
2020년03월_계_0~9세,"20,424",405,574,296,66,33,32,78,119,94,195,334,93,193,68,23,107,342,346,"1,736",445,521,"3,906",957,"1,681","1,376","2,407",660,595,"2,742"
2020년03월_계_10~19세,"28,887",595,625,550,138,71,105,161,164,136,171,381,211,293,115,89,171,355,437,"2,271",704,903,"4,366",944,"2,860","2,219","3,514","1,208",694,"4,436"
2020년03월_계_20~29세,"36,651",660,716,705,192,106,137,175,230,151,339,714,276,408,271,108,355,490,907,"2,580","1,387","1,402","4,917",912,"3,522","2,253","3,435","3,959",771,"4,573"
2020년03월_계_30~39세,"29,899",574,866,550,128,66,104,158,212,169,291,484,249,365,158,73,337,601,815,"2,493",904,"1,076","4,677","1,242","2,527","1,715","3,154","1,453",886,"3,572"
2020년03월_계_40~49세,"43,006",851,"1,075",861,219,145,187,248,335,262,333,602,425,547,265,155,439,752,896,"3,488","1,219","1,547","6,325","1,449","3,700","2,932","4,961","1,769","1,088","5,931"
2020년03월_계_50~59세,"49,791","1,253","1,457","1,374",453,282,385,386,563,540,577,970,786,866,555,246,578,956,"1,176","4,044","1,912","2,016","6,450","1,281","4,679","2,408","4,317","2,331","1,093","5,857"
2020년03월_계_60~69세,"38,833","1,354","1,354","1,368",442,368,425,606,656,697,628,971,984,876,505,365,723,813,"1,293","3,278","1,586","2,120","4,573","1,053","3,064",931,"1,992","2,011",835,"2,962"
2020년03월_계_70~79세,"23,673",838,812,974,399,276,329,510,530,561,511,613,813,567,383,309,556,443,894,"1,741",822,"1,671","2,431",629,"1,245",549,884,"1,414",496,"1,473"
