,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2020년08월_계_총인구수,"133,170","6,769","1,948","1,284","2,053","2,216",708,"3,251","4,633","18,895","9,950","5,954","4,945","10,323","17,959","11,145","15,751","15,386"
2020년08월_계_연령구간인구수,"133,170","6,769","1,948","1,284","2,053","2,216",708,"3,251","4,633","18,895","9,950","5,954","4,945","10,323","17,959","11,145","15,751","15,386"
2020년08월_계_0~9세,"8,949",271,55,29,44,64,17,93,97,"1,643",829,256,206,823,"1,374",751,715,"1,682"
2020년08월_계_10~19세,"11,840",364,90,50,76,205,34,131,207,"2,425","1,132",438,321,884,"1,833","1,190","1,149","1,311"
2020년08월_계_20~29세,"14,750",465,123,67,79,86,30,178,385,"2,234","1,317",638,563,"1,077","2,663","1,316","1,931","1,598"
2020년08월_계_30~39세,"13,226",434,104,66,77,80,38,122,229,"2,051","1,064",512,412,"1,171","2,152","1,075","1,428","2,211"
2020년08월_계_40~49세,"18,583",707,140,90,141,181,76,245,419,"3,349","1,640",771,558,"1,491","2,717","1,729","1,946","2,383"
2020년08월_계_50~59세,"24,182","1,290",403,267,430,397,150,620,934,"3,403","1,779","1,039",917,"1,782","3,176","2,158","2,998","2,439"
2020년08월_계_60~69세,"22,230","1,645",519,337,557,557,184,931,"1,193","2,206","1,287","1,222","1,067","1,561","2,257","1,536","3,178","1,993"
2020년08월_계_70~79세,"12,414",967,291,223,382,405,93,544,699,"1,086",553,727,632,"1,013","1,101",912,"1,628","1,158"
2020년08월_계_80~89세,"6,113",541,190,135,240,207,70,334,406,447,298,294,242,456,612,419,674,548
2020년08월_계_90~99세,811,83,28,18,21,34,15,50,61,45,49,52,25,46,73,54,98,59
2020년08월_계_100세 이상,72,2,5,2,6,0,1,3,3,6,2,5,2,19,1,5,6,4
2020년08월_남_총인구수,"66,804","3,447","1,050",660,"1,061","1,128",357,"1,662","2,440","9,299","4,913","2,957","2,458","5,181","8,952","5,574","7,874","7,791"
2020년08월_남_연령구간인구수,"66,804","3,447","1,050",660,"1,061","1,128",357,"1,662","2,440","9,299","4,913","2,957","2,458","5,181","8,952","5,574","7,874","7,791"
2020년08월_남_0~9세,"4,577",142,33,18,23,37,5,50,48,825,441,125,104,439,694,378,359,856
2020년08월_남_10~19세,"6,121",192,56,25,41,109,18,78,121,"1,214",575,229,166,462,932,626,622,655
2020년08월_남_20~29세,"8,188",262,82,35,58,51,21,103,246,"1,226",690,335,322,592,"1,463",743,"1,088",871
2020년08월_남_30~39세,"6,911",235,64,41,46,44,22,71,152,"1,007",521,296,227,596,"1,137",548,782,"1,122"
2020년08월_남_40~49세,"9,560",389,81,56,89,112,46,147,259,"1,600",804,403,301,794,"1,333",848,"1,010","1,288"
2020년08월_남_50~59세,"12,383",693,227,138,221,210,84,326,489,"1,727",892,516,463,899,"1,612","1,147","1,454","1,285"
2020년08월_남_60~69세,"11,037",856,289,184,296,294,88,486,627,"1,080",645,577,481,756,"1,141",755,"1,520",962
2020년08월_남_70~79세,"5,616",462,142,109,194,195,39,262,322,456,229,343,298,453,444,370,776,522
2020년08월_남_80~89세,"2,209",197,64,52,83,71,29,125,161,156,104,118,88,168,183,148,243,219
2020년08월_남_90~99세,179,19,10,1,7,5,5,13,14,8,11,13,8,15,13,9,19,9
2020년08월_남_100세 이상,23,0,2,1,3,0,0,1,1,0,1,2,0,7,0,2,1,2
2020년08월_여_총인구수,"66,366","3,322",898,624,992,"1,088",351,"1,589","2,193","9,596","5,037","2,997","2,487","5,142","9,007","5,571","7,877","7,595"
2020년08월_여_연령구간인구수,"66,366","3,322",898,624,992,"1,088",351,"1,589","2,193","9,596","5,037","2,997","2,487","5,142","9,007","5,571","7,877","7,595"
2020년08월_여_0~9세,"4,372",129,22,11,21,27,12,43,49,818,388,131,102,384,680,373,356,826
2020년08월_여_10~19세,"5,719",172,34,25,35,96,16,53,86,"1,211",557,209,155,422,901,564,527,656
2020년08월_여_20~29세,"6,562",203,41,32,21,35,9,75,139,"1,008",627,303,241,485,"1,200",573,843,727
2020년08월_여_30~39세,"6,315",199,40,25,31,36,16,51,77,"1,044",543,216,185,575,"1,015",527,646,"1,089"
2020년08월_여_40~49세,"9,023",318,59,34,52,69,30,98,160,"1,749",836,368,257,697,"1,384",881,936,"1,095"
2020년08월_여_50~59세,"11,799",597,176,129,209,187,66,294,445,"1,676",887,523,454,883,"1,564","1,011","1,544","1,154"
2020년08월_여_60~69세,"11,193",789,230,153,261,263,96,445,566,"1,126",642,645,586,805,"1,116",781,"1,658","1,031"
2020년08월_여_70~79세,"6,798",505,149,114,188,210,54,282,377,630,324,384,334,560,657,542,852,636
2020년08월_여_80~89세,"3,904",344,126,83,157,136,41,209,245,291,194,176,154,288,429,271,431,329
2020년08월_여_90~99세,632,64,18,17,14,29,10,37,47,37,38,39,17,31,60,45,79,50
2020년08월_여_100세 이상,49,2,3,1,3,0,1,2,2,6,1,3,2,12,1,3,5,2
