카테고리,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2020년01월_계_총인구수,"1,540,540","281,468","350,202","213,328","90,417","43,681","81,840","66,806","68,933","46,377","39,040","42,014","37,194","45,467","24,806","22,526","31,567","27,165","27,709"
2020년01월_계_연령구간인구수,"1,540,540","281,468","350,202","213,328","90,417","43,681","81,840","66,806","68,933","46,377","39,040","42,014","37,194","45,467","24,806","22,526","31,567","27,165","27,709"
2020년01월_계_0~9세,"109,120","22,246","28,822","14,023","6,865","2,830","5,958","4,114","3,993","2,244","1,764","2,020","1,870","3,425","1,861","1,829","2,556","1,327","1,373"
2020년01월_계_10~19세,"142,857","27,920","36,731","20,044","9,045","3,991","7,736","5,478","5,455","3,619","2,998","3,095","2,690","4,019","1,886","2,089","2,351","1,757","1,953"
2020년01월_계_20~29세,"180,682","36,921","45,160","25,337","9,398","3,832","8,922","7,776","6,554","4,005","3,420","3,448","2,921","6,119","3,919","3,210","4,222","3,136","2,382"
2020년01월_계_30~39세,"170,183","34,799","45,363","22,197","9,526","4,184","9,292","6,272","6,296","3,634","2,989","3,376","3,365","4,860","2,862","2,640","3,892","2,229","2,407"
2020년01월_계_40~49세,"228,154","42,909","57,610","32,879","14,883","6,619","12,649","9,276","8,527","5,239","4,871","5,511","5,069","5,936","2,819","2,615","3,975","3,181","3,586"
2020년01월_계_50~59세,"270,181","47,032","60,215","36,820","15,646","7,604","15,206","11,703","13,071","9,009","7,565","8,342","7,265","7,478","4,007","3,672","5,442","4,989","5,115"
2020년01월_계_60~69세,"224,502","35,515","41,578","31,635","13,001","7,472","11,771","10,622","12,898","9,411","7,632","8,290","7,001","6,293","3,479","3,133","4,730","4,899","5,142"
2020년01월_계_70~79세,"135,828","21,220","21,524","19,433","7,987","4,860","6,693","7,177","7,325","5,628","4,901","5,052","4,555","4,862","2,488","2,090","2,749","3,578","3,706"
2020년01월_계_80~89세,"67,838","11,012","11,423","9,343","3,571","1,986","3,002","3,812","4,199","3,086","2,532","2,495","2,077","2,088","1,283","1,077","1,410","1,723","1,719"
2020년01월_계_90~99세,"10,400","1,782","1,672","1,519",468,245,578,529,577,472,320,346,336,344,187,155,227,332,311
2020년01월_계_100세 이상,795,112,104,98,27,58,33,47,38,30,48,39,45,43,15,16,13,14,15
