카테고리,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2020년08월_계_총인구수,"298,644","4,079","4,830","11,146","5,186","8,853","10,780","30,566","25,138","24,215","15,887","21,171","10,427","15,947","5,882","20,808","29,280","37,863","16,586"
2020년08월_계_연령구간인구수,"298,644","4,079","4,830","11,146","5,186","8,853","10,780","30,566","25,138","24,215","15,887","21,171","10,427","15,947","5,882","20,808","29,280","37,863","16,586"
2020년08월_계_0~9세,"22,444",108,412,606,180,592,906,"2,207","1,720","1,233",911,"2,464",599,"1,119",382,"1,348","2,748","3,211","1,698"
2020년08월_계_10~19세,"32,260",162,365,686,290,648,"1,323","3,190","2,517","1,779","1,126","2,382","1,069","1,657",424,"2,164","4,520","5,420","2,538"
2020년08월_계_20~29세,"45,346",426,522,"1,698",867,"1,151","1,661","5,459","4,697","4,325","3,017","2,538","1,596","2,190",726,"3,097","4,046","5,456","1,874"
2020년08월_계_30~39세,"37,587",366,655,"1,588",637,"1,051","1,454","4,420","3,679","3,023","2,416","3,138","1,109","1,755",719,"2,172","3,243","4,337","1,825"
2020년08월_계_40~49세,"49,579",467,741,"1,566",708,"1,379","1,946","5,009","4,036","3,316","2,299","3,621","1,457","2,284",735,"3,064","5,852","7,652","3,447"
2020년08월_계_50~59세,"49,537",686,706,"1,750",913,"1,642","1,744","5,296","3,959","4,121","2,360","3,043","1,768","2,716","1,188","4,004","4,985","6,127","2,529"
2020년08월_계_60~69세,"33,740",780,758,"1,517",784,"1,256",912,"2,654","2,570","3,398","1,876","2,400","1,570","2,572",919,"2,865","2,208","3,066","1,635"
2020년08월_계_70~79세,"19,001",748,482,"1,184",547,767,523,"1,516","1,401","2,038","1,218","1,141",852,"1,126",480,"1,382","1,136","1,717",743
2020년08월_계_80~89세,"7,899",288,163,481,231,302,275,730,483,851,577,369,341,451,254,630,461,761,251
2020년08월_계_90~99세,"1,176",40,26,66,28,55,35,83,73,117,85,73,62,72,49,79,73,115,45
2020년08월_계_100세 이상,75,8,0,4,1,10,1,2,3,14,2,2,4,5,6,3,8,1,1
2020년08월_남_총인구수,"146,398","1,998","2,378","5,505","2,678","4,520","5,514","14,647","12,474","11,813","7,588","10,648","5,139","7,727","3,045","9,942","14,283","18,610","7,889"
2020년08월_남_연령구간인구수,"146,398","1,998","2,378","5,505","2,678","4,520","5,514","14,647","12,474","11,813","7,588","10,648","5,139","7,727","3,045","9,942","14,283","18,610","7,889"
2020년08월_남_0~9세,"11,655",57,223,301,99,327,501,"1,090",836,639,479,"1,314",327,601,192,724,"1,443","1,649",853
2020년08월_남_10~19세,"16,932",85,193,378,167,310,676,"1,666","1,245",914,582,"1,398",584,912,231,"1,165","2,285","2,851","1,290"
2020년08월_남_20~29세,"23,273",235,292,827,438,606,895,"2,634","2,368","2,150","1,359","1,380",898,"1,199",400,"1,631","2,151","2,797","1,013"
2020년08월_남_30~39세,"19,006",200,332,849,369,564,779,"2,189","1,949","1,626","1,236","1,522",584,887,392,"1,056","1,523","2,140",809
2020년08월_남_40~49세,"23,861",278,411,800,389,779,970,"2,266","2,022","1,688","1,199","1,797",701,"1,038",384,"1,371","2,628","3,538","1,602"
2020년08월_남_50~59세,"24,301",356,342,905,461,841,942,"2,554","1,976","2,012","1,135","1,450",807,"1,184",642,"1,830","2,512","3,119","1,233"
2020년08월_남_60~69세,"15,856",356,325,685,385,603,447,"1,313","1,213","1,611",804,"1,105",716,"1,210",487,"1,372","1,048","1,483",693
2020년08월_남_70~79세,"8,444",314,201,555,259,370,193,636,671,868,547,533,389,524,230,596,512,731,315
2020년08월_남_80~89세,"2,805",108,53,190,107,101,103,273,177,281,224,138,122,155,79,182,163,273,76
2020년08월_남_90~99세,256,7,6,14,4,17,8,25,17,23,23,11,11,17,8,15,17,28,5
2020년08월_남_100세 이상,9,2,0,1,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0
2020년08월_여_총인구수,"152,246","2,081","2,452","5,641","2,508","4,333","5,266","15,919","12,664","12,402","8,299","10,523","5,288","8,220","2,837","10,866","14,997","19,253","8,697"
2020년08월_여_연령구간인구수,"152,246","2,081","2,452","5,641","2,508","4,333","5,266","15,919","12,664","12,402","8,299","10,523","5,288","8,220","2,837","10,866","14,997","19,253","8,697"
2020년08월_여_0~9세,"10,789",51,189,305,81,265,405,"1,117",884,594,432,"1,150",272,518,190,624,"1,305","1,562",845
2020년08월_여_10~19세,"15,328",77,172,308,123,338,647,"1,524","1,272",865,544,984,485,745,193,999,"2,235","2,569","1,248"
2020년08월_여_20~29세,"22,073",191,230,871,429,545,766,"2,825","2,329","2,175","1,658","1,158",698,991,326,"1,466","1,895","2,659",861
2020년08월_여_30~39세,"18,581",166,323,739,268,487,675,"2,231","1,730","1,397","1,180","1,616",525,868,327,"1,116","1,720","2,197","1,016"
2020년08월_여_40~49세,"25,718",189,330,766,319,600,976,"2,743","2,014","1,628","1,100","1,824",756,"1,246",351,"1,693","3,224","4,114","1,845"
2020년08월_여_50~59세,"25,236",330,364,845,452,801,802,"2,742","1,983","2,109","1,225","1,593",961,"1,532",546,"2,174","2,473","3,008","1,296"
2020년08월_여_60~69세,"17,884",424,433,832,399,653,465,"1,341","1,357","1,787","1,072","1,295",854,"1,362",432,"1,493","1,160","1,583",942
2020년08월_여_70~79세,"10,557",434,281,629,288,397,330,880,730,"1,170",671,608,463,602,250,786,624,986,428
2020년08월_여_80~89세,"5,094",180,110,291,124,201,172,457,306,570,353,231,219,296,175,448,298,488,175
2020년08월_여_90~99세,920,33,20,52,24,38,27,58,56,94,62,62,51,55,41,64,56,87,40
2020년08월_여_100세 이상,66,6,0,3,1,8,1,1,3,13,2,2,4,5,6,3,7,0,1
