카테고리,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2020년09월_계_총인구수,"165,991","9,161","30,362","5,511","9,641","2,444","3,721","3,611","5,135","5,181","15,888","12,113","23,596","20,998","18,629"
2020년09월_계_연령구간인구수,"165,991","9,161","30,362","5,511","9,641","2,444","3,721","3,611","5,135","5,181","15,888","12,113","23,596","20,998","18,629"
2020년09월_계_0~9세,"15,837",341,"4,106",198,452,62,103,101,186,203,"1,547","1,253","2,481","2,563","2,241"
2020년09월_계_10~19세,"15,647",568,"2,527",284,489,98,198,195,316,350,"1,812","1,035","2,429","2,547","2,799"
2020년09월_계_20~29세,"16,079",723,"2,401",383,924,141,297,277,377,398,"1,457","1,064","3,305","2,204","2,128"
2020년09월_계_30~39세,"22,944",717,"5,656",338,"1,147",129,224,225,300,319,"1,752","2,046","4,294","3,148","2,649"
2020년09월_계_40~49세,"26,626","1,123","5,326",563,"1,344",216,332,383,554,588,"2,593","2,044","4,068","3,781","3,711"
2020년09월_계_50~59세,"25,846","1,581","4,409",970,"1,927",364,632,680,963,891,"2,530","1,826","3,276","3,067","2,730"
2020년09월_계_60~69세,"20,670","1,848","3,155","1,188","1,641",609,846,774,"1,034","1,037","2,018","1,343","2,023","1,932","1,222"
2020년09월_계_70~79세,"13,221","1,317","1,661",858,"1,020",490,617,553,781,809,"1,313",893,"1,139","1,070",700
2020년09월_계_80~89세,"7,926",812,982,627,613,292,406,359,531,511,755,535,507,607,389
2020년09월_계_90~99세,"1,127",116,132,99,79,40,64,62,87,73,104,70,74,68,59
2020년09월_계_100세 이상,68,15,7,3,5,3,2,2,6,2,7,4,0,11,1
2020년09월_남_총인구수,"88,009","4,811","16,826","2,809","5,612","1,219","1,903","1,852","2,588","2,620","8,102","6,891","12,480","10,677","9,619"
2020년09월_남_연령구간인구수,"88,009","4,811","16,826","2,809","5,612","1,219","1,903","1,852","2,588","2,620","8,102","6,891","12,480","10,677","9,619"
2020년09월_남_0~9세,"8,092",186,"2,134",100,232,36,44,49,88,101,760,629,"1,245","1,334","1,154"
2020년09월_남_10~19세,"8,207",315,"1,339",145,262,55,107,101,168,196,940,519,"1,258","1,310","1,492"
2020년09월_남_20~29세,"9,423",446,"1,385",222,617,84,185,171,215,230,853,696,"1,890","1,220","1,209"
2020년09월_남_30~39세,"13,018",429,"3,185",192,797,79,125,130,168,187,904,"1,311","2,511","1,621","1,379"
2020년09월_남_40~49세,"14,996",680,"3,271",331,909,135,189,242,328,338,"1,382","1,286","2,158","1,928","1,819"
2020년09월_남_50~59세,"14,472",909,"2,641",560,"1,196",181,345,367,528,489,"1,379","1,097","1,705","1,604","1,471"
2020년09월_남_60~69세,"10,513",892,"1,682",600,866,304,439,373,506,514,"1,002",733,"1,025",958,619
2020년09월_남_70~79세,"6,174",605,811,407,490,236,299,281,380,357,597,407,489,489,326
2020년09월_남_80~89세,"2,816",316,335,230,220,99,160,120,182,182,260,195,183,200,134
2020년09월_남_90~99세,284,31,43,22,21,9,10,16,24,25,23,18,16,11,15
2020년09월_남_100세 이상,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2020년09월_여_총인구수,"77,982","4,350","13,536","2,702","4,029","1,225","1,818","1,759","2,547","2,561","7,786","5,222","11,116","10,321","9,010"
2020년09월_여_연령구간인구수,"77,982","4,350","13,536","2,702","4,029","1,225","1,818","1,759","2,547","2,561","7,786","5,222","11,116","10,321","9,010"
2020년09월_여_0~9세,"7,745",155,"1,972",98,220,26,59,52,98,102,787,624,"1,236","1,229","1,087"
2020년09월_여_10~19세,"7,440",253,"1,188",139,227,43,91,94,148,154,872,516,"1,171","1,237","1,307"
2020년09월_여_20~29세,"6,656",277,"1,016",161,307,57,112,106,162,168,604,368,"1,415",984,919
2020년09월_여_30~39세,"9,926",288,"2,471",146,350,50,99,95,132,132,848,735,"1,783","1,527","1,270"
2020년09월_여_40~49세,"11,630",443,"2,055",232,435,81,143,141,226,250,"1,211",758,"1,910","1,853","1,892"
2020년09월_여_50~59세,"11,374",672,"1,768",410,731,183,287,313,435,402,"1,151",729,"1,571","1,463","1,259"
2020년09월_여_60~69세,"10,157",956,"1,473",588,775,305,407,401,528,523,"1,016",610,998,974,603
2020년09월_여_70~79세,"7,047",712,850,451,530,254,318,272,401,452,716,486,650,581,374
2020년09월_여_80~89세,"5,110",496,647,397,393,193,246,239,349,329,495,340,324,407,255
2020년09월_여_90~99세,843,85,89,77,58,31,54,46,63,48,81,52,58,57,44
2020년09월_여_100세 이상,54,13,7,3,3,2,2,0,5,1,5,4,0,9,0
