,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2021년11월_계_총인구수,"101,703","10,685","4,032","3,779","3,179","2,180","3,192","1,204","4,188","5,625","4,402","3,078","28,246","9,701","4,646","9,459","4,107"
2021년11월_계_연령구간인구수,"101,703","10,685","4,032","3,779","3,179","2,180","3,192","1,204","4,188","5,625","4,402","3,078","28,246","9,701","4,646","9,459","4,107"
2021년11월_계_0~9세,"5,569",366,105,97,64,50,79,15,110,245,73,82,"2,288",746,147,869,233
2021년11월_계_10~19세,"6,542",451,130,192,88,86,125,32,142,215,127,80,"2,700",939,253,784,198
2021년11월_계_20~29세,"9,647",872,269,190,176,110,172,76,251,686,250,202,"3,326","1,211",464,"1,044",348
2021년11월_계_30~39세,"9,115",718,256,208,151,78,162,43,203,415,209,196,"3,330","1,070",351,"1,311",414
2021년11월_계_40~49세,"12,260","1,139",340,324,260,158,215,58,337,502,375,252,"4,445","1,427",503,"1,452",473
2021년11월_계_50~59세,"18,075","2,191",703,618,571,390,590,252,703,840,760,537,"5,079","1,669",862,"1,526",784
2021년11월_계_60~69세,"19,611","2,378","1,060",969,793,583,850,324,"1,008","1,183","1,139",856,"4,044","1,361",965,"1,303",795
2021년11월_계_70~79세,"12,729","1,584",721,691,611,393,601,214,864,922,854,515,"1,938",823,693,794,511
2021년11월_계_80~89세,"7,252",887,398,433,414,282,347,166,509,555,543,315,981,411,363,342,306
2021년11월_계_90~99세,882,97,49,56,50,48,50,24,59,60,69,42,112,44,44,33,45
2021년11월_계_100세 이상,21,2,1,1,1,2,1,0,2,2,3,1,3,0,1,1,0
2021년11월_남_총인구수,"51,660","5,590","2,098","1,860","1,674","1,080","1,680",599,"2,130","3,025","2,289","1,617","13,917","4,875","2,330","4,676","2,220"
2021년11월_남_연령구간인구수,"51,660","5,590","2,098","1,860","1,674","1,080","1,680",599,"2,130","3,025","2,289","1,617","13,917","4,875","2,330","4,676","2,220"
2021년11월_남_0~9세,"2,835",196,60,54,37,27,35,8,63,124,34,38,"1,150",395,74,422,118
2021년11월_남_10~19세,"3,493",263,71,98,51,46,96,17,79,111,67,39,"1,424",478,129,415,109
2021년11월_남_20~29세,"5,690",496,161,113,128,63,117,43,152,528,149,109,"1,892",691,252,568,228
2021년11월_남_30~39세,"4,921",406,154,122,90,43,93,24,110,241,129,120,"1,725",547,205,665,247
2021년11월_남_40~49세,"6,742",664,220,187,162,97,140,36,209,308,229,169,"2,215",757,298,753,298
2021년11월_남_50~59세,"9,697","1,257",385,362,339,213,337,130,396,455,443,326,"2,536",818,482,763,455
2021년11월_남_60~69세,"9,902","1,244",555,464,441,313,443,184,515,625,611,455,"1,869",682,462,615,424
2021년11월_남_70~79세,"5,800",739,353,303,282,182,295,95,397,434,432,238,816,357,301,342,234
2021년11월_남_80~89세,"2,372",300,129,149,129,90,111,53,189,185,180,111,270,141,116,122,97
2021년11월_남_90~99세,202,24,10,7,15,5,13,9,20,14,14,11,20,9,11,10,10
2021년11월_남_100세 이상,6,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
2021년11월_여_총인구수,"50,043","5,095","1,934","1,919","1,505","1,100","1,512",605,"2,058","2,600","2,113","1,461","14,329","4,826","2,316","4,783","1,887"
2021년11월_여_연령구간인구수,"50,043","5,095","1,934","1,919","1,505","1,100","1,512",605,"2,058","2,600","2,113","1,461","14,329","4,826","2,316","4,783","1,887"
2021년11월_여_0~9세,"2,734",170,45,43,27,23,44,7,47,121,39,44,"1,138",351,73,447,115
2021년11월_여_10~19세,"3,049",188,59,94,37,40,29,15,63,104,60,41,"1,276",461,124,369,89
2021년11월_여_20~29세,"3,957",376,108,77,48,47,55,33,99,158,101,93,"1,434",520,212,476,120
2021년11월_여_30~39세,"4,194",312,102,86,61,35,69,19,93,174,80,76,"1,605",523,146,646,167
2021년11월_여_40~49세,"5,518",475,120,137,98,61,75,22,128,194,146,83,"2,230",670,205,699,175
2021년11월_여_50~59세,"8,378",934,318,256,232,177,253,122,307,385,317,211,"2,543",851,380,763,329
2021년11월_여_60~69세,"9,709","1,134",505,505,352,270,407,140,493,558,528,401,"2,175",679,503,688,371
2021년11월_여_70~79세,"6,929",845,368,388,329,211,306,119,467,488,422,277,"1,122",466,392,452,277
2021년11월_여_80~89세,"4,880",587,269,284,285,192,236,113,320,370,363,204,711,270,247,220,209
2021년11월_여_90~99세,680,73,39,49,35,43,37,15,39,46,55,31,92,35,33,23,35
2021년11월_여_100세 이상,15,1,1,0,1,1,1,0,2,2,2,0,3,0,1,0,0
