카테고리,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2020년01월_계_총인구수,"46,331","10,265","3,186","3,612","2,025","1,946","2,383","3,665","6,271","1,846","1,865","1,577","4,417","3,273"
2020년01월_계_연령구간인구수,"46,331","10,265","3,186","3,612","2,025","1,946","2,383","3,665","6,271","1,846","1,865","1,577","4,417","3,273"
2020년01월_계_0~9세,"2,091",633,99,120,66,50,89,122,397,34,85,75,178,143
2020년01월_계_10~19세,"3,096",926,238,204,103,78,126,139,507,84,90,157,249,195
2020년01월_계_20~29세,"3,860","1,081",254,226,137,141,172,331,533,118,114,105,290,358
2020년01월_계_30~39세,"3,087",875,147,180,101,114,128,225,502,78,133,88,259,257
2020년01월_계_40~49세,"5,506","1,477",390,393,214,177,243,365,869,177,188,147,440,426
2020년01월_계_50~59세,"8,826","1,898",742,724,376,382,441,724,"1,101",317,312,283,869,657
2020년01월_계_60~69세,"8,479","1,589",574,730,405,395,485,730,"1,040",365,367,367,903,529
2020년01월_계_70~79세,"6,451","1,123",480,591,319,313,357,586,741,348,304,213,658,418
2020년01월_계_80~89세,"4,255",588,223,373,271,254,289,378,496,276,238,122,490,257
2020년01월_계_90~99세,659,73,37,70,33,41,51,63,82,46,33,19,78,33
2020년01월_계_100세 이상,21,2,2,1,0,1,2,2,3,3,1,1,3,0
2020년01월_남_총인구수,"23,037","5,032","1,628","1,773",979,947,"1,170","1,848","3,120",897,906,824,"2,200","1,713"
2020년01월_남_연령구간인구수,"23,037","5,032","1,628","1,773",979,947,"1,170","1,848","3,120",897,906,824,"2,200","1,713"
2020년01월_남_0~9세,"1,092",315,54,71,37,23,51,62,198,20,37,47,101,76
2020년01월_남_10~19세,"1,646",462,130,118,59,44,59,67,269,34,55,104,133,112
2020년01월_남_20~29세,"2,263",606,142,138,79,80,102,212,324,73,61,59,165,222
2020년01월_남_30~39세,"1,705",466,85,97,50,66,82,142,254,46,73,49,139,156
2020년01월_남_40~49세,"3,095",776,208,219,123,101,138,214,482,108,114,89,262,261
2020년01월_남_50~59세,"4,766",957,426,388,201,196,249,410,587,179,179,150,477,367
2020년01월_남_60~69세,"4,333",801,296,370,209,209,255,351,529,186,193,185,476,273
2020년01월_남_70~79세,"2,695",452,197,249,127,138,143,248,311,159,118,107,280,166
2020년01월_남_80~89세,"1,305",181,82,115,83,79,82,133,153,76,66,31,152,72
2020년01월_남_90~99세,134,16,7,8,11,10,9,9,13,15,10,3,15,8
2020년01월_남_100세 이상,3,0,1,0,0,1,0,0,0,1,0,0,0,0
2020년01월_여_총인구수,"23,294","5,233","1,558","1,839","1,046",999,"1,213","1,817","3,151",949,959,753,"2,217","1,560"
2020년01월_여_연령구간인구수,"23,294","5,233","1,558","1,839","1,046",999,"1,213","1,817","3,151",949,959,753,"2,217","1,560"
2020년01월_여_0~9세,999,318,45,49,29,27,38,60,199,14,48,28,77,67
2020년01월_여_10~19세,"1,450",464,108,86,44,34,67,72,238,50,35,53,116,83
2020년01월_여_20~29세,"1,597",475,112,88,58,61,70,119,209,45,53,46,125,136
2020년01월_여_30~39세,"1,382",409,62,83,51,48,46,83,248,32,60,39,120,101
2020년01월_여_40~49세,"2,411",701,182,174,91,76,105,151,387,69,74,58,178,165
2020년01월_여_50~59세,"4,060",941,316,336,175,186,192,314,514,138,133,133,392,290
2020년01월_여_60~69세,"4,146",788,278,360,196,186,230,379,511,179,174,182,427,256
2020년01월_여_70~79세,"3,756",671,283,342,192,175,214,338,430,189,186,106,378,252
2020년01월_여_80~89세,"2,950",407,141,258,188,175,207,245,343,200,172,91,338,185
2020년01월_여_90~99세,525,57,30,62,22,31,42,54,69,31,23,16,63,25
2020년01월_여_100세 이상,18,2,1,1,0,0,2,2,3,2,1,1,3,0
