카테고리,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2021년06월_계_총인구수,"36,499","34,641","1,858"
2021년06월_계_연령구간인구수,"36,499","34,641","1,858"
2021년06월_계_0~9세,"3,062","3,017",45
2021년06월_계_10~19세,"3,341","3,271",70
2021년06월_계_20~29세,"4,449","4,330",119
2021년06월_계_30~39세,"4,513","4,414",99
2021년06월_계_40~49세,"5,531","5,345",186
2021년06월_계_50~59세,"5,994","5,667",327
2021년06월_계_60~69세,"5,240","4,757",483
2021년06월_계_70~79세,"2,666","2,384",282
2021년06월_계_80~89세,"1,522","1,305",217
2021년06월_계_90~99세,177,147,30
2021년06월_계_100세 이상,4,4,0
2021년06월_남_총인구수,"19,019","18,042",977
2021년06월_남_연령구간인구수,"19,019","18,042",977
2021년06월_남_0~9세,"1,590","1,562",28
2021년06월_남_10~19세,"1,749","1,716",33
2021년06월_남_20~29세,"2,617","2,542",75
2021년06월_남_30~39세,"2,498","2,440",58
2021년06월_남_40~49세,"2,992","2,877",115
2021년06월_남_50~59세,"3,167","2,985",182
2021년06월_남_60~69세,"2,637","2,371",266
2021년06월_남_70~79세,"1,205","1,066",139
2021년06월_남_80~89세,519,445,74
2021년06월_남_90~99세,43,36,7
2021년06월_남_100세 이상,2,2,0
2021년06월_여_총인구수,"17,480","16,599",881
2021년06월_여_연령구간인구수,"17,480","16,599",881
2021년06월_여_0~9세,"1,472","1,455",17
2021년06월_여_10~19세,"1,592","1,555",37
2021년06월_여_20~29세,"1,832","1,788",44
2021년06월_여_30~39세,"2,015","1,974",41
2021년06월_여_40~49세,"2,539","2,468",71
2021년06월_여_50~59세,"2,827","2,682",145
2021년06월_여_60~69세,"2,603","2,386",217
2021년06월_여_70~79세,"1,461","1,318",143
2021년06월_여_80~89세,"1,003",860,143
2021년06월_여_90~99세,134,111,23
2021년06월_여_100세 이상,2,2,0
