,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2021년04월_계_총인구수,"132,643","6,749","1,923","1,281","2,025","2,198",713,"3,301","4,610","18,724","9,962","5,864","4,893","10,313","18,013","11,154","15,615","15,305"
2021년04월_계_연령구간인구수,"132,643","6,749","1,923","1,281","2,025","2,198",713,"3,301","4,610","18,724","9,962","5,864","4,893","10,313","18,013","11,154","15,615","15,305"
2021년04월_계_0~9세,"8,503",264,41,25,39,70,20,84,98,"1,520",802,237,191,778,"1,319",734,666,"1,615"
2021년04월_계_10~19세,"11,560",339,89,46,66,193,36,127,197,"2,331","1,097",404,294,909,"1,803","1,154","1,105","1,370"
2021년04월_계_20~29세,"14,665",479,116,69,80,74,34,183,351,"2,278","1,258",660,561,"1,055","2,656","1,356","1,907","1,548"
2021년04월_계_30~39세,"12,771",417,96,65,77,80,39,134,228,"1,936","1,018",472,403,"1,132","2,159","1,012","1,382","2,121"
2021년04월_계_40~49세,"18,174",693,142,81,129,183,65,237,408,"3,242","1,610",731,543,"1,453","2,682","1,720","1,894","2,361"
2021년04월_계_50~59세,"23,737","1,270",371,265,389,368,140,603,864,"3,430","1,790","1,006",887,"1,757","3,140","2,156","2,890","2,411"
2021년04월_계_60~69세,"23,453","1,723",545,361,599,581,196,995,"1,254","2,356","1,374","1,242","1,106","1,674","2,442","1,618","3,309","2,078"
2021년04월_계_70~79세,"12,416",933,276,217,384,391,95,535,708,"1,087",613,748,633,"1,000","1,104",896,"1,649","1,147"
2021년04월_계_80~89세,"6,461",553,212,140,238,219,71,350,430,490,341,319,252,484,634,436,707,585
2021년04월_계_90~99세,837,78,30,12,20,39,15,51,67,49,56,41,22,55,72,65,100,65
2021년04월_계_100세 이상,66,0,5,0,4,0,2,2,5,5,3,4,1,16,2,7,6,4
2021년04월_남_총인구수,"66,597","3,464","1,025",657,"1,050","1,117",362,"1,689","2,409","9,225","4,921","2,907","2,452","5,170","8,974","5,586","7,843","7,746"
2021년04월_남_연령구간인구수,"66,597","3,464","1,025",657,"1,050","1,117",362,"1,689","2,409","9,225","4,921","2,907","2,452","5,170","8,974","5,586","7,843","7,746"
2021년04월_남_0~9세,"4,356",144,26,16,21,40,9,45,46,768,433,110,100,418,662,372,335,811
2021년04월_남_10~19세,"6,000",177,55,21,34,102,19,75,112,"1,190",551,213,150,478,910,611,605,697
2021년04월_남_20~29세,"8,181",268,73,40,59,47,23,108,216,"1,223",682,343,329,595,"1,456",759,"1,092",868
2021년04월_남_30~39세,"6,724",230,56,42,50,41,22,76,150,963,496,280,226,570,"1,154",528,773,"1,067"
2021년04월_남_40~49세,"9,347",394,84,51,80,116,37,138,250,"1,557",790,377,294,777,"1,312",836,982,"1,272"
2021년04월_남_50~59세,"12,122",680,210,135,201,197,79,314,452,"1,716",896,506,451,886,"1,582","1,139","1,405","1,273"
2021년04월_남_60~69세,"11,682",901,301,193,322,299,100,524,665,"1,166",678,578,508,808,"1,250",806,"1,585",998
2021년04월_남_70~79세,"5,621",448,138,104,190,192,40,262,336,461,262,351,293,437,442,363,787,515
2021년04월_남_80~89세,"2,360",209,73,54,85,76,27,135,163,172,117,137,95,180,191,157,258,231
2021년04월_남_90~99세,183,13,8,1,5,7,4,12,17,9,15,10,6,14,15,13,20,14
2021년04월_남_100세 이상,21,0,1,0,3,0,2,0,2,0,1,2,0,7,0,2,1,0
2021년04월_여_총인구수,"66,046","3,285",898,624,975,"1,081",351,"1,612","2,201","9,499","5,041","2,957","2,441","5,143","9,039","5,568","7,772","7,559"
2021년04월_여_연령구간인구수,"66,046","3,285",898,624,975,"1,081",351,"1,612","2,201","9,499","5,041","2,957","2,441","5,143","9,039","5,568","7,772","7,559"
2021년04월_여_0~9세,"4,147",120,15,9,18,30,11,39,52,752,369,127,91,360,657,362,331,804
2021년04월_여_10~19세,"5,560",162,34,25,32,91,17,52,85,"1,141",546,191,144,431,893,543,500,673
2021년04월_여_20~29세,"6,484",211,43,29,21,27,11,75,135,"1,055",576,317,232,460,"1,200",597,815,680
2021년04월_여_30~39세,"6,047",187,40,23,27,39,17,58,78,973,522,192,177,562,"1,005",484,609,"1,054"
2021년04월_여_40~49세,"8,827",299,58,30,49,67,28,99,158,"1,685",820,354,249,676,"1,370",884,912,"1,089"
2021년04월_여_50~59세,"11,615",590,161,130,188,171,61,289,412,"1,714",894,500,436,871,"1,558","1,017","1,485","1,138"
2021년04월_여_60~69세,"11,771",822,244,168,277,282,96,471,589,"1,190",696,664,598,866,"1,192",812,"1,724","1,080"
2021년04월_여_70~79세,"6,795",485,138,113,194,199,55,273,372,626,351,397,340,563,662,533,862,632
2021년04월_여_80~89세,"4,101",344,139,86,153,143,44,215,267,318,224,182,157,304,443,279,449,354
2021년04월_여_90~99세,654,65,22,11,15,32,11,39,50,40,41,31,16,41,57,52,80,51
2021년04월_여_100세 이상,45,0,4,0,1,0,0,2,3,5,2,2,1,9,2,5,5,4
