,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2020년09월_계_총인구수,"343,233","7,765","10,792","8,818","13,241","6,599","13,414","12,588","7,510","14,225","14,710","4,185","21,875","15,047","15,961","18,369","15,311","43,893","11,370","21,409","29,660","18,872","17,619"
2020년09월_계_연령구간인구수,"343,233","7,765","10,792","8,818","13,241","6,599","13,414","12,588","7,510","14,225","14,710","4,185","21,875","15,047","15,961","18,369","15,311","43,893","11,370","21,409","29,660","18,872","17,619"
2020년09월_계_0~9세,"25,683",289,"1,068",709,450,231,842,926,159,549,756,198,"2,348",713,878,891,771,"3,935",671,"2,496","2,682","3,127",994
2020년09월_계_10~19세,"26,846",458,850,591,715,421,927,"1,039",371,872,"1,039",255,"2,330",956,946,"1,326",943,"3,718",674,"2,711","2,991","1,453","1,260"
2020년09월_계_20~29세,"41,847",894,"1,015",976,"1,897",805,"1,549","1,679","1,292","1,840","1,867",616,"2,283","2,013","2,168","2,408","1,864","5,344","1,454","2,204","3,870","2,000","1,809"
2020년09월_계_30~39세,"44,514",699,"1,508","1,263","1,517",574,"1,599","1,606","1,055","1,452","1,646",460,"2,925","1,609","1,918","1,778","1,658","5,871","1,425","3,201","4,276","4,721","1,753"
2020년09월_계_40~49세,"51,682",981,"1,872","1,209","1,782",855,"1,938","1,967","1,003","1,734","2,105",504,"3,994","1,848","2,062","2,350","1,988","6,921","1,471","4,219","4,985","3,445","2,449"
2020년09월_계_50~59세,"57,318","1,379","1,556","1,413","2,623","1,240","2,242","2,215","1,298","2,605","2,497",743,"3,321","3,012","3,009","3,562","2,828","7,144","2,218","2,829","4,661","1,708","3,215"
2020년09월_계_60~69세,"50,779","1,412","1,401","1,380","2,327","1,272","2,094","1,639","1,244","2,640","2,525",705,"2,665","2,760","2,703","3,237","2,763","6,139","1,883","1,947","3,530","1,494","3,019"
2020년09월_계_70~79세,"30,174","1,079","1,015",853,"1,347",808,"1,473",978,725,"1,720","1,536",467,"1,388","1,501","1,561","1,869","1,708","3,227","1,103","1,249","1,863",671,"2,033"
2020년09월_계_80~89세,"12,811",514,444,376,513,360,672,476,327,731,650,216,539,574,641,853,702,"1,413",414,491,728,214,963
2020년09월_계_90~99세,"1,456",55,52,46,60,29,71,54,32,71,79,21,78,56,73,90,84,174,52,60,66,37,116
2020년09월_계_100세 이상,123,5,11,2,10,4,7,9,4,11,10,0,4,5,2,5,2,7,5,2,8,2,8
2020년09월_남_총인구수,"169,170","3,879","5,116","4,349","6,697","3,147","6,429","6,229","3,763","7,032","7,088","2,229","10,754","7,483","8,022","8,871","7,720","21,525","5,745","10,425","14,677","9,335","8,655"
2020년09월_남_연령구간인구수,"169,170","3,879","5,116","4,349","6,697","3,147","6,429","6,229","3,763","7,032","7,088","2,229","10,754","7,483","8,022","8,871","7,720","21,525","5,745","10,425","14,677","9,335","8,655"
2020년09월_남_0~9세,"13,103",151,544,373,225,113,436,475,86,303,376,93,"1,170",356,466,439,401,"2,056",334,"1,260","1,366","1,593",487
2020년09월_남_10~19세,"14,096",258,454,307,390,234,511,602,208,455,519,143,"1,183",508,490,693,514,"1,953",370,"1,348","1,554",743,659
2020년09월_남_20~29세,"22,409",505,545,485,976,461,842,911,599,"1,008",997,403,"1,249","1,100","1,205","1,324","1,012","2,858",800,"1,133","2,063",919,"1,014"
