,서울특별시 강북구,서울특별시 강북구 삼양동,서울특별시 강북구 미아동,서울특별시 강북구 송중동,서울특별시 강북구 송천동,서울특별시 강북구 삼각산동,서울특별시 강북구 번1동,서울특별시 강북구 번2동,서울특별시 강북구 번3동,서울특별시 강북구 수유1동,서울특별시 강북구 수유2동,서울특별시 강북구 수유3동,서울특별시 강북구 우이동,서울특별시 강북구 인수동
2021년09월_계_총인구수,"300,887","23,794","21,666","29,743","26,609","31,370","18,469","15,931","17,005","20,661","21,363","23,105","20,599","30,572"
2021년09월_계_연령구간인구수,"300,887","23,794","21,666","29,743","26,609","31,370","18,469","15,931","17,005","20,661","21,363","23,105","20,599","30,572"
2021년09월_계_0~9세,"14,469","1,202",714,"1,466",981,"2,788",626,620,884,934,"1,013",759,"1,035","1,447"
2021년09월_계_10~19세,"21,063","1,877","1,272","1,973","1,560","3,935","1,010","1,008","1,259","1,301","1,377","1,081","1,358","2,052"
2021년09월_계_20~29세,"41,570","3,085","3,735","4,225","3,466","3,309","3,187","2,162","1,852","2,992","2,923","4,146","2,577","3,911"
2021년09월_계_30~39세,"37,401","2,849","2,862","3,985","3,134","3,634","2,660","1,720","1,649","2,735","2,500","3,342","2,564","3,767"
2021년09월_계_40~49세,"44,474","3,453","2,924","4,400","3,711","6,260","2,751","2,260","2,483","2,884","2,987","3,202","2,904","4,255"
2021년09월_계_50~59세,"51,619","4,303","3,717","5,112","4,911","5,060","3,065","2,692","2,778","3,493","3,741","3,948","3,533","5,266"
2021년09월_계_60~69세,"47,153","3,816","3,433","4,688","4,703","3,446","2,712","2,714","2,716","3,385","3,490","3,513","3,374","5,163"
2021년09월_계_70~79세,"29,390","2,207","2,029","2,711","2,863","1,986","1,717","1,946","2,440","1,956","2,156","2,134","2,115","3,130"
2021년09월_계_80~89세,"12,257",878,884,"1,060","1,145",847,666,736,854,870,"1,041",885,"1,006","1,385"
2021년09월_계_90~99세,"1,439",119,95,118,125,100,73,71,87,107,134,93,127,190
2021년09월_계_100세 이상,52,5,1,5,10,5,2,2,3,4,1,2,6,6
2021년09월_남_총인구수,"146,613","11,857","10,449","14,279","13,230","15,059","9,345","7,714","7,978","10,201","10,205","11,510","9,994","14,792"
2021년09월_남_연령구간인구수,"146,613","11,857","10,449","14,279","13,230","15,059","9,345","7,714","7,978","10,201","10,205","11,510","9,994","14,792"
2021년09월_남_0~9세,"7,480",628,373,751,491,"1,447",323,328,447,478,530,389,539,756
2021년09월_남_10~19세,"10,802",990,667,950,797,"1,988",522,533,638,652,733,591,710,"1,031"
2021년09월_남_20~29세,"20,431","1,604","1,636","2,070","1,769","1,645","1,597","1,121",949,"1,493","1,396","1,981","1,217","1,953"
2021년09월_남_30~39세,"19,537","1,494","1,513","2,000","1,668","1,678","1,434",945,853,"1,474","1,319","1,836","1,356","1,967"
2021년09월_남_40~49세,"22,868","1,768","1,539","2,236","1,982","3,027","1,475","1,149","1,241","1,545","1,498","1,706","1,512","2,190"
2021년09월_남_50~59세,"25,475","2,174","1,806","2,428","2,483","2,538","1,614","1,333","1,361","1,709","1,785","2,007","1,731","2,506"
2021년09월_남_60~69세,"22,023","1,814","1,675","2,173","2,298","1,563","1,291","1,233","1,210","1,592","1,582","1,633","1,544","2,415"
2021년09월_남_70~79세,"12,686","1,009",874,"1,186","1,259",850,778,785,923,866,912,956,919,"1,369"
2021년09월_남_80~89세,"4,916",341,345,454,448,302,286,271,338,356,408,377,429,561
2021년09월_남_90~99세,380,32,21,29,33,20,25,16,17,36,41,34,35,41
2021년09월_남_100세 이상,15,3,0,2,2,1,0,0,1,0,1,0,2,3
2021년09월_여_총인구수,"154,274","11,937","11,217","15,464","13,379","16,311","9,124","8,217","9,027","10,460","11,158","11,595","10,605","15,780"
2021년09월_여_연령구간인구수,"154,274","11,937","11,217","15,464","13,379","16,311","9,124","8,217","9,027","10,460","11,158","11,595","10,605","15,780"
2021년09월_여_0~9세,"6,989",574,341,715,490,"1,341",303,292,437,456,483,370,496,691
2021년09월_여_10~19세,"10,261",887,605,"1,023",763,"1,947",488,475,621,649,644,490,648,"1,021"
2021년09월_여_20~29세,"21,139","1,481","2,099","2,155","1,697","1,664","1,590","1,041",903,"1,499","1,527","2,165","1,360","1,958"
2021년09월_여_30~39세,"17,864","1,355","1,349","1,985","1,466","1,956","1,226",775,796,"1,261","1,181","1,506","1,208","1,800"
2021년09월_여_40~49세,"21,606","1,685","1,385","2,164","1,729","3,233","1,276","1,111","1,242","1,339","1,489","1,496","1,392","2,065"
2021년09월_여_50~59세,"26,144","2,129","1,911","2,684","2,428","2,522","1,451","1,359","1,417","1,784","1,956","1,941","1,802","2,760"
2021년09월_여_60~69세,"25,130","2,002","1,758","2,515","2,405","1,883","1,421","1,481","1,506","1,793","1,908","1,880","1,830","2,748"
2021년09월_여_70~79세,"16,704","1,198","1,155","1,525","1,604","1,136",939,"1,161","1,517","1,090","1,244","1,178","1,196","1,761"
2021년09월_여_80~89세,"7,341",537,539,606,697,545,380,465,516,514,633,508,577,824
2021년09월_여_90~99세,"1,059",87,74,89,92,80,48,55,70,71,93,59,92,149
2021년09월_여_100세 이상,37,2,1,3,8,4,2,2,2,4,0,2,4,3
