,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2021년09월_계_총인구수,"16,319","7,132","2,091","1,690","1,753","1,671","1,982"
2021년09월_계_연령구간인구수,"16,319","7,132","2,091","1,690","1,753","1,671","1,982"
2021년09월_계_0~9세,687,420,67,47,36,59,58
2021년09월_계_10~19세,903,538,73,45,79,99,69
2021년09월_계_20~29세,"1,070",612,96,68,104,91,99
2021년09월_계_30~39세,992,604,105,59,72,67,85
2021년09월_계_40~49세,"1,610",897,173,120,119,152,149
2021년09월_계_50~59세,"2,826","1,201",346,269,342,299,369
2021년09월_계_60~69세,"3,596","1,328",514,450,408,389,507
2021년09월_계_70~79세,"2,595",887,400,358,296,279,375
2021년09월_계_80~89세,"1,756",537,275,239,263,204,238
2021년09월_계_90~99세,267,107,41,32,32,27,28
2021년09월_계_100세 이상,17,1,1,3,2,5,5
2021년09월_남_총인구수,"8,125","3,540","1,010",861,870,843,"1,001"
2021년09월_남_연령구간인구수,"8,125","3,540","1,010",861,870,843,"1,001"
2021년09월_남_0~9세,360,230,31,26,16,34,23
2021년09월_남_10~19세,464,270,41,22,42,48,41
2021년09월_남_20~29세,626,359,53,39,58,58,59
2021년09월_남_30~39세,540,318,56,36,44,36,50
2021년09월_남_40~49세,954,502,118,84,66,92,92
2021년09월_남_50~59세,"1,586",641,190,171,194,176,214
2021년09월_남_60~69세,"1,819",655,258,221,215,197,273
2021년09월_남_70~79세,"1,135",374,166,176,135,123,161
2021년09월_남_80~89세,579,172,88,79,90,70,80
2021년09월_남_90~99세,59,19,8,7,9,9,7
2021년09월_남_100세 이상,3,0,1,0,1,0,1
2021년09월_여_총인구수,"8,194","3,592","1,081",829,883,828,981
2021년09월_여_연령구간인구수,"8,194","3,592","1,081",829,883,828,981
2021년09월_여_0~9세,327,190,36,21,20,25,35
2021년09월_여_10~19세,439,268,32,23,37,51,28
2021년09월_여_20~29세,444,253,43,29,46,33,40
2021년09월_여_30~39세,452,286,49,23,28,31,35
2021년09월_여_40~49세,656,395,55,36,53,60,57
2021년09월_여_50~59세,"1,240",560,156,98,148,123,155
2021년09월_여_60~69세,"1,777",673,256,229,193,192,234
2021년09월_여_70~79세,"1,460",513,234,182,161,156,214
2021년09월_여_80~89세,"1,177",365,187,160,173,134,158
2021년09월_여_90~99세,208,88,33,25,23,18,21
2021년09월_여_100세 이상,14,1,0,3,1,5,4
