카테고리,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2020년05월_계_총인구수,"236,596","6,354","10,230","11,626","8,668","8,866","17,071","16,901","13,410","18,084","27,910","2,397","10,171","30,126","19,441","34,239","1,102"
2020년05월_계_연령구간인구수,"236,596","6,354","10,230","11,626","8,668","8,866","17,071","16,901","13,410","18,084","27,910","2,397","10,171","30,126","19,441","34,239","1,102"
2020년05월_계_0~9세,"13,700",119,387,377,316,327,913,"1,243",594,991,"2,756",71,539,"1,344","1,329","2,310",84
2020년05월_계_10~19세,"18,497",319,534,614,397,504,"1,490","1,416",844,"1,308","2,503",115,725,"2,266","1,902","3,445",115
2020년05월_계_20~29세,"33,957",621,"1,200","1,266",905,918,"2,609","2,412","1,622","5,595","3,548",213,"1,131","4,682","2,546","4,606",83
2020년05월_계_30~39세,"26,322",529,"1,032","1,150",895,887,"1,854","2,163","1,554","2,021","3,932",195,990,"3,158","2,239","3,637",86
2020년05월_계_40~49세,"32,941",845,"1,269","1,408","1,062","1,172","2,431","2,416","1,858","2,182","4,751",249,"1,310","3,861","2,938","5,014",175
2020년05월_계_50~59세,"41,820","1,255","2,100","2,410","1,717","1,537","3,065","2,946","2,333","2,329","3,904",502,"1,832","5,787","3,616","6,307",180
2020년05월_계_60~69세,"37,991","1,410","2,150","2,392","1,930","1,809","2,556","2,467","2,598","1,982","3,322",529,"1,903","4,897","2,801","5,032",213
2020년05월_계_70~79세,"21,525",858,"1,108","1,438","1,072","1,217","1,445","1,197","1,461","1,145","2,074",345,"1,167","2,871","1,421","2,602",104
2020년05월_계_80~89세,"8,524",355,390,509,328,449,625,550,478,473,859,155,503,"1,114",572,"1,114",50
2020년05월_계_90~99세,"1,122",32,46,51,43,43,76,86,66,47,163,20,67,139,70,163,10
2020년05월_계_100세 이상,197,11,14,11,3,3,7,5,2,11,98,3,4,7,7,9,2
2020년05월_남_총인구수,"115,716","3,209","5,114","5,844","4,563","4,276","8,217","8,097","6,473","9,264","13,436","1,272","5,003","14,754","9,247","16,409",538
2020년05월_남_연령구간인구수,"115,716","3,209","5,114","5,844","4,563","4,276","8,217","8,097","6,473","9,264","13,436","1,272","5,003","14,754","9,247","16,409",538
2020년05월_남_0~9세,"7,045",62,185,193,182,175,489,637,298,479,"1,449",39,271,703,672,"1,170",41
2020년05월_남_10~19세,"9,499",169,277,318,214,255,764,706,452,645,"1,366",61,377,"1,156",924,"1,753",62
