,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2021년06월_계_총인구수,"418,407","20,763","22,222","32,376","31,110","27,233","10,469","32,928","15,776","22,321","19,065","20,837","17,007","19,787","19,279","23,531","43,690","22,181","17,832"
2021년06월_계_연령구간인구수,"418,407","20,763","22,222","32,376","31,110","27,233","10,469","32,928","15,776","22,321","19,065","20,837","17,007","19,787","19,279","23,531","43,690","22,181","17,832"
2021년06월_계_0~9세,"32,547","1,434","1,915","1,744","2,926","2,055",479,"3,111","1,770","1,951","1,633","1,453","1,117","1,127","1,217","1,620","3,700","1,393","1,902"
2021년06월_계_10~19세,"44,845","1,941","1,978","2,826","4,174","3,353","1,642","3,609","2,798","2,970","2,171","2,720","1,331","1,633","1,811","2,624","4,328","1,588","1,348"
2021년06월_계_20~29세,"53,637","2,794","3,064","5,392","3,552","3,470","1,344","4,162","1,332","2,494","2,211","2,652","2,436","2,743","2,397","3,108","5,263","3,326","1,897"
2021년06월_계_30~39세,"61,166","3,503","4,391","5,538","3,513","3,616",764,"5,425","1,447","2,549","2,524","2,356","2,904","3,039","2,593","3,462","6,526","4,406","2,610"
2021년06월_계_40~49세,"76,005","3,793","4,060","5,065","6,267","5,247","1,866","6,795","3,626","4,546","3,548","3,855","2,756","3,012","2,965","4,281","7,603","3,668","3,052"
2021년06월_계_50~59세,"62,969","3,003","2,937","4,931","4,838","4,563","2,010","4,329","2,142","3,549","2,884","3,478","2,433","3,093","3,158","3,596","6,224","3,363","2,438"
2021년06월_계_60~69세,"48,173","2,378","2,184","3,746","3,099","2,860","1,163","3,159","1,360","2,273","2,325","2,291","2,141","2,882","2,931","2,439","5,764","2,668","2,510"
2021년06월_계_70~79세,"27,201","1,334","1,230","2,187","1,855","1,375",861,"1,688",912,"1,354","1,247","1,318","1,313","1,627","1,537","1,614","3,016","1,287","1,446"
2021년06월_계_80~89세,"9,991",494,388,807,745,571,297,547,337,520,426,606,501,531,568,698,"1,033",388,534
2021년06월_계_90~99세,"1,761",88,68,132,125,117,37,95,44,104,93,102,70,95,98,86,228,89,90
2021년06월_계_100세 이상,112,1,7,8,16,6,6,8,8,11,3,6,5,5,4,3,5,5,5
2021년06월_남_총인구수,"200,163","10,005","10,567","15,672","15,149","13,078","4,969","15,992","7,537","10,611","8,988","9,634","7,978","9,291","9,326","10,756","20,875","11,072","8,663"
2021년06월_남_연령구간인구수,"200,163","10,005","10,567","15,672","15,149","13,078","4,969","15,992","7,537","10,611","8,988","9,634","7,978","9,291","9,326","10,756","20,875","11,072","8,663"
2021년06월_남_0~9세,"16,743",753,921,908,"1,568","1,072",247,"1,552",937,"1,016",844,738,563,572,644,802,"1,890",757,959
2021년06월_남_10~19세,"22,845","1,001","1,048","1,610","2,155","1,715",840,"1,839","1,382","1,516","1,120","1,270",708,814,919,"1,206","2,220",797,685
2021년06월_남_20~29세,"25,822","1,343","1,388","2,502","1,729","1,669",652,"1,900",650,"1,247","1,084","1,239","1,157","1,378","1,250","1,375","2,604","1,667",988
2021년06월_남_30~39세,"28,141","1,635","1,971","2,611","1,490","1,647",340,"2,528",555,"1,127","1,096","1,017","1,339","1,399","1,245","1,543","3,113","2,278","1,207"
2021년06월_남_40~49세,"35,638","1,811","1,943","2,384","2,910","2,399",772,"3,378","1,642","2,020","1,614","1,707","1,266","1,411","1,353","1,906","3,710","1,860","1,552"
2021년06월_남_50~59세,"31,072","1,452","1,477","2,421","2,531","2,326","1,012","2,282","1,164","1,806","1,361","1,742","1,124","1,402","1,466","1,732","2,968","1,668","1,138"
2021년06월_남_60~69세,"22,278","1,135","1,020","1,781","1,457","1,356",561,"1,479",632,"1,043","1,062","1,055",959,"1,274","1,391","1,118","2,523","1,259","1,173"
2021년06월_남_70~79세,"12,711",637,576,"1,055",897,628,373,779,408,591,592,580,607,768,765,730,"1,403",607,715
2021년06월_남_80~89세,"4,408",209,199,363,366,230,156,230,156,216,187,255,226,248,264,326,390,164,223
2021년06월_남_90~99세,475,29,21,33,43,33,15,24,7,28,27,31,25,24,29,17,53,14,22
2021년06월_남_100세 이상,30,0,3,4,3,3,1,1,4,1,1,0,4,1,0,1,1,1,1
2021년06월_여_총인구수,"218,244","10,758","11,655","16,704","15,961","14,155","5,500","16,936","8,239","11,710","10,077","11,203","9,029","10,496","9,953","12,775","22,815","11,109","9,169"
2021년06월_여_연령구간인구수,"218,244","10,758","11,655","16,704","15,961","14,155","5,500","16,936","8,239","11,710","10,077","11,203","9,029","10,496","9,953","12,775","22,815","11,109","9,169"
2021년06월_여_0~9세,"15,804",681,994,836,"1,358",983,232,"1,559",833,935,789,715,554,555,573,818,"1,810",636,943
2021년06월_여_10~19세,"22,000",940,930,"1,216","2,019","1,638",802,"1,770","1,416","1,454","1,051","1,450",623,819,892,"1,418","2,108",791,663
2021년06월_여_20~29세,"27,815","1,451","1,676","2,890","1,823","1,801",692,"2,262",682,"1,247","1,127","1,413","1,279","1,365","1,147","1,733","2,659","1,659",909
2021년06월_여_30~39세,"33,025","1,868","2,420","2,927","2,023","1,969",424,"2,897",892,"1,422","1,428","1,339","1,565","1,640","1,348","1,919","3,413","2,128","1,403"
2021년06월_여_40~49세,"40,367","1,982","2,117","2,681","3,357","2,848","1,094","3,417","1,984","2,526","1,934","2,148","1,490","1,601","1,612","2,375","3,893","1,808","1,500"
2021년06월_여_50~59세,"31,897","1,551","1,460","2,510","2,307","2,237",998,"2,047",978,"1,743","1,523","1,736","1,309","1,691","1,692","1,864","3,256","1,695","1,300"
2021년06월_여_60~69세,"25,895","1,243","1,164","1,965","1,642","1,504",602,"1,680",728,"1,230","1,263","1,236","1,182","1,608","1,540","1,321","3,241","1,409","1,337"
2021년06월_여_70~79세,"14,490",697,654,"1,132",958,747,488,909,504,763,655,738,706,859,772,884,"1,613",680,731
2021년06월_여_80~89세,"5,583",285,189,444,379,341,141,317,181,304,239,351,275,283,304,372,643,224,311
2021년06월_여_90~99세,"1,286",59,47,99,82,84,22,71,37,76,66,71,45,71,69,69,175,75,68
2021년06월_여_100세 이상,82,1,4,4,13,3,5,7,4,10,2,6,1,4,4,2,4,4,4
