,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2021년10월_계_총인구수,"32,090","10,277",523,"3,758","8,062","4,902","2,565","2,003"
2021년10월_계_연령구간인구수,"32,090","10,277",523,"3,758","8,062","4,902","2,565","2,003"
2021년10월_계_0~9세,"2,502","1,005",16,269,537,374,187,114
2021년10월_계_10~19세,"2,265",892,31,224,591,310,128,89
2021년10월_계_20~29세,"4,177","1,247",28,480,"1,028",525,544,325
2021년10월_계_30~39세,"3,942","1,412",30,491,818,617,381,193
2021년10월_계_40~49세,"3,963","1,485",53,375,"1,020",601,233,196
2021년10월_계_50~59세,"5,100","1,547",126,568,"1,438",784,319,318
2021년10월_계_60~69세,"5,673","1,514",122,764,"1,473",971,404,425
2021년10월_계_70~79세,"2,595",700,77,320,654,411,218,215
2021년10월_계_80~89세,"1,600",402,36,224,436,259,134,109
2021년10월_계_90~99세,265,71,4,42,64,50,17,17
2021년10월_계_100세 이상,8,2,0,1,3,0,0,2
2021년10월_남_총인구수,"17,392","5,402",279,"2,013","4,346","2,656","1,542","1,154"
2021년10월_남_연령구간인구수,"17,392","5,402",279,"2,013","4,346","2,656","1,542","1,154"
2021년10월_남_0~9세,"1,268",502,7,119,281,198,99,62
2021년10월_남_10~19세,"1,193",487,16,110,306,156,67,51
2021년10월_남_20~29세,"2,813",752,17,319,672,354,445,254
2021년10월_남_30~39세,"2,277",779,20,303,455,362,241,117
2021년10월_남_40~49세,"2,199",792,30,211,565,340,146,115
2021년10월_남_50~59세,"2,726",809,72,306,784,406,181,168
2021년10월_남_60~69세,"3,033",784,61,404,810,539,202,233
2021년10월_남_70~79세,"1,242",333,41,153,299,197,111,108
2021년10월_남_80~89세,569,146,13,77,156,94,45,38
2021년10월_남_90~99세,68,17,2,11,16,10,5,7
2021년10월_남_100세 이상,4,1,0,0,2,0,0,1
2021년10월_여_총인구수,"14,698","4,875",244,"1,745","3,716","2,246","1,023",849
2021년10월_여_연령구간인구수,"14,698","4,875",244,"1,745","3,716","2,246","1,023",849
2021년10월_여_0~9세,"1,234",503,9,150,256,176,88,52
2021년10월_여_10~19세,"1,072",405,15,114,285,154,61,38
2021년10월_여_20~29세,"1,364",495,11,161,356,171,99,71
2021년10월_여_30~39세,"1,665",633,10,188,363,255,140,76
2021년10월_여_40~49세,"1,764",693,23,164,455,261,87,81
2021년10월_여_50~59세,"2,374",738,54,262,654,378,138,150
2021년10월_여_60~69세,"2,640",730,61,360,663,432,202,192
2021년10월_여_70~79세,"1,353",367,36,167,355,214,107,107
2021년10월_여_80~89세,"1,031",256,23,147,280,165,89,71
2021년10월_여_90~99세,197,54,2,31,48,40,12,10
2021년10월_여_100세 이상,4,1,0,1,1,0,0,1
