카테고리,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2020년09월_계_총인구수,"31,538","9,418",505,"4,020","8,320","5,079","2,662","1,534"
2020년09월_계_연령구간인구수,"31,538","9,418",505,"4,020","8,320","5,079","2,662","1,534"
2020년09월_계_0~9세,"2,521",826,17,358,628,408,237,47
2020년09월_계_10~19세,"2,293",814,27,269,625,331,143,84
2020년09월_계_20~29세,"4,028","1,178",35,530,"1,061",567,532,125
2020년09월_계_30~39세,"3,873","1,234",29,561,914,659,393,83
2020년09월_계_40~49세,"3,984","1,338",61,415,"1,108",640,263,159
2020년09월_계_50~59세,"5,307","1,516",117,607,"1,496",896,345,330
2020년09월_계_60~69세,"5,083","1,349",109,695,"1,325",849,379,377
2020년09월_계_70~79세,"2,700",718,76,324,707,429,237,209
2020년09월_계_80~89세,"1,489",379,31,224,387,253,117,98
2020년09월_계_90~99세,247,60,3,37,65,45,16,21
2020년09월_계_100세 이상,13,6,0,0,4,2,0,1
2020년09월_남_총인구수,"17,007","4,944",269,"2,168","4,481","2,743","1,557",845
2020년09월_남_연령구간인구수,"17,007","4,944",269,"2,168","4,481","2,743","1,557",845
2020년09월_남_0~9세,"1,290",419,7,184,311,213,129,27
2020년09월_남_10~19세,"1,189",434,14,132,332,158,74,45
2020년09월_남_20~29세,"2,668",725,22,359,697,366,410,89
2020년09월_남_30~39세,"2,213",665,20,329,505,391,244,59
2020년09월_남_40~49세,"2,216",721,35,230,622,362,155,91
2020년09월_남_50~59세,"2,818",795,65,323,800,460,197,178
2020년09월_남_60~69세,"2,735",692,55,374,735,481,189,209
2020년09월_남_70~79세,"1,288",346,39,155,320,211,113,104
2020년09월_남_80~89세,518,131,11,71,138,90,42,35
2020년09월_남_90~99세,67,14,1,11,19,10,4,8
2020년09월_남_100세 이상,5,2,0,0,2,1,0,0
2020년09월_여_총인구수,"14,531","4,474",236,"1,852","3,839","2,336","1,105",689
2020년09월_여_연령구간인구수,"14,531","4,474",236,"1,852","3,839","2,336","1,105",689
2020년09월_여_0~9세,"1,231",407,10,174,317,195,108,20
2020년09월_여_10~19세,"1,104",380,13,137,293,173,69,39
2020년09월_여_20~29세,"1,360",453,13,171,364,201,122,36
2020년09월_여_30~39세,"1,660",569,9,232,409,268,149,24
2020년09월_여_40~49세,"1,768",617,26,185,486,278,108,68
2020년09월_여_50~59세,"2,489",721,52,284,696,436,148,152
2020년09월_여_60~69세,"2,348",657,54,321,590,368,190,168
2020년09월_여_70~79세,"1,412",372,37,169,387,218,124,105
2020년09월_여_80~89세,971,248,20,153,249,163,75,63
2020년09월_여_90~99세,180,46,2,26,46,35,12,13
2020년09월_여_100세 이상,8,4,0,0,2,1,0,1
