카테고리,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2021년05월_계_총인구수,"69,027","10,947","15,214","10,816","15,070","9,340","7,640"
2021년05월_계_연령구간인구수,"69,027","10,947","15,214","10,816","15,070","9,340","7,640"
2021년05월_계_0~9세,"5,964",811,"1,784",709,"1,507",620,533
2021년05월_계_10~19세,"6,747",988,"1,827","1,117","1,410",575,830
2021년05월_계_20~29세,"9,301","1,557","1,756","1,667","2,028","1,272","1,021"
2021년05월_계_30~39세,"9,701","1,416","2,037","1,312","2,413","1,589",934
2021년05월_계_40~49세,"10,378","1,453","2,730","1,429","2,184","1,371","1,211"
2021년05월_계_50~59세,"12,054","2,048","2,459","2,072","2,622","1,526","1,327"
2021년05월_계_60~69세,"8,510","1,561","1,531","1,387","1,695","1,399",937
2021년05월_계_70~79세,"3,941",656,704,616,728,673,564
2021년05월_계_80~89세,"2,037",379,336,417,393,275,237
2021년05월_계_90~99세,381,73,50,86,88,40,44
2021년05월_계_100세 이상,13,5,0,4,2,0,2
2021년05월_남_총인구수,"33,887","5,314","7,380","5,174","7,405","4,887","3,727"
2021년05월_남_연령구간인구수,"33,887","5,314","7,380","5,174","7,405","4,887","3,727"
2021년05월_남_0~9세,"3,104",418,926,371,797,316,276
2021년05월_남_10~19세,"3,478",497,906,571,736,317,451
2021년05월_남_20~29세,"4,876",833,891,845,"1,057",705,545
2021년05월_남_30~39세,"4,842",688,920,648,"1,189",906,491
2021년05월_남_40~49세,"5,025",672,"1,324",656,"1,050",746,577
2021년05월_남_50~59세,"5,809",956,"1,217",980,"1,244",756,656
2021년05월_남_60~69세,"4,134",786,751,663,842,686,406
2021년05월_남_70~79세,"1,775",309,298,266,326,335,241
2021년05월_남_80~89세,747,139,131,148,144,108,77
2021년05월_남_90~99세,94,15,16,24,20,12,7
2021년05월_남_100세 이상,3,1,0,2,0,0,0
2021년05월_여_총인구수,"35,140","5,633","7,834","5,642","7,665","4,453","3,913"
2021년05월_여_연령구간인구수,"35,140","5,633","7,834","5,642","7,665","4,453","3,913"
2021년05월_여_0~9세,"2,860",393,858,338,710,304,257
2021년05월_여_10~19세,"3,269",491,921,546,674,258,379
2021년05월_여_20~29세,"4,425",724,865,822,971,567,476
2021년05월_여_30~39세,"4,859",728,"1,117",664,"1,224",683,443
2021년05월_여_40~49세,"5,353",781,"1,406",773,"1,134",625,634
2021년05월_여_50~59세,"6,245","1,092","1,242","1,092","1,378",770,671
2021년05월_여_60~69세,"4,376",775,780,724,853,713,531
2021년05월_여_70~79세,"2,166",347,406,350,402,338,323
2021년05월_여_80~89세,"1,290",240,205,269,249,167,160
2021년05월_여_90~99세,287,58,34,62,68,28,37
2021년05월_여_100세 이상,10,4,0,2,2,0,2
