카테고리,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2021년03월_계_총인구수,"54,243","21,219","2,249","2,636","2,777","2,527","2,432","2,783","1,811","3,310","2,513","3,129","1,959","2,238","2,660"
2021년03월_계_연령구간인구수,"54,243","21,219","2,249","2,636","2,777","2,527","2,432","2,783","1,811","3,310","2,513","3,129","1,959","2,238","2,660"
2021년03월_계_0~9세,"2,626","1,787",49,77,80,59,63,79,41,76,68,84,43,50,70
2021년03월_계_10~19세,"4,156","2,614",101,97,200,118,154,102,51,148,102,150,74,110,135
2021년03월_계_20~29세,"4,195","2,319",146,155,165,132,157,143,76,168,151,206,117,137,123
2021년03월_계_30~39세,"3,795","2,080",121,138,126,140,118,136,91,159,158,177,103,115,133
2021년03월_계_40~49세,"6,114","3,138",188,244,247,206,244,215,148,281,252,304,182,210,255
2021년03월_계_50~59세,"8,967","3,416",406,487,451,406,408,436,289,589,492,540,289,360,398
2021년03월_계_60~69세,"9,847","2,850",483,553,547,549,479,629,416,707,524,676,436,454,544
2021년03월_계_70~79세,"8,338","1,826",415,514,581,509,481,619,344,663,459,540,387,429,571
2021년03월_계_80~89세,"5,326",995,292,319,339,355,290,367,309,452,267,388,282,311,360
2021년03월_계_90~99세,846,187,46,49,39,50,37,55,45,66,39,61,46,59,67
2021년03월_계_100세 이상,33,7,2,3,2,3,1,2,1,1,1,3,0,3,4
2021년03월_남_총인구수,"26,832","10,508","1,158","1,342","1,362","1,239","1,179","1,353",884,"1,638","1,261","1,529",999,"1,088","1,292"
2021년03월_남_연령구간인구수,"26,832","10,508","1,158","1,342","1,362","1,239","1,179","1,353",884,"1,638","1,261","1,529",999,"1,088","1,292"
2021년03월_남_0~9세,"1,389",938,25,37,46,36,38,42,18,44,39,44,20,27,35
2021년03월_남_10~19세,"2,272","1,428",61,55,117,53,93,46,32,80,51,71,52,53,80
2021년03월_남_20~29세,"2,401","1,287",91,93,100,84,85,79,50,103,83,122,72,80,72
2021년03월_남_30~39세,"2,041","1,031",73,81,65,86,63,83,54,99,95,103,60,62,86
2021년03월_남_40~49세,"3,459","1,578",121,153,155,121,145,146,95,180,172,175,124,133,161
2021년03월_남_50~59세,"4,913","1,703",243,299,257,236,228,262,180,321,273,294,166,207,244
2021년03월_남_60~69세,"4,899","1,356",272,279,264,266,236,296,197,379,263,353,238,237,263
2021년03월_남_70~79세,"3,625",798,186,226,239,235,202,291,156,277,197,230,169,184,235
2021년03월_남_80~89세,"1,690",352,83,110,112,112,80,103,92,141,83,129,90,99,104
2021년03월_남_90~99세,141,36,3,8,7,10,9,5,10,14,5,8,8,6,12
2021년03월_남_100세 이상,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021년03월_여_총인구수,"27,411","10,711","1,091","1,294","1,415","1,288","1,253","1,430",927,"1,672","1,252","1,600",960,"1,150","1,368"
2021년03월_여_연령구간인구수,"27,411","10,711","1,091","1,294","1,415","1,288","1,253","1,430",927,"1,672","1,252","1,600",960,"1,150","1,368"
2021년03월_여_0~9세,"1,237",849,24,40,34,23,25,37,23,32,29,40,23,23,35
2021년03월_여_10~19세,"1,884","1,186",40,42,83,65,61,56,19,68,51,79,22,57,55
2021년03월_여_20~29세,"1,794","1,032",55,62,65,48,72,64,26,65,68,84,45,57,51
2021년03월_여_30~39세,"1,754","1,049",48,57,61,54,55,53,37,60,63,74,43,53,47
2021년03월_여_40~49세,"2,655","1,560",67,91,92,85,99,69,53,101,80,129,58,77,94
2021년03월_여_50~59세,"4,054","1,713",163,188,194,170,180,174,109,268,219,246,123,153,154
2021년03월_여_60~69세,"4,948","1,494",211,274,283,283,243,333,219,328,261,323,198,217,281
2021년03월_여_70~79세,"4,713","1,028",229,288,342,274,279,328,188,386,262,310,218,245,336
2021년03월_여_80~89세,"3,636",643,209,209,227,243,210,264,217,311,184,259,192,212,256
2021년03월_여_90~99세,705,151,43,41,32,40,28,50,35,52,34,53,38,53,55
2021년03월_여_100세 이상,31,6,2,2,2,3,1,2,1,1,1,3,0,3,4
