,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 감일동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2020년05월_계_총인구수,"281,340","7,733","6,522","45,697","16,359","19,474","25,549","29,521","2,855","8,696","19,169","4,054","3,700","43,726","48,285"
2020년05월_계_연령구간인구수,"281,340","7,733","6,522","45,697","16,359","19,474","25,549","29,521","2,855","8,696","19,169","4,054","3,700","43,726","48,285"
2020년05월_계_0~9세,"30,103",372,315,"3,946",973,"1,130","2,173","4,648",107,"1,462","2,586",133,174,"4,939","7,145"
2020년05월_계_10~19세,"24,271",431,415,"3,995","1,170","1,274","2,612","2,823",157,702,"1,785",208,199,"3,560","4,940"
2020년05월_계_20~29세,"33,753",976,967,"5,230","2,260","2,588","3,067","3,210",322,807,"2,228",477,472,"7,030","4,119"
2020년05월_계_30~39세,"48,219","1,006",998,"6,837","2,294","2,939","3,415","5,651",392,"1,929","3,430",441,435,"10,049","8,403"
2020년05월_계_40~49세,"49,189","1,040",902,"7,305","2,341","2,609","4,442","5,673",377,"1,484","3,636",571,487,"8,094","10,228"
2020년05월_계_50~59세,"41,013","1,495","1,244","7,242","3,013","3,591","4,142","3,694",581,"1,061","2,888",803,778,"4,657","5,824"
2020년05월_계_60~69세,"32,939","1,475",962,"6,489","2,591","3,240","3,302","2,396",525,757,"1,825",777,702,"3,289","4,609"
2020년05월_계_70~79세,"15,345",619,490,"3,352","1,225","1,466","1,682",908,252,329,591,404,302,"1,517","2,208"
2020년05월_계_80~89세,"5,431",265,199,"1,107",417,531,607,387,117,138,160,203,137,495,668
2020년05월_계_90~99세,959,46,24,179,62,97,98,105,18,21,38,29,12,94,136
2020년05월_계_100세 이상,118,8,6,15,13,9,9,26,7,6,2,8,2,2,5
2020년05월_남_총인구수,"141,301","4,234","3,366","22,566","8,264","9,796","12,714","14,675","1,573","4,385","9,351","2,274","2,102","22,185","23,816"
2020년05월_남_연령구간인구수,"141,301","4,234","3,366","22,566","8,264","9,796","12,714","14,675","1,573","4,385","9,351","2,274","2,102","22,185","23,816"
2020년05월_남_0~9세,"15,367",186,158,"1,965",505,595,"1,145","2,349",60,748,"1,269",67,91,"2,567","3,662"
2020년05월_남_10~19세,"12,405",231,221,"2,075",629,635,"1,351","1,444",82,376,870,110,102,"1,781","2,498"
2020년05월_남_20~29세,"17,327",558,521,"2,716","1,205","1,414","1,649","1,626",188,403,"1,110",266,273,"3,316","2,082"
2020년05월_남_30~39세,"24,288",595,582,"3,480","1,242","1,600","1,759","2,611",237,944,"1,519",277,269,"5,320","3,853"
2020년05월_남_40~49세,"25,865",621,490,"3,678","1,220","1,344","2,202","2,993",222,791,"1,878",357,305,"4,383","5,381"
2020년05월_남_50~59세,"20,257",844,641,"3,427","1,421","1,757","1,987","1,817",314,521,"1,378",482,449,"2,375","2,844"
2020년05월_남_60~69세,"15,985",787,464,"3,096","1,241","1,575","1,567","1,176",293,374,943,424,401,"1,485","2,159"
2020년05월_남_70~79세,"7,660",306,215,"1,645",619,701,802,492,123,177,324,198,157,780,"1,121"
2020년05월_남_80~89세,"1,902",92,69,435,163,161,223,136,45,42,49,87,53,158,189
2020년05월_남_90~99세,212,12,3,44,16,11,28,21,7,8,11,4,2,20,25
2020년05월_남_100세 이상,33,2,2,5,3,3,1,10,2,1,0,2,0,0,2
2020년05월_여_총인구수,"140,039","3,499","3,156","23,131","8,095","9,678","12,835","14,846","1,282","4,311","9,818","1,780","1,598","21,541","24,469"
2020년05월_여_연령구간인구수,"140,039","3,499","3,156","23,131","8,095","9,678","12,835","14,846","1,282","4,311","9,818","1,780","1,598","21,541","24,469"
2020년05월_여_0~9세,"14,736",186,157,"1,981",468,535,"1,028","2,299",47,714,"1,317",66,83,"2,372","3,483"
2020년05월_여_10~19세,"11,866",200,194,"1,920",541,639,"1,261","1,379",75,326,915,98,97,"1,779","2,442"
2020년05월_여_20~29세,"16,426",418,446,"2,514","1,055","1,174","1,418","1,584",134,404,"1,118",211,199,"3,714","2,037"
2020년05월_여_30~39세,"23,931",411,416,"3,357","1,052","1,339","1,656","3,040",155,985,"1,911",164,166,"4,729","4,550"
2020년05월_여_40~49세,"23,324",419,412,"3,627","1,121","1,265","2,240","2,680",155,693,"1,758",214,182,"3,711","4,847"
2020년05월_여_50~59세,"20,756",651,603,"3,815","1,592","1,834","2,155","1,877",267,540,"1,510",321,329,"2,282","2,980"
2020년05월_여_60~69세,"16,954",688,498,"3,393","1,350","1,665","1,735","1,220",232,383,882,353,301,"1,804","2,450"
2020년05월_여_70~79세,"7,685",313,275,"1,707",606,765,880,416,129,152,267,206,145,737,"1,087"
2020년05월_여_80~89세,"3,529",173,130,672,254,370,384,251,72,96,111,116,84,337,479
2020년05월_여_90~99세,747,34,21,135,46,86,70,84,11,13,27,25,10,74,111
2020년05월_여_100세 이상,85,6,4,10,10,6,8,16,5,5,2,6,2,2,3
