카테고리,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2021년03월_계_총인구수,"221,463","10,601","5,146","4,771","8,524","9,717","12,998","5,092","7,696","5,438","6,109","2,877","4,208","3,130","9,328","17,352","10,831","21,274","11,874","16,574","4,807","11,440","8,537","23,139"
2021년03월_계_연령구간인구수,"221,463","10,601","5,146","4,771","8,524","9,717","12,998","5,092","7,696","5,438","6,109","2,877","4,208","3,130","9,328","17,352","10,831","21,274","11,874","16,574","4,807","11,440","8,537","23,139"
2021년03월_계_0~9세,"17,614",451,218,166,587,"1,344",944,465,208,188,405,56,132,134,671,"1,795",973,"1,834",805,"1,283",402,"1,141",678,"2,734"
2021년03월_계_10~19세,"24,145",717,312,325,908,"1,138","1,503",478,414,330,606,133,203,225,"1,000","2,464","1,452","2,389","1,138","1,828",508,"1,567",874,"3,633"
2021년03월_계_20~29세,"26,899","1,083",517,415,995,"1,244","1,755",526,715,521,691,203,468,305,"1,105","1,797","1,166","2,491","2,189","2,595",547,"1,493","1,212","2,866"
2021년03월_계_30~39세,"24,876",981,445,372,867,"1,637","1,325",687,592,441,609,197,278,245,952,"2,063","1,155","2,489","1,581","1,925",543,"1,427","1,069","2,996"
2021년03월_계_40~49세,"36,915","1,373",689,646,"1,315","1,715","2,204",813,994,705,946,385,495,415,"1,515","3,320","1,895","3,557","2,049","2,698",796,"2,140","1,427","4,823"
2021년03월_계_50~59세,"36,053","1,773",845,830,"1,439","1,216","2,334",797,"1,329",869,943,516,685,508,"1,624","2,502","1,612","3,456","1,966","3,092",772,"1,841","1,607","3,497"
2021년03월_계_60~69세,"29,125","2,086","1,062",864,"1,256",816,"1,622",683,"1,527","1,074",993,667,840,569,"1,367","1,814","1,417","2,835","1,268","1,951",663,"1,080",968,"1,703"
2021년03월_계_70~79세,"17,589","1,492",788,766,779,418,902,420,"1,294",930,657,489,722,495,753,"1,050",768,"1,503",585,790,386,494,471,637
2021년03월_계_80~89세,"7,252",569,230,340,331,163,371,205,522,343,237,205,347,213,310,485,345,624,250,364,163,225,205,205
2021년03월_계_90~99세,959,74,39,43,46,25,38,16,96,35,22,26,36,21,31,60,44,93,40,46,27,31,25,45
2021년03월_계_100세 이상,36,2,1,4,1,1,0,2,5,2,0,0,2,0,0,2,4,3,3,2,0,1,1,0
2021년03월_남_총인구수,"110,341","5,329","2,592","2,428","4,132","4,791","6,409","2,519","3,931","2,858","2,997","1,537","2,268","1,632","4,687","8,526","5,343","10,428","6,099","8,255","2,398","5,472","4,166","11,544"
