,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2020년06월_계_총인구수,"2,947,217","138,783","63,546","406,125","372,566","530,416","502,365","299,853","544,136","69,060","20,367"
2020년06월_계_연령구간인구수,"2,947,217","138,783","63,546","406,125","372,566","530,416","502,365","299,853","544,136","69,060","20,367"
2020년06월_계_0~9세,"235,526","12,184","4,069","28,139","36,886","44,007","34,678","19,533","51,772","3,293",965
2020년06월_계_10~19세,"277,423","12,552","5,209","32,325","41,501","50,825","44,606","27,531","57,065","4,669","1,140"
2020년06월_계_20~29세,"404,099","19,308","6,750","57,263","50,829","71,841","71,637","45,044","73,278","5,496","2,653"
2020년06월_계_30~39세,"412,813","21,320","7,278","56,608","55,309","75,110","69,790","38,762","81,308","5,400","1,928"
2020년06월_계_40~49세,"486,833","24,410","10,274","63,898","66,023","89,886","78,993","46,915","96,152","7,858","2,424"
2020년06월_계_50~59세,"513,748","20,077","10,248","67,843","62,700","90,849","91,623","61,479","93,185","12,094","3,650"
2020년06월_계_60~69세,"353,459","15,482","9,848","54,356","35,862","63,389","63,993","37,054","55,776","13,815","3,884"
2020년06월_계_70~79세,"175,105","9,191","6,598","31,099","15,133","30,295","31,192","15,293","23,871","10,082","2,351"
2020년06월_계_80~89세,"75,394","3,572","2,776","12,487","7,044","12,120","13,599","7,111","10,023","5,538","1,124"
2020년06월_계_90~99세,"11,889",607,421,"1,927","1,227","1,965","2,059","1,065","1,604",777,237
2020년06월_계_100세 이상,928,80,75,180,52,129,195,66,102,38,11
2020년06월_남_총인구수,"1,476,813","71,833","32,101","204,638","185,258","263,707","248,663","149,655","274,761","34,617","11,580"
2020년06월_남_연령구간인구수,"1,476,813","71,833","32,101","204,638","185,258","263,707","248,663","149,655","274,761","34,617","11,580"
2020년06월_남_0~9세,"120,847","6,259","2,146","14,399","18,806","22,673","17,719","9,949","26,689","1,713",494
2020년06월_남_10~19세,"142,763","6,519","2,689","16,668","21,324","25,974","23,116","14,217","29,225","2,401",630
2020년06월_남_20~29세,"210,883","9,756","3,670","30,334","26,342","37,170","36,890","23,499","38,117","3,178","1,927"
2020년06월_남_30~39세,"213,371","11,522","3,870","30,340","27,332","38,569","36,111","20,115","41,475","2,841","1,196"
2020년06월_남_40~49세,"248,676","13,389","5,538","33,755","32,464","45,731","39,667","23,305","49,010","4,274","1,543"
2020년06월_남_50~59세,"256,964","10,991","5,433","34,021","31,053","44,774","44,953","30,120","47,298","6,220","2,101"
2020년06월_남_60~69세,"175,164","7,678","4,754","26,078","18,463","30,614","31,163","19,082","28,397","6,857","2,078"
2020년06월_남_70~79세,"79,590","4,259","2,908","14,077","6,933","13,681","14,011","6,863","10,946","4,754","1,158"
2020년06월_남_80~89세,"25,715","1,286",962,"4,482","2,244","4,088","4,561","2,260","3,256","2,175",401
2020년06월_남_90~99세,"2,594",147,108,435,284,403,429,230,315,195,48
2020년06월_남_100세 이상,246,27,23,49,13,30,43,15,33,9,4
2020년06월_여_총인구수,"1,470,404","66,950","31,445","201,487","187,308","266,709","253,702","150,198","269,375","34,443","8,787"
2020년06월_여_연령구간인구수,"1,470,404","66,950","31,445","201,487","187,308","266,709","253,702","150,198","269,375","34,443","8,787"
2020년06월_여_0~9세,"114,679","5,925","1,923","13,740","18,080","21,334","16,959","9,584","25,083","1,580",471
2020년06월_여_10~19세,"134,660","6,033","2,520","15,657","20,177","24,851","21,490","13,314","27,840","2,268",510
2020년06월_여_20~29세,"193,216","9,552","3,080","26,929","24,487","34,671","34,747","21,545","35,161","2,318",726
2020년06월_여_30~39세,"199,442","9,798","3,408","26,268","27,977","36,541","33,679","18,647","39,833","2,559",732
2020년06월_여_40~49세,"238,157","11,021","4,736","30,143","33,559","44,155","39,326","23,610","47,142","3,584",881
2020년06월_여_50~59세,"256,784","9,086","4,815","33,822","31,647","46,075","46,670","31,359","45,887","5,874","1,549"
2020년06월_여_60~69세,"178,295","7,804","5,094","28,278","17,399","32,775","32,830","17,972","27,379","6,958","1,806"
2020년06월_여_70~79세,"95,515","4,932","3,690","17,022","8,200","16,614","17,181","8,430","12,925","5,328","1,193"
2020년06월_여_80~89세,"49,679","2,286","1,814","8,005","4,800","8,032","9,038","4,851","6,767","3,363",723
2020년06월_여_90~99세,"9,295",460,313,"1,492",943,"1,562","1,630",835,"1,289",582,189
2020년06월_여_100세 이상,682,53,52,131,39,99,152,51,69,29,7
