카테고리,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2020년06월_계_총인구수,"16,748","7,321","2,161","1,725","1,780","1,685","2,076"
2020년06월_계_연령구간인구수,"16,748","7,321","2,161","1,725","1,780","1,685","2,076"
2020년06월_계_0~9세,767,453,83,61,49,53,68
2020년06월_계_10~19세,961,570,82,53,84,92,80
2020년06월_계_20~29세,"1,163",665,105,76,109,92,116
2020년06월_계_30~39세,"1,053",640,112,64,67,68,102
2020년06월_계_40~49세,"1,778",973,189,132,144,166,174
2020년06월_계_50~59세,"3,001","1,245",386,291,345,327,407
2020년06월_계_60~69세,"3,347","1,248",499,404,375,361,460
2020년06월_계_70~79세,"2,708",911,409,378,316,292,402
2020년06월_계_80~89세,"1,710",517,257,238,264,194,240
2020년06월_계_90~99세,234,91,37,24,25,35,22
2020년06월_계_100세 이상,26,8,2,4,2,5,5
2020년06월_남_총인구수,"8,277","3,596","1,041",873,880,844,"1,043"
2020년06월_남_연령구간인구수,"8,277","3,596","1,041",873,880,844,"1,043"
2020년06월_남_0~9세,399,246,39,32,22,31,29
2020년06월_남_10~19세,500,288,49,29,44,47,43
2020년06월_남_20~29세,671,371,63,44,63,57,73
2020년06월_남_30~39세,565,329,59,41,41,40,55
2020년06월_남_40~49세,"1,060",551,126,88,80,104,111
2020년06월_남_50~59세,"1,630",641,206,178,195,181,229
2020년06월_남_60~69세,"1,661",603,237,195,197,182,247
2020년06월_남_70~79세,"1,173",383,175,189,139,120,167
2020년06월_남_80~89세,553,165,76,69,91,68,84
2020년06월_남_90~99세,59,17,9,7,8,13,5
2020년06월_남_100세 이상,6,2,2,1,0,1,0
2020년06월_여_총인구수,"8,471","3,725","1,120",852,900,841,"1,033"
2020년06월_여_연령구간인구수,"8,471","3,725","1,120",852,900,841,"1,033"
2020년06월_여_0~9세,368,207,44,29,27,22,39
2020년06월_여_10~19세,461,282,33,24,40,45,37
2020년06월_여_20~29세,492,294,42,32,46,35,43
2020년06월_여_30~39세,488,311,53,23,26,28,47
2020년06월_여_40~49세,718,422,63,44,64,62,63
2020년06월_여_50~59세,"1,371",604,180,113,150,146,178
2020년06월_여_60~69세,"1,686",645,262,209,178,179,213
2020년06월_여_70~79세,"1,535",528,234,189,177,172,235
2020년06월_여_80~89세,"1,157",352,181,169,173,126,156
2020년06월_여_90~99세,175,74,28,17,17,22,17
2020년06월_여_100세 이상,20,6,0,3,2,4,5
