카테고리,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2021년05월_계_총인구수,"420,820","16,488","15,789","16,390","20,029","23,019","11,208","20,095","18,407","12,111","14,977","24,054","11,038","11,146","16,729","12,771","14,266","22,303","18,992","11,546","17,298","31,126","27,362","33,676"
2021년05월_계_연령구간인구수,"420,820","16,488","15,789","16,390","20,029","23,019","11,208","20,095","18,407","12,111","14,977","24,054","11,038","11,146","16,729","12,771","14,266","22,303","18,992","11,546","17,298","31,126","27,362","33,676"
2021년05월_계_0~9세,"29,312","1,491","1,082","1,936","1,684","1,770",487,"1,334","1,222","1,055",824,"2,050",537,713,984,974,882,964,"1,055",344,"1,304","2,216","1,978","2,426"
2021년05월_계_10~19세,"50,122","2,127","1,790","2,010","4,468","2,438","1,100","3,863","2,179","1,706","1,409","4,056",850,718,"1,302",985,"1,155","1,802","1,806",644,"1,887","4,578","3,133","4,116"
2021년05월_계_20~29세,"54,420","2,006","2,256","2,097","1,922","2,940","1,847","2,500","2,161","1,269","2,083","2,687","1,771","1,413","2,061","1,216","2,181","3,281","2,500","1,307","2,107","4,288","3,801","4,726"
2021년05월_계_30~39세,"42,162","1,737","2,008","2,061","1,373","2,321","1,164","1,348","1,565","1,104","1,454","1,933","1,312","1,476","1,986","1,499","1,877","2,232","1,885",950,"1,809","2,820","2,854","3,394"
2021년05월_계_40~49세,"71,545","2,950","2,684","3,262","4,999","3,631","1,654","4,438","3,123","2,374","2,124","4,763","1,744","1,786","2,454","1,898","2,311","3,069","2,784","1,281","2,860","5,486","4,400","5,470"
2021년05월_계_50~59세,"74,856","2,798","2,671","2,601","2,904","4,097","2,086","3,415","3,196","1,881","2,948","4,190","1,901","1,937","2,878","2,056","2,762","4,181","3,574","2,148","3,125","5,800","5,010","6,697"
2021년05월_계_60~69세,"53,179","1,711","1,824","1,313","1,404","3,039","1,541","1,699","2,320","1,422","2,156","2,492","1,510","1,667","2,725","2,162","1,841","3,555","2,996","2,424","2,596","3,448","3,522","3,812"
2021년05월_계_70~79세,"28,916","1,067",984,734,837,"1,779",837,"1,000","1,657",872,"1,231","1,187",964,936,"1,510","1,329",832,"2,082","1,468","1,526","1,077","1,537","1,651","1,819"
2021년05월_계_80~89세,"14,305",535,438,327,383,885,444,441,873,381,662,598,404,436,705,560,366,983,826,811,462,839,873,"1,073"
2021년05월_계_90~99세,"1,927",60,50,47,52,115,46,55,108,45,85,93,45,61,124,88,55,150,96,107,66,109,132,138
2021년05월_계_100세 이상,76,6,2,2,3,4,2,2,3,2,1,5,0,3,0,4,4,4,2,4,5,5,8,5
2021년05월_남_총인구수,"203,573","7,840","7,678","7,866","9,837","11,237","5,577","10,534","8,474","5,866","6,979","11,531","5,314","5,546","8,081","6,162","6,974","10,604","8,946","5,250","8,393","15,110","13,553","16,221"
2021년05월_남_연령구간인구수,"203,573","7,840","7,678","7,866","9,837","11,237","5,577","10,534","8,474","5,866","6,979","11,531","5,314","5,546","8,081","6,162","6,974","10,604","8,946","5,250","8,393","15,110","13,553","16,221"
2021년05월_남_0~9세,"15,114",745,552,972,902,935,241,771,583,551,417,"1,046",268,381,522,483,446,512,538,173,657,"1,151",998,"1,270"
2021년05월_남_10~19세,"26,449","1,023",938,977,"2,369","1,270",622,"2,525","1,003",864,679,"2,060",425,381,679,540,583,"1,009",918,330,"1,017","2,342","1,719","2,176"
2021년05월_남_20~29세,"29,147","1,038","1,143","1,088","1,038","1,618","1,013","1,475","1,135",659,"1,087","1,457",863,722,"1,056",682,"1,162","1,768","1,320",704,"1,153","2,311","2,144","2,511"
2021년05월_남_30~39세,"20,590",761,968,913,599,"1,127",634,605,764,501,709,866,677,781,"1,027",752,937,"1,168",932,494,906,"1,382","1,421","1,666"
2021년05월_남_40~49세,"32,643","1,375","1,237","1,528","2,231","1,668",754,"1,930","1,409","1,137",916,"2,109",854,904,"1,181",926,"1,099","1,400","1,251",623,"1,308","2,404","2,015","2,384"
2021년05월_남_50~59세,"36,218","1,374","1,307","1,314","1,560","1,982","1,033","1,814","1,526",983,"1,367","2,073",946,990,"1,384",965,"1,344","1,913","1,617",969,"1,443","2,755","2,405","3,154"
2021년05월_남_60~69세,"25,099",829,879,626,634,"1,447",724,802,"1,027",642,993,"1,167",681,787,"1,283",957,873,"1,597","1,387","1,118","1,230","1,741","1,751","1,924"
2021년05월_남_70~79세,"12,584",447,464,312,355,800,384,427,670,366,532,518,424,412,680,627,374,864,657,593,513,689,732,744
2021년05월_남_80~89세,"5,252",227,178,121,137,357,163,169,332,151,250,216,163,172,250,208,141,340,298,226,154,305,334,360
2021년05월_남_90~99세,456,20,12,15,10,33,8,15,25,12,29,18,13,16,19,21,14,32,27,19,10,28,32,28
2021년05월_남_100세 이상,21,1,0,0,2,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,2,2,2,4
2021년05월_여_총인구수,"217,247","8,648","8,111","8,524","10,192","11,782","5,631","9,561","9,933","6,245","7,998","12,523","5,724","5,600","8,648","6,609","7,292","11,699","10,046","6,296","8,905","16,016","13,809","17,455"
2021년05월_여_연령구간인구수,"217,247","8,648","8,111","8,524","10,192","11,782","5,631","9,561","9,933","6,245","7,998","12,523","5,724","5,600","8,648","6,609","7,292","11,699","10,046","6,296","8,905","16,016","13,809","17,455"
2021년05월_여_0~9세,"14,198",746,530,964,782,835,246,563,639,504,407,"1,004",269,332,462,491,436,452,517,171,647,"1,065",980,"1,156"
2021년05월_여_10~19세,"23,673","1,104",852,"1,033","2,099","1,168",478,"1,338","1,176",842,730,"1,996",425,337,623,445,572,793,888,314,870,"2,236","1,414","1,940"
2021년05월_여_20~29세,"25,273",968,"1,113","1,009",884,"1,322",834,"1,025","1,026",610,996,"1,230",908,691,"1,005",534,"1,019","1,513","1,180",603,954,"1,977","1,657","2,215"
2021년05월_여_30~39세,"21,572",976,"1,040","1,148",774,"1,194",530,743,801,603,745,"1,067",635,695,959,747,940,"1,064",953,456,903,"1,438","1,433","1,728"
2021년05월_여_40~49세,"38,902","1,575","1,447","1,734","2,768","1,963",900,"2,508","1,714","1,237","1,208","2,654",890,882,"1,273",972,"1,212","1,669","1,533",658,"1,552","3,082","2,385","3,086"
2021년05월_여_50~59세,"38,638","1,424","1,364","1,287","1,344","2,115","1,053","1,601","1,670",898,"1,581","2,117",955,947,"1,494","1,091","1,418","2,268","1,957","1,179","1,682","3,045","2,605","3,543"
2021년05월_여_60~69세,"28,080",882,945,687,770,"1,592",817,897,"1,293",780,"1,163","1,325",829,880,"1,442","1,205",968,"1,958","1,609","1,306","1,366","1,707","1,771","1,888"
2021년05월_여_70~79세,"16,332",620,520,422,482,979,453,573,987,506,699,669,540,524,830,702,458,"1,218",811,933,564,848,919,"1,075"
2021년05월_여_80~89세,"9,053",308,260,206,246,528,281,272,541,230,412,382,241,264,455,352,225,643,528,585,308,534,539,713
2021년05월_여_90~99세,"1,471",40,38,32,42,82,38,40,83,33,56,75,32,45,105,67,41,118,69,88,56,81,100,110
2021년05월_여_100세 이상,55,5,2,2,1,4,1,1,3,2,1,4,0,3,0,3,3,3,1,3,3,3,6,1
