카테고리,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2021년12월_계_총인구수,"733,798","60,226","93,408","104,016","14,794","23,505","53,494","28,863","19,511","8,957","4,086","57,475","36,620","18,448","4,220","91,650","35,495","79,030"
2021년12월_계_연령구간인구수,"733,798","60,226","93,408","104,016","14,794","23,505","53,494","28,863","19,511","8,957","4,086","57,475","36,620","18,448","4,220","91,650","35,495","79,030"
2021년12월_계_0~9세,"63,527","3,615","7,573","8,145","1,534",905,"3,605","1,549","1,130",303,182,"6,044","3,052",619,146,"12,259","4,466","8,400"
2021년12월_계_10~19세,"78,293","7,112","11,393","11,379","1,388","1,742","6,436","2,471","1,867",542,225,"7,138","4,847","1,076",159,"9,453","3,896","7,169"
2021년12월_계_20~29세,"86,336","7,519","10,755","12,166","1,539","3,108","6,782","3,837","2,471",802,399,"6,221","4,598","2,414",480,"9,936","3,659","9,650"
2021년12월_계_30~39세,"90,426","5,651","9,921","11,779","2,088","2,253","5,340","3,194","1,708",733,382,"7,357","4,265","1,980",456,"15,451","5,026","12,842"
2021년12월_계_40~49세,"132,228","10,374","17,073","19,480","2,619","3,120","9,762","4,066","3,092",981,500,"11,829","7,132","2,115",426,"18,100","7,431","14,128"
2021년12월_계_50~59세,"122,453","11,082","15,767","17,986","2,338","4,996","10,067","5,527","3,676","1,800",757,"8,710","6,164","3,785",833,"11,863","5,296","11,806"
2021년12월_계_60~69세,"90,900","7,829","11,783","12,875","1,981","4,284","6,143","4,828","2,907","1,999",911,"5,526","3,624","3,798","1,036","8,581","3,569","9,226"
2021년12월_계_70~79세,"46,068","4,683","6,036","6,857",829,"1,956","3,486","2,226","1,681","1,129",458,"3,149","1,913","1,638",440,"4,141","1,470","3,976"
2021년12월_계_80~89세,"20,519","2,045","2,758","2,955",385,994,"1,655","1,031",847,530,234,"1,297",904,880,223,"1,607",593,"1,581"
2021년12월_계_90~99세,"2,934",304,336,381,92,141,211,128,125,130,38,197,118,140,20,251,88,234
2021년12월_계_100세 이상,114,12,13,13,1,6,7,6,7,8,0,7,3,3,1,8,1,18
2021년12월_남_총인구수,"365,103","29,681","47,191","52,008","7,443","12,230","26,872","14,392","9,778","4,720","2,110","28,029","18,078","9,442","2,416","44,975","17,336","38,402"
2021년12월_남_연령구간인구수,"365,103","29,681","47,191","52,008","7,443","12,230","26,872","14,392","9,778","4,720","2,110","28,029","18,078","9,442","2,416","44,975","17,336","38,402"
2021년12월_남_0~9세,"32,641","1,879","3,930","4,199",792,500,"1,862",769,591,165,102,"3,151","1,571",308,80,"6,241","2,257","4,244"
2021년12월_남_10~19세,"40,342","3,643","5,902","5,971",721,900,"3,335","1,295","1,003",315,107,"3,643","2,516",566,81,"4,765","2,019","3,560"
2021년12월_남_20~29세,"44,876","3,981","5,740","6,387",806,"1,732","3,576","2,042","1,266",465,223,"3,247","2,298","1,353",285,"4,898","1,867","4,710"
2021년12월_남_30~39세,"44,673","2,815","4,963","5,903","1,044","1,252","2,729","1,699",870,405,201,"3,458","2,119","1,147",282,"7,264","2,276","6,246"
2021년12월_남_40~49세,"66,249","4,882","8,566","9,792","1,348","1,655","4,845","2,039","1,588",543,262,"5,717","3,487","1,127",270,"9,324","3,731","7,073"
2021년12월_남_50~59세,"62,456","5,607","8,344","9,324","1,181","2,637","5,323","2,688","1,896","1,006",396,"4,373","3,143","1,914",481,"5,875","2,620","5,648"
2021년12월_남_60~69세,"44,243","3,755","5,918","6,194",987,"2,258","3,009","2,403","1,415","1,034",484,"2,515","1,717","1,928",616,"3,964","1,648","4,398"
2021년12월_남_70~79세,"21,078","2,188","2,706","3,015",396,899,"1,510","1,043",743,554,226,"1,368",860,765,221,"1,991",680,"1,913"
2021년12월_남_80~89세,"7,842",840,"1,034","1,124",150,366,632,381,364,208,102,514,334,308,94,612,219,560
2021년12월_남_90~99세,682,87,87,96,17,31,50,32,40,23,7,42,33,26,6,41,19,45
2021년12월_남_100세 이상,21,4,1,3,1,0,1,1,2,2,0,1,0,0,0,0,0,5
2021년12월_여_총인구수,"368,695","30,545","46,217","52,008","7,351","11,275","26,622","14,471","9,733","4,237","1,976","29,446","18,542","9,006","1,804","46,675","18,159","40,628"
2021년12월_여_연령구간인구수,"368,695","30,545","46,217","52,008","7,351","11,275","26,622","14,471","9,733","4,237","1,976","29,446","18,542","9,006","1,804","46,675","18,159","40,628"
2021년12월_여_0~9세,"30,886","1,736","3,643","3,946",742,405,"1,743",780,539,138,80,"2,893","1,481",311,66,"6,018","2,209","4,156"
2021년12월_여_10~19세,"37,951","3,469","5,491","5,408",667,842,"3,101","1,176",864,227,118,"3,495","2,331",510,78,"4,688","1,877","3,609"
2021년12월_여_20~29세,"41,460","3,538","5,015","5,779",733,"1,376","3,206","1,795","1,205",337,176,"2,974","2,300","1,061",195,"5,038","1,792","4,940"
2021년12월_여_30~39세,"45,753","2,836","4,958","5,876","1,044","1,001","2,611","1,495",838,328,181,"3,899","2,146",833,174,"8,187","2,750","6,596"
2021년12월_여_40~49세,"65,979","5,492","8,507","9,688","1,271","1,465","4,917","2,027","1,504",438,238,"6,112","3,645",988,156,"8,776","3,700","7,055"
2021년12월_여_50~59세,"59,997","5,475","7,423","8,662","1,157","2,359","4,744","2,839","1,780",794,361,"4,337","3,021","1,871",352,"5,988","2,676","6,158"
2021년12월_여_60~69세,"46,657","4,074","5,865","6,681",994,"2,026","3,134","2,425","1,492",965,427,"3,011","1,907","1,870",420,"4,617","1,921","4,828"
2021년12월_여_70~79세,"24,990","2,495","3,330","3,842",433,"1,057","1,976","1,183",938,575,232,"1,781","1,053",873,219,"2,150",790,"2,063"
2021년12월_여_80~89세,"12,677","1,205","1,724","1,831",235,628,"1,023",650,483,322,132,783,570,572,129,995,374,"1,021"
2021년12월_여_90~99세,"2,252",217,249,285,75,110,161,96,85,107,31,155,85,114,14,210,69,189
2021년12월_여_100세 이상,93,8,12,10,0,6,6,5,5,6,0,6,3,3,1,8,1,13
