카테고리,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2021년08월_계_총인구수,"30,792","9,919","1,422","1,826","2,531","8,346","1,906","1,543","3,299"
2021년08월_계_연령구간인구수,"30,792","9,919","1,422","1,826","2,531","8,346","1,906","1,543","3,299"
2021년08월_계_0~9세,"1,348",580,35,42,64,460,41,25,101
2021년08월_계_10~19세,"1,931",872,39,48,70,728,33,41,100
2021년08월_계_20~29세,"2,364",910,82,100,189,742,111,67,163
2021년08월_계_30~39세,"2,114",770,59,101,162,692,104,71,155
2021년08월_계_40~49세,"3,622","1,449",94,142,224,"1,193",129,128,263
2021년08월_계_50~59세,"5,740","1,835",244,324,521,"1,580",398,273,565
2021년08월_계_60~69세,"6,513","1,742",382,462,635,"1,588",493,353,858
2021년08월_계_70~79세,"4,128","1,078",237,332,384,856,341,323,577
2021년08월_계_80~89세,"2,687",614,222,243,243,455,218,243,449
2021년08월_계_90~99세,336,67,26,31,39,52,37,19,65
2021년08월_계_100세 이상,9,2,2,1,0,0,1,0,3
2021년08월_남_총인구수,"15,830","5,007",711,921,"1,387","4,336","1,027",800,"1,641"
2021년08월_남_연령구간인구수,"15,830","5,007",711,921,"1,387","4,336","1,027",800,"1,641"
2021년08월_남_0~9세,696,306,18,19,29,237,24,13,50
2021년08월_남_10~19세,"1,032",480,21,28,35,378,19,17,54
2021년08월_남_20~29세,"1,391",539,46,56,113,427,68,48,94
2021년08월_남_30~39세,"1,146",388,34,58,101,368,64,47,86
2021년08월_남_40~49세,"2,041",754,55,93,148,651,87,85,168
2021년08월_남_50~59세,"3,268","1,015",137,184,314,883,248,166,321
2021년08월_남_60~69세,"3,454",863,217,244,363,831,283,189,464
2021년08월_남_70~79세,"1,838",448,99,151,185,383,161,154,257
2021년08월_남_80~89세,883,200,74,78,89,165,63,79,135
2021년08월_남_90~99세,77,14,9,9,10,13,9,2,11
2021년08월_남_100세 이상,4,0,1,1,0,0,1,0,1
2021년08월_여_총인구수,"14,962","4,912",711,905,"1,144","4,010",879,743,"1,658"
2021년08월_여_연령구간인구수,"14,962","4,912",711,905,"1,144","4,010",879,743,"1,658"
2021년08월_여_0~9세,652,274,17,23,35,223,17,12,51
2021년08월_여_10~19세,899,392,18,20,35,350,14,24,46
2021년08월_여_20~29세,973,371,36,44,76,315,43,19,69
2021년08월_여_30~39세,968,382,25,43,61,324,40,24,69
2021년08월_여_40~49세,"1,581",695,39,49,76,542,42,43,95
2021년08월_여_50~59세,"2,472",820,107,140,207,697,150,107,244
2021년08월_여_60~69세,"3,059",879,165,218,272,757,210,164,394
2021년08월_여_70~79세,"2,290",630,138,181,199,473,180,169,320
2021년08월_여_80~89세,"1,804",414,148,165,154,290,155,164,314
2021년08월_여_90~99세,259,53,17,22,29,39,28,17,54
2021년08월_여_100세 이상,5,2,1,0,0,0,0,0,2
