,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2020년11월_계_총인구수,"44,706","5,413","3,600","11,989","15,492","1,999","3,819","2,285",109,0,0,0,0
2020년11월_계_연령구간인구수,"44,706","5,413","3,600","11,989","15,492","1,999","3,819","2,285",109,0,0,0,0
2020년11월_계_0~9세,"3,346",419,362,805,"1,170",165,237,188,0,0,0,0,0
2020년11월_계_10~19세,"3,818",495,260,999,"1,479",98,345,139,3,0,0,0,0
2020년11월_계_20~29세,"5,847",679,551,"1,605","1,834",426,457,292,3,0,0,0,0
2020년11월_계_30~39세,"4,671",553,459,"1,231","1,568",233,361,262,4,0,0,0,0
2020년11월_계_40~49세,"5,708",689,376,"1,607","2,086",196,542,203,9,0,0,0,0
2020년11월_계_50~59세,"7,246",901,490,"2,048","2,558",242,647,344,16,0,0,0,0
2020년11월_계_60~69세,"6,694",762,492,"1,822","2,322",273,591,412,20,0,0,0,0
2020년11월_계_70~79세,"4,738",597,373,"1,216","1,598",226,388,299,41,0,0,0,0
2020년11월_계_80~89세,"2,231",277,202,548,735,114,212,130,13,0,0,0,0
2020년11월_계_90~99세,364,39,33,98,123,21,35,15,0,0,0,0,0
2020년11월_계_100세 이상,43,2,2,10,19,5,4,1,0,0,0,0,0
2020년11월_남_총인구수,"23,235","2,763","1,917","6,436","7,803","1,117","1,917","1,231",51,0,0,0,0
2020년11월_남_연령구간인구수,"23,235","2,763","1,917","6,436","7,803","1,117","1,917","1,231",51,0,0,0,0
2020년11월_남_0~9세,"1,691",193,207,405,575,81,125,105,0,0,0,0,0
2020년11월_남_10~19세,"1,981",276,131,546,726,58,173,69,2,0,0,0,0
2020년11월_남_20~29세,"3,800",408,366,"1,094","1,112",312,289,218,1,0,0,0,0
2020년11월_남_30~39세,"2,574",307,256,700,829,146,188,146,2,0,0,0,0
2020년11월_남_40~49세,"3,055",367,210,865,"1,081",116,292,118,6,0,0,0,0
2020년11월_남_50~59세,"3,862",489,269,"1,094","1,359",129,332,180,10,0,0,0,0
2020년11월_남_60~69세,"3,275",358,249,926,"1,113",131,274,217,7,0,0,0,0
2020년11월_남_70~79세,"2,095",262,145,563,717,99,164,130,15,0,0,0,0
2020년11월_남_80~89세,809,95,78,217,254,37,76,44,8,0,0,0,0
2020년11월_남_90~99세,82,8,6,22,33,6,3,4,0,0,0,0,0
2020년11월_남_100세 이상,11,0,0,4,4,2,1,0,0,0,0,0,0
2020년11월_여_총인구수,"21,471","2,650","1,683","5,553","7,689",882,"1,902","1,054",58,0,0,0,0
2020년11월_여_연령구간인구수,"21,471","2,650","1,683","5,553","7,689",882,"1,902","1,054",58,0,0,0,0
2020년11월_여_0~9세,"1,655",226,155,400,595,84,112,83,0,0,0,0,0
2020년11월_여_10~19세,"1,837",219,129,453,753,40,172,70,1,0,0,0,0
2020년11월_여_20~29세,"2,047",271,185,511,722,114,168,74,2,0,0,0,0
2020년11월_여_30~39세,"2,097",246,203,531,739,87,173,116,2,0,0,0,0
2020년11월_여_40~49세,"2,653",322,166,742,"1,005",80,250,85,3,0,0,0,0
2020년11월_여_50~59세,"3,384",412,221,954,"1,199",113,315,164,6,0,0,0,0
2020년11월_여_60~69세,"3,419",404,243,896,"1,209",142,317,195,13,0,0,0,0
2020년11월_여_70~79세,"2,643",335,228,653,881,127,224,169,26,0,0,0,0
2020년11월_여_80~89세,"1,422",182,124,331,481,77,136,86,5,0,0,0,0
2020년11월_여_90~99세,282,31,27,76,90,15,32,11,0,0,0,0,0
2020년11월_여_100세 이상,32,2,2,6,15,3,3,1,0,0,0,0,0
