,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 완산구 중앙동,전라북도 전주시 완산구 풍남동,전라북도 전주시 완산구 노송동,전라북도 전주시 완산구 완산동,전라북도 전주시 완산구 동서학동,전라북도 전주시 완산구 서서학동,전라북도 전주시 완산구 중화산1동,전라북도 전주시 완산구 중화산2동,전라북도 전주시 완산구 서신동,전라북도 전주시 완산구 평화1동,전라북도 전주시 완산구 평화2동,전라북도 전주시 완산구 삼천1동,전라북도 전주시 완산구 삼천2동,전라북도 전주시 완산구 삼천3동,전라북도 전주시 완산구 효자1동,전라북도 전주시 완산구 효자2동,전라북도 전주시 완산구 효자3동,전라북도 전주시 완산구 효자4동,전라북도 전주시 완산구 효자5동,전라북도 전주시 덕진구,전라북도 전주시 덕진구 진북동,전라북도 전주시 덕진구 인후1동,전라북도 전주시 덕진구 인후2동,전라북도 전주시 덕진구 인후3동,전라북도 전주시 덕진구 덕진동,전라북도 전주시 덕진구 금암1동,전라북도 전주시 덕진구 금암2동,전라북도 전주시 덕진구 팔복동,전라북도 전주시 덕진구 우아1동,전라북도 전주시 덕진구 우아2동,전라북도 전주시 덕진구 호성동,전라북도 전주시 덕진구 송천1동,전라북도 전주시 덕진구 송천2동,전라북도 전주시 덕진구 조촌동,전라북도 전주시 덕진구 여의동,전라북도 전주시 덕진구 혁신동,전라북도 전주시효자출장소
2021년02월_계_총인구수,"657,998","339,227","7,556","4,225","12,476","4,910","6,389","8,741","14,639","19,613","41,437","12,904","46,305","11,668","13,530","22,271","11,039","10,317","14,846","39,732","36,629","318,771","14,344","18,490","11,396","32,318","20,302","7,713","9,944","7,712","9,826","14,513","20,476","62,035","26,656","12,583","30,620","19,843",0
2021년02월_계_연령구간인구수,"657,998","339,227","7,556","4,225","12,476","4,910","6,389","8,741","14,639","19,613","41,437","12,904","46,305","11,668","13,530","22,271","11,039","10,317","14,846","39,732","36,629","318,771","14,344","18,490","11,396","32,318","20,302","7,713","9,944","7,712","9,826","14,513","20,476","62,035","26,656","12,583","30,620","19,843",0
2021년02월_계_0~9세,"53,634","24,439",318,96,616,175,301,334,933,"1,412","3,320",573,"3,984",678,672,"1,533",617,533,980,"4,420","2,944","29,195",626,"1,458",550,"2,626","2,017",204,420,299,645,819,"1,495","8,135","2,098",855,"3,809","3,139",0
2021년02월_계_10~19세,"71,519","35,962",452,176,800,352,441,648,"1,308","2,635","5,030",845,"5,381","1,091","1,243","2,488",935,902,"1,539","5,052","4,644","35,557","1,109","2,340",743,"4,132","1,594",327,656,491,798,"1,250","2,520","8,791","3,158","1,003","3,054","3,591",0
2021년02월_계_20~29세,"92,825","49,301",911,388,"1,429",517,673,"1,019","2,310","3,199","6,413","1,371","5,889","1,668","2,003","3,112","1,411","1,485","2,074","6,194","7,235","43,524","1,688","2,348","1,555","4,731","3,318","2,308","1,552",860,"1,323","2,020","2,754","7,880","3,960","1,567","3,801","1,859",0
2021년02월_계_30~39세,"81,735","39,736",763,379,"1,320",436,561,760,"1,677","2,333","5,181","1,325","5,261","1,201","1,318","2,179","1,096","1,062","1,638","5,307","5,939","41,999","1,305","1,879","1,315","4,024","3,423",940,"1,005",762,"1,302","1,950","2,011","9,390","2,961","1,745","5,250","2,737",0
2021년02월_계_40~49세,"106,958","53,225",905,524,"1,680",661,791,"1,176","1,910","3,483","7,070","1,719","7,545","1,625","1,743","3,461","1,524","1,417","2,124","7,001","6,866","53,733","1,816","3,130","1,470","6,120","3,044",852,"1,259","1,105","1,460","2,428","3,135","12,028","4,149","1,855","5,178","4,704",0
2021년02월_계_50~59세,"106,419","57,222","1,269",675,"1,994",801,"1,057","1,534","2,523","3,244","7,088","2,305","7,756","2,228","2,624","4,309","1,824","1,814","2,521","6,116","5,540","49,197","2,329","2,839","1,856","5,172","2,741","1,086","1,597","1,447","1,646","2,616","3,617","8,586","4,676","2,174","4,507","2,308",0
2021년02월_계_60~69세,"77,735","42,816","1,417",891,"2,174",862,"1,272","1,650","2,178","1,949","4,012","2,295","5,986","1,773","2,298","2,852","1,827","1,676","2,144","3,513","2,047","34,919","2,360","2,255","1,895","2,865","2,158",979,"1,631","1,395","1,478","1,889","2,834","4,396","3,160","1,770","2,895",959,0
2021년02월_계_70~79세,"44,403","24,116",987,710,"1,573",712,835,"1,104","1,180",887,"2,184","1,607","2,994",930,"1,146","1,463","1,231","1,019","1,189","1,426",939,"20,287","1,974","1,564","1,377","1,768","1,329",669,"1,272",938,781,978,"1,353","1,877","1,657",983,"1,415",352,0
2021년02월_계_80~89세,"19,780","10,727",463,321,768,344,396,454,551,400,"1,019",744,"1,316",401,427,734,501,352,546,579,411,"9,053","1,008",594,573,771,573,303,504,364,342,488,667,804,723,556,623,160,0
2021년02월_계_90~99세,"2,831","1,603",62,61,107,50,60,56,66,68,116,118,185,68,55,138,70,54,89,122,58,"1,228",120,76,56,105,86,44,46,46,50,73,86,145,111,69,81,34,0
2021년02월_계_100세 이상,159,80,9,4,15,0,2,6,3,3,4,2,8,5,1,2,3,3,2,2,6,79,9,7,6,4,19,1,2,5,1,2,4,3,3,6,7,0,0
2021년02월_남_총인구수,"323,761","165,112","3,790","2,090","6,088","2,417","3,177","4,271","7,056","9,793","20,063","6,205","22,369","5,644","6,515","10,785","5,296","4,918","6,996","19,324","18,315","158,649","7,033","8,930","5,687","15,827","10,261","4,124","4,897","4,211","4,938","7,535","9,828","30,740","13,074","6,473","15,439","9,652",0
2021년02월_남_연령구간인구수,"323,761","165,112","3,790","2,090","6,088","2,417","3,177","4,271","7,056","9,793","20,063","6,205","22,369","5,644","6,515","10,785","5,296","4,918","6,996","19,324","18,315","158,649","7,033","8,930","5,687","15,827","10,261","4,124","4,897","4,211","4,938","7,535","9,828","30,740","13,074","6,473","15,439","9,652",0
2021년02월_남_0~9세,"27,486","12,575",176,54,324,94,152,185,495,729,"1,695",315,"2,030",353,348,761,328,273,522,"2,256","1,485","14,911",340,721,292,"1,315","1,030",97,220,160,310,407,741,"4,164","1,069",449,"1,999","1,597",0
2021년02월_남_10~19세,"36,991","18,707",227,98,431,188,235,333,711,"1,367","2,555",447,"2,782",566,620,"1,332",516,449,770,"2,666","2,414","18,284",617,"1,202",380,"2,107",837,158,339,255,391,633,"1,259","4,544","1,648",529,"1,566","1,819",0
2021년02월_남_20~29세,"48,632","25,455",493,196,758,271,359,548,"1,147","1,631","3,261",721,"3,067",889,"1,057","1,692",747,776,"1,096","3,136","3,610","23,177",884,"1,242",808,"2,445","1,765","1,315",826,520,685,"1,078","1,530","4,194","2,050",871,"2,006",958,0
2021년02월_남_30~39세,"41,331","20,157",412,221,674,241,307,418,855,"1,210","2,573",733,"2,576",629,703,"1,079",548,539,823,"2,538","3,078","21,174",708,927,721,"2,001","1,763",548,557,478,710,"1,076",968,"4,460","1,492",943,"2,677","1,145",0
2021년02월_남_40~49세,"52,381","25,469",492,318,900,359,425,636,880,"1,669","3,231",920,"3,568",747,805,"1,575",770,694,979,"3,282","3,219","26,912",959,"1,486",792,"2,965","1,647",520,674,697,771,"1,279","1,460","5,790","1,962","1,014","2,634","2,262",0
