카테고리,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2021년03월_계_총인구수,"38,458","21,028","1,075","1,455","1,720","2,133","2,259","1,233","1,737","3,786","2,032"
2021년03월_계_연령구간인구수,"38,458","21,028","1,075","1,455","1,720","2,133","2,259","1,233","1,737","3,786","2,032"
2021년03월_계_0~9세,"1,641","1,270",18,26,29,35,42,40,53,89,39
2021년03월_계_10~19세,"2,934","2,186",29,53,74,92,104,39,64,208,85
2021년03월_계_20~29세,"3,183","2,257",47,66,78,124,115,102,96,216,82
2021년03월_계_30~39세,"2,725","1,850",48,60,62,107,117,81,120,187,93
2021년03월_계_40~49세,"4,510","2,927",100,112,152,197,221,121,177,325,178
2021년03월_계_50~59세,"7,251","3,758",210,327,397,428,424,266,315,730,396
2021년03월_계_60~69세,"8,222","3,435",272,384,491,566,647,310,430,"1,053",634
2021년03월_계_70~79세,"4,830","2,095",206,257,260,343,344,163,281,536,345
2021년03월_계_80~89세,"2,777","1,103",133,154,155,208,211,99,172,388,154
2021년03월_계_90~99세,358,141,12,16,22,26,29,11,28,48,25
2021년03월_계_100세 이상,27,6,0,0,0,7,5,1,1,6,1
2021년03월_남_총인구수,"19,895","10,765",559,760,892,"1,112","1,190",687,940,"1,943","1,047"
2021년03월_남_연령구간인구수,"19,895","10,765",559,760,892,"1,112","1,190",687,940,"1,943","1,047"
2021년03월_남_0~9세,864,672,11,11,15,19,19,21,31,46,19
2021년03월_남_10~19세,"1,596","1,198",16,24,39,38,58,24,28,125,46
2021년03월_남_20~29세,"1,855","1,291",31,44,48,78,71,64,57,123,48
2021년03월_남_30~39세,"1,481",965,25,39,35,60,75,44,84,106,48
2021년03월_남_40~49세,"2,468","1,497",67,70,84,125,137,71,123,186,108
2021년03월_남_50~59세,"4,026","2,057",128,184,212,246,250,168,188,387,206
2021년03월_남_60~69세,"4,286","1,737",139,225,263,306,341,168,226,558,323
2021년03월_남_70~79세,"2,206",914,93,106,133,153,166,86,126,254,175
2021년03월_남_80~89세,"1,001",394,48,51,58,77,64,38,65,140,66
2021년03월_남_90~99세,102,38,1,6,5,7,7,3,11,16,8
2021년03월_남_100세 이상,10,2,0,0,0,3,2,0,1,2,0
2021년03월_여_총인구수,"18,563","10,263",516,695,828,"1,021","1,069",546,797,"1,843",985
2021년03월_여_연령구간인구수,"18,563","10,263",516,695,828,"1,021","1,069",546,797,"1,843",985
2021년03월_여_0~9세,777,598,7,15,14,16,23,19,22,43,20
2021년03월_여_10~19세,"1,338",988,13,29,35,54,46,15,36,83,39
2021년03월_여_20~29세,"1,328",966,16,22,30,46,44,38,39,93,34
2021년03월_여_30~39세,"1,244",885,23,21,27,47,42,37,36,81,45
2021년03월_여_40~49세,"2,042","1,430",33,42,68,72,84,50,54,139,70
2021년03월_여_50~59세,"3,225","1,701",82,143,185,182,174,98,127,343,190
2021년03월_여_60~69세,"3,936","1,698",133,159,228,260,306,142,204,495,311
2021년03월_여_70~79세,"2,624","1,181",113,151,127,190,178,77,155,282,170
2021년03월_여_80~89세,"1,776",709,85,103,97,131,147,61,107,248,88
2021년03월_여_90~99세,256,103,11,10,17,19,22,8,17,32,17
2021년03월_여_100세 이상,17,4,0,0,0,4,3,1,0,4,1
