,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2021년08월_계_총인구수,"84,904","30,132","29,365",0,"3,130","3,473","2,087","6,193","10,524"
2021년08월_계_연령구간인구수,"84,904","30,132","29,365",0,"3,130","3,473","2,087","6,193","10,524"
2021년08월_계_0~9세,"7,541","2,087","4,332",0,69,119,47,194,693
2021년08월_계_10~19세,"8,398","3,308","3,138",0,166,144,79,394,"1,169"
2021년08월_계_20~29세,"9,291","3,950","3,085",0,198,241,94,537,"1,186"
2021년08월_계_30~39세,"11,445","3,067","6,126",0,177,254,117,492,"1,212"
2021년08월_계_40~49세,"13,717","4,902","5,553",0,291,338,162,715,"1,756"
2021년08월_계_50~59세,"13,767","5,357","3,458",0,575,712,371,"1,190","2,104"
2021년08월_계_60~69세,"11,152","4,004","2,200",0,770,831,579,"1,400","1,368"
2021년08월_계_70~79세,"5,524","2,090",859,0,457,458,331,704,625
2021년08월_계_80~89세,"3,577","1,209",542,0,376,333,268,495,354
2021년08월_계_90~99세,479,155,69,0,49,42,36,71,57
2021년08월_계_100세 이상,13,3,3,0,2,1,3,1,0
2021년08월_남_총인구수,"44,558","15,497","15,508",0,"1,623","1,816","1,069","3,287","5,758"
2021년08월_남_연령구간인구수,"44,558","15,497","15,508",0,"1,623","1,816","1,069","3,287","5,758"
2021년08월_남_0~9세,"3,889","1,092","2,226",0,35,54,27,102,353
2021년08월_남_10~19세,"4,352","1,708","1,591",0,83,73,41,209,647
2021년08월_남_20~29세,"5,379","2,261","1,717",0,124,149,59,328,741
2021년08월_남_30~39세,"6,322","1,653","3,310",0,113,152,68,308,718
2021년08월_남_40~49세,"7,468","2,561","3,059",0,178,208,99,408,955
2021년08월_남_50~59세,"7,541","2,888","1,876",0,338,385,211,666,"1,177"
2021년08월_남_60~69세,"5,735","1,942","1,127",0,415,458,299,762,732
2021년08월_남_70~79세,"2,550",937,390,0,217,222,160,330,294
2021년08월_남_80~89세,"1,228",422,195,0,111,107,97,165,131
2021년08월_남_90~99세,90,31,17,0,9,7,8,8,10
2021년08월_남_100세 이상,4,2,0,0,0,1,0,1,0
2021년08월_여_총인구수,"40,346","14,635","13,857",0,"1,507","1,657","1,018","2,906","4,766"
2021년08월_여_연령구간인구수,"40,346","14,635","13,857",0,"1,507","1,657","1,018","2,906","4,766"
2021년08월_여_0~9세,"3,652",995,"2,106",0,34,65,20,92,340
2021년08월_여_10~19세,"4,046","1,600","1,547",0,83,71,38,185,522
2021년08월_여_20~29세,"3,912","1,689","1,368",0,74,92,35,209,445
2021년08월_여_30~39세,"5,123","1,414","2,816",0,64,102,49,184,494
2021년08월_여_40~49세,"6,249","2,341","2,494",0,113,130,63,307,801
2021년08월_여_50~59세,"6,226","2,469","1,582",0,237,327,160,524,927
2021년08월_여_60~69세,"5,417","2,062","1,073",0,355,373,280,638,636
2021년08월_여_70~79세,"2,974","1,153",469,0,240,236,171,374,331
2021년08월_여_80~89세,"2,349",787,347,0,265,226,171,330,223
2021년08월_여_90~99세,389,124,52,0,40,35,28,63,47
2021년08월_여_100세 이상,9,1,3,0,2,0,3,0,0
