카테고리,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2020년09월_계_총인구수,"24,032","9,441","2,269","4,065","2,592","4,271","1,394"
2020년09월_계_연령구간인구수,"24,032","9,441","2,269","4,065","2,592","4,271","1,394"
2020년09월_계_0~9세,"1,227",744,61,195,66,129,32
2020년09월_계_10~19세,"1,820",983,113,292,119,259,54
2020년09월_계_20~29세,"1,771",854,141,327,146,242,61
2020년09월_계_30~39세,"1,739",897,138,260,130,249,65
2020년09월_계_40~49세,"2,898","1,466",198,502,236,394,102
2020년09월_계_50~59세,"4,232","1,475",452,816,442,789,258
2020년09월_계_60~69세,"4,293","1,261",501,744,543,904,340
2020년09월_계_70~79세,"3,408","1,009",377,545,497,708,272
2020년09월_계_80~89세,"2,295",631,253,342,370,521,178
2020년09월_계_90~99세,327,113,35,40,39,70,30
2020년09월_계_100세 이상,22,8,0,2,4,6,2
2020년09월_남_총인구수,"11,940","4,702","1,124","2,040","1,269","2,123",682
2020년09월_남_연령구간인구수,"11,940","4,702","1,124","2,040","1,269","2,123",682
2020년09월_남_0~9세,659,391,34,117,34,67,16
2020년09월_남_10~19세,923,493,64,157,58,124,27
2020년09월_남_20~29세,980,472,75,172,82,143,36
2020년09월_남_30~39세,954,459,82,149,77,148,39
2020년09월_남_40~49세,"1,609",769,114,279,145,240,62
2020년09월_남_50~59세,"2,328",832,234,449,245,429,139
2020년09월_남_60~69세,"2,194",607,257,378,288,482,182
2020년09월_남_70~79세,"1,427",438,175,212,197,291,114
2020년09월_남_80~89세,796,220,80,121,133,183,59
2020년09월_남_90~99세,66,20,9,6,9,14,8
2020년09월_남_100세 이상,4,1,0,0,1,2,0
2020년09월_여_총인구수,"12,092","4,739","1,145","2,025","1,323","2,148",712
2020년09월_여_연령구간인구수,"12,092","4,739","1,145","2,025","1,323","2,148",712
2020년09월_여_0~9세,568,353,27,78,32,62,16
2020년09월_여_10~19세,897,490,49,135,61,135,27
2020년09월_여_20~29세,791,382,66,155,64,99,25
2020년09월_여_30~39세,785,438,56,111,53,101,26
2020년09월_여_40~49세,"1,289",697,84,223,91,154,40
2020년09월_여_50~59세,"1,904",643,218,367,197,360,119
2020년09월_여_60~69세,"2,099",654,244,366,255,422,158
2020년09월_여_70~79세,"1,981",571,202,333,300,417,158
2020년09월_여_80~89세,"1,499",411,173,221,237,338,119
2020년09월_여_90~99세,261,93,26,34,30,56,22
2020년09월_여_100세 이상,18,7,0,2,3,4,2
