카테고리,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2020년09월_계_총인구수,"41,593","2,412","2,935","6,580","10,675","4,680","1,069","1,040","4,802","7,400"
2020년09월_계_연령구간인구수,"41,593","2,412","2,935","6,580","10,675","4,680","1,069","1,040","4,802","7,400"
2020년09월_계_0~9세,"1,364",42,82,215,396,113,18,17,182,299
2020년09월_계_10~19세,"2,076",86,102,397,582,196,37,28,214,434
2020년09월_계_20~29세,"5,634",557,329,941,"1,488",540,109,72,804,794
2020년09월_계_30~39세,"4,480",412,249,699,"1,114",480,110,97,660,659
2020년09월_계_40~49세,"5,491",282,363,929,"1,484",550,117,109,679,978
2020년09월_계_50~59세,"7,109",362,546,"1,108","1,801",823,200,213,716,"1,340"
2020년09월_계_60~69세,"7,836",375,582,"1,153","1,955","1,003",259,289,769,"1,451"
2020년09월_계_70~79세,"5,083",187,465,770,"1,235",630,135,155,508,998
2020년09월_계_80~89세,"2,067",82,172,286,537,273,62,46,225,384
2020년09월_계_90~99세,369,24,40,74,70,47,17,13,36,48
2020년09월_계_100세 이상,84,3,5,8,13,25,5,1,9,15
2020년09월_남_총인구수,"20,345","1,193","1,471","3,119","5,202","2,201",539,578,"2,440","3,602"
2020년09월_남_연령구간인구수,"20,345","1,193","1,471","3,119","5,202","2,201",539,578,"2,440","3,602"
2020년09월_남_0~9세,715,20,37,115,203,65,9,10,99,157
2020년09월_남_10~19세,"1,051",40,45,187,302,107,20,13,109,228
2020년09월_남_20~29세,"2,806",232,172,469,745,253,64,41,408,422
2020년09월_남_30~39세,"2,424",216,134,364,591,254,58,55,383,369
2020년09월_남_40~49세,"2,972",148,213,482,797,296,63,68,394,511
2020년09월_남_50~59세,"3,590",200,285,526,910,397,99,135,367,671
2020년09월_남_60~69세,"3,692",196,276,546,905,443,135,165,367,659
2020년09월_남_70~79세,"2,213",101,222,315,512,276,61,74,224,428
2020년09월_남_80~89세,762,34,74,98,214,92,22,10,77,141
2020년09월_남_90~99세,101,6,12,13,20,12,6,7,10,15
2020년09월_남_100세 이상,19,0,1,4,3,6,2,0,2,1
2020년09월_여_총인구수,"21,248","1,219","1,464","3,461","5,473","2,479",530,462,"2,362","3,798"
2020년09월_여_연령구간인구수,"21,248","1,219","1,464","3,461","5,473","2,479",530,462,"2,362","3,798"
2020년09월_여_0~9세,649,22,45,100,193,48,9,7,83,142
2020년09월_여_10~19세,"1,025",46,57,210,280,89,17,15,105,206
2020년09월_여_20~29세,"2,828",325,157,472,743,287,45,31,396,372
2020년09월_여_30~39세,"2,056",196,115,335,523,226,52,42,277,290
2020년09월_여_40~49세,"2,519",134,150,447,687,254,54,41,285,467
2020년09월_여_50~59세,"3,519",162,261,582,891,426,101,78,349,669
2020년09월_여_60~69세,"4,144",179,306,607,"1,050",560,124,124,402,792
2020년09월_여_70~79세,"2,870",86,243,455,723,354,74,81,284,570
2020년09월_여_80~89세,"1,305",48,98,188,323,181,40,36,148,243
2020년09월_여_90~99세,268,18,28,61,50,35,11,6,26,33
2020년09월_여_100세 이상,65,3,4,4,10,19,3,1,7,14
