,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2021년12월_계_총인구수,"241,216","8,132","3,076","1,562","7,272","2,845","11,828","1,086","8,046","3,490","1,056","3,098","1,374","5,865","9,172","26,932","7,259","25,842","20,753","34,323","34,418","23,787"
2021년12월_계_연령구간인구수,"241,216","8,132","3,076","1,562","7,272","2,845","11,828","1,086","8,046","3,490","1,056","3,098","1,374","5,865","9,172","26,932","7,259","25,842","20,753","34,323","34,418","23,787"
2021년12월_계_0~9세,"24,145",548,77,25,372,50,"1,256",29,433,160,28,66,46,352,466,"4,162",558,"2,231","1,559","3,058","5,316","3,353"
2021년12월_계_10~19세,"27,952",627,121,59,595,137,"1,153",44,638,253,25,104,68,602,911,"3,618",675,"2,971","2,177","4,187","5,154","3,833"
2021년12월_계_20~29세,"22,796",665,210,72,538,204,879,56,713,273,43,180,64,613,922,"2,212",782,"2,733","2,712","3,861","2,906","2,158"
2021년12월_계_30~39세,"32,802",822,202,83,561,135,"1,570",69,792,271,55,171,96,581,818,"5,305",999,"3,257","3,185","4,466","6,010","3,354"
2021년12월_계_40~49세,"47,254","1,246",329,147,984,280,"2,208",109,"1,293",429,104,362,171,"1,103","1,564","6,327","1,326","4,901","4,310","6,734","7,780","5,547"
2021년12월_계_50~59세,"40,041","1,630",598,317,"1,306",538,"1,893",220,"1,690",647,189,553,259,"1,180","1,889","3,089","1,359","4,863","4,081","6,058","4,385","3,297"
2021년12월_계_60~69세,"28,798","1,546",760,406,"1,454",722,"1,593",307,"1,462",734,273,734,323,878,"1,700","1,606","1,105","3,546","2,030","4,150","1,960","1,509"
2021년12월_계_70~79세,"11,361",638,489,269,851,462,827,167,628,424,206,546,201,361,648,429,336,948,498,"1,292",643,498
2021년12월_계_80~89세,"5,213",352,252,159,511,267,395,73,336,248,110,330,124,175,225,159,104,344,172,452,219,206
2021년12월_계_90~99세,833,58,38,25,97,47,53,12,61,51,23,48,22,19,28,25,15,46,27,64,44,30
2021년12월_계_100세 이상,21,0,0,0,3,3,1,0,0,0,0,4,0,1,1,0,0,2,2,1,1,2
2021년12월_남_총인구수,"126,291","4,159","1,592",794,"3,597","1,472","6,144",553,"4,454","1,806",535,"1,582",684,"3,222","4,960","14,402","3,921","13,442","11,762","17,650","17,445","12,115"
2021년12월_남_연령구간인구수,"126,291","4,159","1,592",794,"3,597","1,472","6,144",553,"4,454","1,806",535,"1,582",684,"3,222","4,960","14,402","3,921","13,442","11,762","17,650","17,445","12,115"
2021년12월_남_0~9세,"12,495",280,46,13,192,28,642,17,235,82,17,39,26,191,266,"2,149",296,"1,138",827,"1,601","2,669","1,741"
2021년12월_남_10~19세,"14,569",324,69,33,292,78,591,26,348,142,13,58,32,317,485,"1,862",368,"1,589","1,157","2,155","2,622","2,008"
2021년12월_남_20~29세,"12,926",387,115,45,301,131,504,33,423,135,24,109,38,353,533,"1,242",469,"1,520","1,622","2,171","1,558","1,213"
2021년12월_남_30~39세,"17,068",418,126,47,290,81,795,44,468,154,30,101,50,349,460,"2,754",551,"1,684","1,976","2,306","2,877","1,507"
2021년12월_남_40~49세,"25,564",659,205,89,545,168,"1,228",62,767,254,67,236,101,648,880,"3,567",764,"2,632","2,504","3,443","4,011","2,734"
2021년12월_남_50~59세,"21,713",867,325,187,669,294,"1,029",119,989,358,118,310,150,682,"1,053","1,753",730,"2,472","2,328","3,122","2,346","1,812"
2021년12월_남_60~69세,"14,731",799,375,217,748,371,823,156,789,367,142,376,166,469,877,825,548,"1,812","1,034","2,080",971,786
2021년12월_남_70~79세,"5,458",308,235,111,386,226,408,78,316,220,91,249,78,163,323,207,165,482,260,605,307,240
2021년12월_남_80~89세,"1,638",109,91,48,166,84,113,14,105,90,32,97,41,47,77,39,28,111,49,153,79,65
2021년12월_남_90~99세,124,8,5,4,7,11,11,4,14,4,1,6,2,3,5,4,2,2,5,13,5,8
2021년12월_남_100세 이상,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
2021년12월_여_총인구수,"114,925","3,973","1,484",768,"3,675","1,373","5,684",533,"3,592","1,684",521,"1,516",690,"2,643","4,212","12,530","3,338","12,400","8,991","16,673","16,973","11,672"
