카테고리,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2021년05월_계_총인구수,"266,345","3,144","4,779","3,391","2,648","2,540","4,928","2,972","2,862","2,194","3,380","2,992","2,319","5,273","7,066","5,574","4,446","12,789","22,299","7,438","8,066","2,852","55,494","12,556","23,589","32,237","16,847","11,670"
2021년05월_계_연령구간인구수,"266,345","3,144","4,779","3,391","2,648","2,540","4,928","2,972","2,862","2,194","3,380","2,992","2,319","5,273","7,066","5,574","4,446","12,789","22,299","7,438","8,066","2,852","55,494","12,556","23,589","32,237","16,847","11,670"
2021년05월_계_0~9세,"20,321",84,589,176,58,73,133,76,91,46,97,113,113,171,341,152,256,"1,090","2,547",375,504,171,"6,571",618,"1,635","2,497","1,089",655
2021년05월_계_10~19세,"26,439",119,377,333,106,108,229,144,130,94,169,151,145,387,577,327,203,"1,101","2,080",480,688,240,"7,718","1,123","2,857","4,129","1,600",824
2021년05월_계_20~29세,"29,495",247,371,238,222,155,346,251,244,134,309,271,164,429,785,575,424,"1,339","2,536",702,"1,101",296,"6,613","1,548","2,888","4,230","1,879","1,198"
2021년05월_계_30~39세,"29,831",185,728,210,150,154,336,185,177,121,262,194,181,420,555,383,623,"1,686","3,705",713,953,254,"7,418","1,220","2,101","3,491","2,040","1,386"
2021년05월_계_40~49세,"43,023",300,739,455,239,244,489,285,253,217,470,355,260,660,920,585,599,"1,940","3,643","1,071","1,098",341,"10,993","1,794","3,823","5,999","3,178","2,073"
2021년05월_계_50~59세,"44,025",583,679,556,459,410,780,561,550,365,732,453,348,877,"1,079",925,663,"2,020","3,098","1,242","1,460",471,"8,160","2,381","4,192","5,621","3,128","2,232"
2021년05월_계_60~69세,"38,220",691,634,594,650,606,"1,153",690,651,510,735,605,489,"1,124","1,339","1,143",792,"1,849","2,641","1,421","1,341",524,"4,721","2,220","3,373","3,594","2,347","1,783"
2021년05월_계_70~79세,"23,064",542,395,465,426,414,862,491,471,411,412,535,440,809,"1,017",980,622,"1,248","1,449","1,023",649,346,"2,275","1,159","1,717","1,805","1,110",991
2021년05월_계_80~89세,"10,264",331,223,311,274,302,502,250,246,251,168,269,156,353,409,441,222,462,516,359,228,180,888,420,872,772,390,469
2021년05월_계_90~99세,"1,607",61,43,53,59,68,96,35,47,42,24,44,22,42,44,62,40,54,81,51,44,27,132,72,128,97,82,57
2021년05월_계_100세 이상,56,1,1,0,5,6,2,4,2,3,2,2,1,1,0,1,2,0,3,1,0,2,5,1,3,2,4,2
2021년05월_남_총인구수,"134,736","1,624","2,438","1,740","1,358","1,278","2,453","1,517","1,433","1,146","1,888","1,528","1,127","2,648","3,533","2,716","2,253","6,414","11,316","3,724","4,027","1,454","27,707","6,257","11,421","16,052","9,243","6,441"
2021년05월_남_연령구간인구수,"134,736","1,624","2,438","1,740","1,358","1,278","2,453","1,517","1,433","1,146","1,888","1,528","1,127","2,648","3,533","2,716","2,253","6,414","11,316","3,724","4,027","1,454","27,707","6,257","11,421","16,052","9,243","6,441"
2021년05월_남_0~9세,"10,356",42,294,88,36,43,68,36,37,27,49,59,56,88,181,81,145,571,"1,284",192,243,81,"3,361",313,814,"1,269",569,329
2021년05월_남_10~19세,"13,640",62,189,177,59,49,133,77,61,56,92,79,71,198,292,159,110,571,"1,111",252,354,131,"3,990",610,"1,389","2,107",823,438
2021년05월_남_20~29세,"16,222",154,216,144,136,95,199,153,152,82,184,157,69,250,459,333,208,705,"1,337",373,576,181,"3,515",863,"1,617","2,289","1,085",690
2021년05월_남_30~39세,"15,597",118,364,105,90,99,187,109,89,68,170,111,94,224,293,214,359,879,"1,931",411,512,134,"3,542",666,"1,018","1,774","1,205",831
2021년05월_남_40~49세,"22,551",193,405,269,152,155,301,160,148,132,307,213,154,360,489,328,334,"1,018","1,910",608,558,176,"5,395",872,"1,811","2,964","1,856","1,283"
2021년05월_남_50~59세,"23,182",338,370,324,254,237,445,306,290,220,417,268,187,465,568,464,346,"1,049","1,595",648,692,240,"4,238","1,166","2,081","2,845","1,806","1,323"
2021년05월_남_60~69세,"18,860",338,335,316,344,312,558,361,329,270,407,298,227,546,603,541,367,875,"1,263",648,683,250,"2,332","1,088","1,631","1,728","1,251",959
2021년05월_남_70~79세,"10,467",253,184,193,200,183,381,230,228,201,198,246,205,368,485,416,292,548,695,443,315,175,"1,012",520,763,785,503,445
2021년05월_남_80~89세,"3,519",111,78,115,76,90,161,80,87,79,60,82,60,141,156,165,81,185,176,135,89,77,293,144,263,268,133,134
2021년05월_남_90~99세,333,14,3,9,11,14,20,5,12,10,4,15,3,8,7,14,11,13,14,14,5,8,28,15,34,22,11,9
2021년05월_남_100세 이상,9,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
2021년05월_여_총인구수,"131,609","1,520","2,341","1,651","1,290","1,262","2,475","1,455","1,429","1,048","1,492","1,464","1,192","2,625","3,533","2,858","2,193","6,375","10,983","3,714","4,039","1,398","27,787","6,299","12,168","16,185","7,604","5,229"
2021년05월_여_연령구간인구수,"131,609","1,520","2,341","1,651","1,290","1,262","2,475","1,455","1,429","1,048","1,492","1,464","1,192","2,625","3,533","2,858","2,193","6,375","10,983","3,714","4,039","1,398","27,787","6,299","12,168","16,185","7,604","5,229"
2021년05월_여_0~9세,"9,965",42,295,88,22,30,65,40,54,19,48,54,57,83,160,71,111,519,"1,263",183,261,90,"3,210",305,821,"1,228",520,326
2021년05월_여_10~19세,"12,799",57,188,156,47,59,96,67,69,38,77,72,74,189,285,168,93,530,969,228,334,109,"3,728",513,"1,468","2,022",777,386
2021년05월_여_20~29세,"13,273",93,155,94,86,60,147,98,92,52,125,114,95,179,326,242,216,634,"1,199",329,525,115,"3,098",685,"1,271","1,941",794,508
2021년05월_여_30~39세,"14,234",67,364,105,60,55,149,76,88,53,92,83,87,196,262,169,264,807,"1,774",302,441,120,"3,876",554,"1,083","1,717",835,555
2021년05월_여_40~49세,"20,472",107,334,186,87,89,188,125,105,85,163,142,106,300,431,257,265,922,"1,733",463,540,165,"5,598",922,"2,012","3,035","1,322",790
2021년05월_여_50~59세,"20,843",245,309,232,205,173,335,255,260,145,315,185,161,412,511,461,317,971,"1,503",594,768,231,"3,922","1,215","2,111","2,776","1,322",909
2021년05월_여_60~69세,"19,360",353,299,278,306,294,595,329,322,240,328,307,262,578,736,602,425,974,"1,378",773,658,274,"2,389","1,132","1,742","1,866","1,096",824
2021년05월_여_70~79세,"12,597",289,211,272,226,231,481,261,243,210,214,289,235,441,532,564,330,700,754,580,334,171,"1,263",639,954,"1,020",607,546
2021년05월_여_80~89세,"6,745",220,145,196,198,212,341,170,159,172,108,187,96,212,253,276,141,277,340,224,139,103,595,276,609,504,257,335
2021년05월_여_90~99세,"1,274",47,40,44,48,54,76,30,35,32,20,29,19,34,37,48,29,41,67,37,39,19,104,57,94,75,71,48
2021년05월_여_100세 이상,47,0,1,0,5,5,2,4,2,2,2,2,0,1,0,0,2,0,3,1,0,1,4,1,3,1,3,2
