카테고리,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2020년08월_계_총인구수,"269,626","16,143","33,269","12,715","17,047","15,608","45,210","17,549","12,648","8,854","8,069","14,202","7,154","13,552","14,366","8,961","15,229","9,050"
2020년08월_계_연령구간인구수,"269,626","16,143","33,269","12,715","17,047","15,608","45,210","17,549","12,648","8,854","8,069","14,202","7,154","13,552","14,366","8,961","15,229","9,050"
2020년08월_계_0~9세,"18,502",579,"2,888","1,035","1,099","1,838","3,532","1,517",526,561,493,756,335,674,831,372,"1,074",392
2020년08월_계_10~19세,"23,433",986,"3,209",863,"1,488","1,497","5,214","1,824",927,673,770,"1,021",501,939,"1,269",410,"1,269",573
2020년08월_계_20~29세,"35,336","3,586","6,308","1,263","2,645","1,768","5,054","1,700","1,468",950,990,"1,618",691,"1,363","1,740","1,290","1,872","1,030"
2020년08월_계_30~39세,"30,892","1,915","4,381","1,826","2,039","2,278","4,344","1,903","1,181","1,111",755,"1,459",703,"1,332","1,412","1,356","1,995",902
2020년08월_계_40~49세,"42,376","2,095","5,706","1,880","2,688","2,705","7,927","2,981","1,670","1,360","1,287","2,068","1,070","1,905","2,226","1,189","2,339","1,280"
2020년08월_계_50~59세,"43,180","2,279","4,672","1,898","2,468","2,219","7,864","2,735","2,233","1,384","1,439","2,419","1,199","2,255","2,566","1,394","2,586","1,570"
2020년08월_계_60~69세,"40,544","2,385","3,376","2,008","2,404","1,815","6,230","2,775","2,498","1,597","1,304","2,599","1,318","2,699","2,263","1,400","2,203","1,670"
2020년08월_계_70~79세,"24,874","1,638","1,871","1,367","1,546","1,058","3,495","1,494","1,564",884,751,"1,619",966,"1,676","1,467","1,020","1,328","1,130"
2020년08월_계_80~89세,"9,218",605,738,517,605,367,"1,340",535,516,282,242,571,339,601,533,469,512,446
2020년08월_계_90~99세,"1,135",64,106,48,59,56,202,76,58,43,36,57,29,98,53,50,49,51
2020년08월_계_100세 이상,136,11,14,10,6,7,8,9,7,9,2,15,3,10,6,11,2,6
2020년08월_남_총인구수,"131,948","8,065","16,192","6,203","8,249","7,507","21,758","8,623","6,142","4,272","4,112","7,254","3,550","6,708","7,011","4,485","7,393","4,424"
2020년08월_남_연령구간인구수,"131,948","8,065","16,192","6,203","8,249","7,507","21,758","8,623","6,142","4,272","4,112","7,254","3,550","6,708","7,011","4,485","7,393","4,424"
2020년08월_남_0~9세,"9,402",273,"1,486",531,573,883,"1,755",779,254,308,261,401,183,379,426,195,529,186
2020년08월_남_10~19세,"12,133",505,"1,629",456,758,793,"2,671",976,465,326,391,563,265,487,652,231,645,320
2020년08월_남_20~29세,"18,728","1,947","3,187",661,"1,341",878,"2,721",932,806,497,578,938,390,763,922,616,984,567
2020년08월_남_30~39세,"15,814","1,082","2,152",930,"1,032","1,102","2,014",950,652,581,398,780,389,715,730,741,"1,066",500
2020년08월_남_40~49세,"21,231","1,107","2,780","1,016","1,324","1,310","3,694","1,477",842,681,664,"1,127",584,"1,011","1,120",665,"1,138",691
2020년08월_남_50~59세,"21,028","1,103","2,219",875,"1,200","1,067","3,824","1,301","1,077",640,742,"1,230",615,"1,122","1,270",733,"1,257",753
2020년08월_남_60~69세,"18,682","1,046","1,576",920,"1,071",818,"2,943","1,286","1,133",707,646,"1,257",562,"1,225","1,062",697,981,752
2020년08월_남_70~79세,"11,140",723,853,600,676,495,"1,565",720,714,408,329,724,427,783,632,436,587,468
2020년08월_남_80~89세,"3,521",263,284,202,256,145,513,188,190,109,97,220,132,207,189,157,194,175
2020년08월_남_90~99세,245,14,24,11,17,16,56,13,9,13,5,11,3,14,6,11,12,10
2020년08월_남_100세 이상,24,2,2,1,1,0,2,1,0,2,1,3,0,2,2,3,0,2
2020년08월_여_총인구수,"137,678","8,078","17,077","6,512","8,798","8,101","23,452","8,926","6,506","4,582","3,957","6,948","3,604","6,844","7,355","4,476","7,836","4,626"
2020년08월_여_연령구간인구수,"137,678","8,078","17,077","6,512","8,798","8,101","23,452","8,926","6,506","4,582","3,957","6,948","3,604","6,844","7,355","4,476","7,836","4,626"
2020년08월_여_0~9세,"9,100",306,"1,402",504,526,955,"1,777",738,272,253,232,355,152,295,405,177,545,206
2020년08월_여_10~19세,"11,300",481,"1,580",407,730,704,"2,543",848,462,347,379,458,236,452,617,179,624,253
2020년08월_여_20~29세,"16,608","1,639","3,121",602,"1,304",890,"2,333",768,662,453,412,680,301,600,818,674,888,463
2020년08월_여_30~39세,"15,078",833,"2,229",896,"1,007","1,176","2,330",953,529,530,357,679,314,617,682,615,929,402
2020년08월_여_40~49세,"21,145",988,"2,926",864,"1,364","1,395","4,233","1,504",828,679,623,941,486,894,"1,106",524,"1,201",589
2020년08월_여_50~59세,"22,152","1,176","2,453","1,023","1,268","1,152","4,040","1,434","1,156",744,697,"1,189",584,"1,133","1,296",661,"1,329",817
2020년08월_여_60~69세,"21,862","1,339","1,800","1,088","1,333",997,"3,287","1,489","1,365",890,658,"1,342",756,"1,474","1,201",703,"1,222",918
2020년08월_여_70~79세,"13,734",915,"1,018",767,870,563,"1,930",774,850,476,422,895,539,893,835,584,741,662
2020년08월_여_80~89세,"5,697",342,454,315,349,222,827,347,326,173,145,351,207,394,344,312,318,271
2020년08월_여_90~99세,890,50,82,37,42,40,146,63,49,30,31,46,26,84,47,39,37,41
2020년08월_여_100세 이상,112,9,12,9,5,7,6,8,7,7,1,12,3,8,4,8,2,4
