카테고리,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2020년12월_계_총인구수,"382,054","112,080","46,155","22,967","9,384","15,086","1,496","2,613","25,020","22,144",0,"18,350","39,093","33,606","34,060"
2020년12월_계_연령구간인구수,"382,054","112,080","46,155","22,967","9,384","15,086","1,496","2,613","25,020","22,144",0,"18,350","39,093","33,606","34,060"
2020년12월_계_0~9세,"35,190","11,254","3,808","1,398",482,"1,082",41,146,"2,011","1,689",0,"1,949","3,140","2,741","5,449"
2020년12월_계_10~19세,"33,619","8,740","4,762","1,819",637,"1,208",63,202,"2,267","2,024",0,"1,657","3,641","2,677","3,922"
2020년12월_계_20~29세,"45,220","13,541","5,535","2,818",987,"1,158",114,189,"3,363","2,838",0,"2,374","4,999","4,233","3,071"
2020년12월_계_30~39세,"57,844","20,055","6,213","2,762",996,"1,465",90,221,"3,544","2,985",0,"2,938","5,349","4,934","6,292"
2020년12월_계_40~49세,"66,823","19,945","8,245","3,582","1,364","2,422",154,368,"4,132","3,774",0,"3,215","6,800","5,719","7,103"
2020년12월_계_50~59세,"63,534","17,228","7,930","4,572","1,824","2,549",266,489,"4,391","3,974",0,"3,024","7,311","5,974","4,002"
2020년12월_계_60~69세,"48,147","12,917","5,770","3,456","1,770","2,931",382,511,"3,115","2,964",0,"2,057","5,010","4,654","2,610"
2020년12월_계_70~79세,"21,969","5,915","2,645","1,629",825,"1,566",230,301,"1,513","1,357",0,831,"2,037","1,940","1,180"
2020년12월_계_80~89세,"8,339","2,129","1,084",806,419,602,137,154,586,461,0,261,701,628,371
2020년12월_계_90~99세,"1,264",337,158,105,71,96,19,30,83,74,0,40,88,104,59
2020년12월_계_100세 이상,105,19,5,20,9,7,0,2,15,4,0,4,17,2,1
2020년12월_남_총인구수,"195,298","56,783","23,982","12,254","5,170","7,683",775,"1,396","12,890","11,141",0,"9,135","19,889","17,283","16,917"
2020년12월_남_연령구간인구수,"195,298","56,783","23,982","12,254","5,170","7,683",775,"1,396","12,890","11,141",0,"9,135","19,889","17,283","16,917"
2020년12월_남_0~9세,"18,074","5,835","1,984",708,251,540,22,72,"1,064",824,0,"1,008","1,608","1,401","2,757"
2020년12월_남_10~19세,"17,191","4,483","2,396",968,336,650,35,108,"1,170",986,0,801,"1,841","1,384","2,033"
2020년12월_남_20~29세,"23,933","7,096","2,945","1,560",585,638,60,101,"1,819","1,491",0,"1,212","2,645","2,248","1,533"
2020년12월_남_30~39세,"30,130","10,426","3,276","1,548",575,754,49,122,"1,852","1,590",0,"1,466","2,876","2,615","2,981"
2020년12월_남_40~49세,"35,343","10,621","4,381","1,934",820,"1,328",82,209,"2,162","1,969",0,"1,651","3,497","3,068","3,621"
2020년12월_남_50~59세,"32,411","8,376","4,257","2,552","1,023","1,318",146,277,"2,342","1,992",0,"1,443","3,638","3,023","2,024"
2020년12월_남_60~69세,"24,118","6,250","3,025","1,852",976,"1,415",208,285,"1,559","1,476",0,"1,035","2,491","2,318","1,228"
2020년12월_남_70~79세,"10,613","2,795","1,280",799,425,783,106,147,704,637,0,401,992,968,576
2020년12월_남_80~89세,"3,177",812,407,302,158,231,60,70,197,159,0,114,274,239,154
2020년12월_남_90~99세,281,83,30,24,19,24,7,5,15,17,0,4,24,19,10
2020년12월_남_100세 이상,27,6,1,7,2,2,0,0,6,0,0,0,3,0,0
2020년12월_여_총인구수,"186,756","55,297","22,173","10,713","4,214","7,403",721,"1,217","12,130","11,003",0,"9,215","19,204","16,323","17,143"
2020년12월_여_연령구간인구수,"186,756","55,297","22,173","10,713","4,214","7,403",721,"1,217","12,130","11,003",0,"9,215","19,204","16,323","17,143"
2020년12월_여_0~9세,"17,116","5,419","1,824",690,231,542,19,74,947,865,0,941,"1,532","1,340","2,692"
2020년12월_여_10~19세,"16,428","4,257","2,366",851,301,558,28,94,"1,097","1,038",0,856,"1,800","1,293","1,889"
2020년12월_여_20~29세,"21,287","6,445","2,590","1,258",402,520,54,88,"1,544","1,347",0,"1,162","2,354","1,985","1,538"
2020년12월_여_30~39세,"27,714","9,629","2,937","1,214",421,711,41,99,"1,692","1,395",0,"1,472","2,473","2,319","3,311"
2020년12월_여_40~49세,"31,480","9,324","3,864","1,648",544,"1,094",72,159,"1,970","1,805",0,"1,564","3,303","2,651","3,482"
2020년12월_여_50~59세,"31,123","8,852","3,673","2,020",801,"1,231",120,212,"2,049","1,982",0,"1,581","3,673","2,951","1,978"
2020년12월_여_60~69세,"24,029","6,667","2,745","1,604",794,"1,516",174,226,"1,556","1,488",0,"1,022","2,519","2,336","1,382"
2020년12월_여_70~79세,"11,356","3,120","1,365",830,400,783,124,154,809,720,0,430,"1,045",972,604
2020년12월_여_80~89세,"5,162","1,317",677,504,261,371,77,84,389,302,0,147,427,389,217
2020년12월_여_90~99세,983,254,128,81,52,72,12,25,68,57,0,36,64,85,49
2020년12월_여_100세 이상,78,13,4,13,7,5,0,2,9,4,0,4,14,2,1
