,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2020년12월_계_총인구수,"477,880","22,836","15,187","17,690","16,564","16,221","12,554","27,445","19,265","12,302","24,010","21,763","25,147","11,121","15,108","21,899","41,464","15,799","50,798","3,816","17,199","36,523","13,005","20,164"
2020년12월_계_연령구간인구수,"477,880","22,836","15,187","17,690","16,564","16,221","12,554","27,445","19,265","12,302","24,010","21,763","25,147","11,121","15,108","21,899","41,464","15,799","50,798","3,816","17,199","36,523","13,005","20,164"
2020년12월_계_0~9세,"38,092","2,171",716,874,"1,114",986,643,"1,713","1,200",858,"1,961","1,160","1,476",395,783,"1,853","5,453","1,317","6,346",98,"1,600","3,226",964,"1,185"
2020년12월_계_10~19세,"49,693","3,046","1,028","1,440","1,483","1,229",650,"2,464","1,313","1,138","2,659","1,688","2,078",577,"1,330","2,746","4,690","1,652","6,200",161,"3,427","4,383","1,356","2,955"
2020년12월_계_20~29세,"74,090","2,879","2,452","2,518","2,107","2,171","2,526","5,405","4,495","1,666","3,162","4,230","5,629","2,784","1,903","2,850","5,020","2,775","6,852",303,"1,708","5,543","2,395","2,717"
2020년12월_계_30~39세,"65,899","2,691","1,590","1,830","1,761","2,006","2,121","4,605","3,542","1,518","2,780","3,470","4,224","1,828","1,558","2,658","6,697","2,025","8,265",269,"1,426","5,373","1,970","1,692"
2020년12월_계_40~49세,"78,525","4,342","1,842","2,449","2,347","2,301","1,742","4,510","2,856","1,891","4,078","3,156","3,809","1,536","1,976","3,482","7,740","2,392","9,528",414,"3,998","6,465","2,180","3,491"
2020년12월_계_50~59세,"77,731","3,520","2,677","3,054","3,160","2,971","1,829","4,419","2,543","1,980","3,907","3,467","4,101","1,904","2,891","4,014","5,688","2,838","7,422",720,"2,469","6,338","2,238","3,581"
2020년12월_계_60~69세,"54,755","2,449","2,673","3,037","2,670","2,553","1,654","2,626","1,943","1,795","3,110","2,903","2,465","1,273","2,520","2,868","3,842","1,544","3,650",752,"1,332","3,400","1,208","2,488"
2020년12월_계_70~79세,"26,027","1,206","1,532","1,672","1,268","1,380",936,"1,097",958,994,"1,639","1,163",895,567,"1,295",923,"1,581",798,"1,693",611,806,"1,175",461,"1,377"
