,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2021년02월_계_총인구수,"38,418","20,930","1,083","1,460","1,726","2,149","2,261","1,231","1,752","3,789","2,037"
2021년02월_계_연령구간인구수,"38,418","20,930","1,083","1,460","1,726","2,149","2,261","1,231","1,752","3,789","2,037"
2021년02월_계_0~9세,"1,653","1,276",19,25,30,36,43,37,53,91,43
2021년02월_계_10~19세,"2,808","2,065",31,55,75,90,103,40,66,197,86
2021년02월_계_20~29세,"3,203","2,253",46,66,85,132,117,104,102,219,79
2021년02월_계_30~39세,"2,742","1,867",48,61,63,105,114,79,117,192,96
2021년02월_계_40~49세,"4,551","2,941",103,112,154,198,222,122,179,339,181
2021년02월_계_50~59세,"7,276","3,771",211,328,397,437,423,268,320,727,394
2021년02월_계_60~69세,"8,173","3,407",271,385,479,567,646,309,431,"1,044",634
2021년02월_계_70~79세,"4,839","2,094",206,257,263,341,347,162,285,539,345
2021년02월_계_80~89세,"2,764","1,099",131,154,154,212,212,98,170,383,151
2021년02월_계_90~99세,358,138,15,16,23,24,29,11,28,48,26
2021년02월_계_100세 이상,51,19,2,1,3,7,5,1,1,10,2
2021년02월_남_총인구수,"19,863","10,700",565,766,894,"1,124","1,191",687,948,"1,945","1,043"
2021년02월_남_연령구간인구수,"19,863","10,700",565,766,894,"1,124","1,191",687,948,"1,945","1,043"
2021년02월_남_0~9세,881,683,12,11,17,20,19,19,31,47,22
2021년02월_남_10~19세,"1,519","1,127",17,26,38,38,59,24,29,116,45
2021년02월_남_20~29세,"1,848","1,270",30,43,53,83,73,66,59,125,46
2021년02월_남_30~39세,"1,493",977,25,40,35,59,75,45,82,108,47
2021년02월_남_40~49세,"2,491","1,506",69,72,84,125,138,70,123,195,109
2021년02월_남_50~59세,"4,038","2,065",128,186,213,250,246,168,192,386,204
2021년02월_남_60~69세,"4,262","1,723",138,222,256,308,341,169,227,558,320
2021년02월_남_70~79세,"2,207",914,94,107,135,151,166,85,130,249,176
2021년02월_남_80~89세,"1,005",394,48,52,58,81,64,38,64,142,64
2021년02월_남_90~99세,102,35,3,6,5,6,8,3,10,16,10
2021년02월_남_100세 이상,17,6,1,1,0,3,2,0,1,3,0
2021년02월_여_총인구수,"18,555","10,230",518,694,832,"1,025","1,070",544,804,"1,844",994
2021년02월_여_연령구간인구수,"18,555","10,230",518,694,832,"1,025","1,070",544,804,"1,844",994
2021년02월_여_0~9세,772,593,7,14,13,16,24,18,22,44,21
2021년02월_여_10~19세,"1,289",938,14,29,37,52,44,16,37,81,41
2021년02월_여_20~29세,"1,355",983,16,23,32,49,44,38,43,94,33
2021년02월_여_30~39세,"1,249",890,23,21,28,46,39,34,35,84,49
2021년02월_여_40~49세,"2,060","1,435",34,40,70,73,84,52,56,144,72
2021년02월_여_50~59세,"3,238","1,706",83,142,184,187,177,100,128,341,190
2021년02월_여_60~69세,"3,911","1,684",133,163,223,259,305,140,204,486,314
2021년02월_여_70~79세,"2,632","1,180",112,150,128,190,181,77,155,290,169
2021년02월_여_80~89세,"1,759",705,83,102,96,131,148,60,106,241,87
2021년02월_여_90~99세,256,103,12,10,18,18,21,8,18,32,16
2021년02월_여_100세 이상,34,13,1,0,3,4,3,1,0,7,2
