,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2021년03월_계_총인구수,"139,239","6,638","7,072","4,350","51,189","30,311","2,406","33,461","3,812"
2021년03월_계_연령구간인구수,"139,239","6,638","7,072","4,350","51,189","30,311","2,406","33,461","3,812"
2021년03월_계_0~9세,"20,022",180,497,81,"9,696","5,073",50,"4,334",111
2021년03월_계_10~19세,"12,040",283,465,129,"4,274","4,219",69,"2,459",142
2021년03월_계_20~29세,"12,428",640,822,350,"4,342","2,470",191,"3,305",308
2021년03월_계_30~39세,"27,169",577,880,349,"13,062","4,879",189,"6,887",346
2021년03월_계_40~49세,"24,275",687,874,349,"9,111","6,712",202,"5,896",444
2021년03월_계_50~59세,"17,002","1,237","1,091",884,"4,800","3,344",459,"4,422",765
2021년03월_계_60~69세,"16,207","1,627","1,336","1,296","3,935","2,450",622,"3,977",964
2021년03월_계_70~79세,"6,912",970,715,598,"1,397",838,404,"1,524",466
2021년03월_계_80~89세,"2,717",381,335,262,484,282,184,569,220
2021년03월_계_90~99세,444,55,55,50,79,43,34,87,41
2021년03월_계_100세 이상,23,1,2,2,9,1,2,1,5
2021년03월_남_총인구수,"72,000","3,668","3,956","2,318","25,683","15,116","1,278","17,979","2,002"
2021년03월_남_연령구간인구수,"72,000","3,668","3,956","2,318","25,683","15,116","1,278","17,979","2,002"
2021년03월_남_0~9세,"10,319",88,267,43,"4,929","2,640",22,"2,272",58
2021년03월_남_10~19세,"6,137",161,247,67,"2,090","2,159",42,"1,302",69
2021년03월_남_20~29세,"6,722",383,545,221,"2,140","1,272",117,"1,856",188
2021년03월_남_30~39세,"13,848",333,509,208,"6,447","2,196",112,"3,826",217
2021년03월_남_40~49세,"13,568",426,533,222,"5,016","3,451",132,"3,521",267
2021년03월_남_50~59세,"8,723",712,634,471,"2,269","1,685",255,"2,304",393
2021년03월_남_60~69세,"8,216",908,725,707,"1,893","1,182",325,"1,987",489
2021년03월_남_70~79세,"3,476",505,369,282,721,421,209,725,244
2021년03월_남_80~89세,906,143,121,84,162,97,57,172,70
2021년03월_남_90~99세,79,9,5,12,13,12,7,14,7
2021년03월_남_100세 이상,6,0,1,1,3,1,0,0,0
2021년03월_여_총인구수,"67,239","2,970","3,116","2,032","25,506","15,195","1,128","15,482","1,810"
2021년03월_여_연령구간인구수,"67,239","2,970","3,116","2,032","25,506","15,195","1,128","15,482","1,810"
2021년03월_여_0~9세,"9,703",92,230,38,"4,767","2,433",28,"2,062",53
2021년03월_여_10~19세,"5,903",122,218,62,"2,184","2,060",27,"1,157",73
2021년03월_여_20~29세,"5,706",257,277,129,"2,202","1,198",74,"1,449",120
2021년03월_여_30~39세,"13,321",244,371,141,"6,615","2,683",77,"3,061",129
2021년03월_여_40~49세,"10,707",261,341,127,"4,095","3,261",70,"2,375",177
2021년03월_여_50~59세,"8,279",525,457,413,"2,531","1,659",204,"2,118",372
2021년03월_여_60~69세,"7,991",719,611,589,"2,042","1,268",297,"1,990",475
2021년03월_여_70~79세,"3,436",465,346,316,676,417,195,799,222
2021년03월_여_80~89세,"1,811",238,214,178,322,185,127,397,150
2021년03월_여_90~99세,365,46,50,38,66,31,27,73,34
2021년03월_여_100세 이상,17,1,1,1,6,0,2,1,5
