카테고리,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동
2020년12월_계_총인구수,"298,599",695,"3,621","9,895","14,123","14,723","10,873","18,020","11,185","9,360","32,927","13,527","26,579","14,197","20,670","12,662","32,120","51,210","2,212"
2020년12월_계_연령구간인구수,"298,599",695,"3,621","9,895","14,123","14,723","10,873","18,020","11,185","9,360","32,927","13,527","26,579","14,197","20,670","12,662","32,120","51,210","2,212"
2020년12월_계_0~9세,"23,283",8,133,371,689,879,852,"1,109",971,381,"2,888","1,050","2,405","1,019","1,504","1,048","3,049","4,864",63
2020년12월_계_10~19세,"30,581",19,217,622,938,"1,281","1,165","1,642","1,423",647,"4,210","1,224","3,261","1,135","1,899","1,463","4,306","5,044",85
2020년12월_계_20~29세,"38,256",88,428,"1,320","1,929","1,887","1,309","2,472","1,447","1,385","4,213","1,708","3,286","1,710","2,504","1,656","3,688","7,024",202
2020년12월_계_30~39세,"41,208",101,415,"1,172","1,870","1,820","1,303","2,250","1,457","1,272","3,901","2,352","3,004","2,543","2,891","2,070","4,033","8,526",228
2020년12월_계_40~49세,"51,599",85,523,"1,424","2,004","2,357","1,859","2,756","2,111","1,403","6,144","2,341","5,062","2,465","3,532","2,352","6,217","8,741",223
2020년12월_계_50~59세,"49,677",181,669,"1,888","2,494","2,546","1,814","3,187","1,838","1,950","5,499","2,188","4,532","2,178","3,335","2,018","4,843","8,089",428
2020년12월_계_60~69세,"37,492",135,672,"1,715","2,403","2,234","1,491","2,730","1,171","1,425","3,758","1,600","3,057","1,686","2,572","1,215","3,651","5,443",534
2020년12월_계_70~79세,"17,783",54,390,974,"1,266","1,183",758,"1,293",527,573,"1,545",774,"1,326",859,"1,494",544,"1,567","2,400",256
2020년12월_계_80~89세,"7,432",15,150,355,448,469,276,505,207,270,660,258,538,504,803,261,635,912,166
2020년12월_계_90~99세,"1,145",6,20,48,63,61,37,69,32,47,101,30,101,83,127,34,114,152,20
2020년12월_계_100세 이상,143,3,4,6,19,6,9,7,1,7,8,2,7,15,9,1,17,15,7
2020년12월_남_총인구수,"147,278",366,"1,831","4,788","6,899","7,267","5,358","8,879","5,507","4,904","16,110","6,763","13,273","6,725","9,742","6,148","15,709","25,749","1,260"
2020년12월_남_연령구간인구수,"147,278",366,"1,831","4,788","6,899","7,267","5,358","8,879","5,507","4,904","16,110","6,763","13,273","6,725","9,742","6,148","15,709","25,749","1,260"
2020년12월_남_0~9세,"11,938",6,72,184,349,457,401,536,505,197,"1,479",540,"1,252",515,805,550,"1,550","2,505",35
2020년12월_남_10~19세,"15,718",11,110,327,463,672,599,835,738,343,"2,181",635,"1,655",590,976,758,"2,210","2,562",53
2020년12월_남_20~29세,"20,018",49,234,699,999,"1,027",682,"1,317",746,737,"2,178",907,"1,758",852,"1,249",834,"1,939","3,695",116
2020년12월_남_30~39세,"20,774",55,235,638,"1,002",948,660,"1,180",713,724,"1,810","1,189","1,480","1,321","1,402","1,054","1,893","4,333",137
2020년12월_남_40~49세,"25,546",52,285,728,"1,009","1,199",911,"1,377",996,744,"2,893","1,179","2,494","1,229","1,739","1,111","2,995","4,470",135
2020년12월_남_50~59세,"24,732",99,351,899,"1,226","1,223",912,"1,514",915,"1,055","2,720","1,115","2,314","1,010","1,611",975,"2,427","4,103",263
2020년12월_남_60~69세,"17,801",65,307,749,"1,119","1,032",720,"1,314",569,734,"1,846",750,"1,511",706,"1,159",559,"1,734","2,621",306
2020년12월_남_70~79세,"7,998",24,175,422,563,534,367,600,243,254,749,359,624,338,542,215,736,"1,118",135
2020년12월_남_80~89세,"2,462",4,51,128,149,159,98,187,76,102,231,84,163,142,232,86,195,304,71
2020년12월_남_90~99세,255,1,10,11,15,14,7,18,6,11,20,5,21,19,26,6,26,32,7
2020년12월_남_100세 이상,36,0,1,3,5,2,1,1,0,3,3,0,1,3,1,0,4,6,2
2020년12월_여_총인구수,"151,321",329,"1,790","5,107","7,224","7,456","5,515","9,141","5,678","4,456","16,817","6,764","13,306","7,472","10,928","6,514","16,411","25,461",952
2020년12월_여_연령구간인구수,"151,321",329,"1,790","5,107","7,224","7,456","5,515","9,141","5,678","4,456","16,817","6,764","13,306","7,472","10,928","6,514","16,411","25,461",952
2020년12월_여_0~9세,"11,345",2,61,187,340,422,451,573,466,184,"1,409",510,"1,153",504,699,498,"1,499","2,359",28
2020년12월_여_10~19세,"14,863",8,107,295,475,609,566,807,685,304,"2,029",589,"1,606",545,923,705,"2,096","2,482",32
2020년12월_여_20~29세,"18,238",39,194,621,930,860,627,"1,155",701,648,"2,035",801,"1,528",858,"1,255",822,"1,749","3,329",86
2020년12월_여_30~39세,"20,434",46,180,534,868,872,643,"1,070",744,548,"2,091","1,163","1,524","1,222","1,489","1,016","2,140","4,193",91
2020년12월_여_40~49세,"26,053",33,238,696,995,"1,158",948,"1,379","1,115",659,"3,251","1,162","2,568","1,236","1,793","1,241","3,222","4,271",88
2020년12월_여_50~59세,"24,945",82,318,989,"1,268","1,323",902,"1,673",923,895,"2,779","1,073","2,218","1,168","1,724","1,043","2,416","3,986",165
2020년12월_여_60~69세,"19,691",70,365,966,"1,284","1,202",771,"1,416",602,691,"1,912",850,"1,546",980,"1,413",656,"1,917","2,822",228
2020년12월_여_70~79세,"9,785",30,215,552,703,649,391,693,284,319,796,415,702,521,952,329,831,"1,282",121
