카테고리,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2021년01월_계_총인구수,"156,596","40,289","5,830","19,935","11,827","15,064","20,886","8,907","21,547","12,311"
2021년01월_계_연령구간인구수,"156,596","40,289","5,830","19,935","11,827","15,064","20,886","8,907","21,547","12,311"
2021년01월_계_0~9세,"14,761","3,584",237,"2,186",930,"1,365","2,088",689,"2,396","1,286"
2021년01월_계_10~19세,"15,622","4,127",364,"1,924","1,195","1,360","2,312",922,"2,146","1,272"
2021년01월_계_20~29세,"17,672","4,624",729,"2,012","1,528","1,936","2,406",909,"2,374","1,154"
2021년01월_계_30~39세,"22,856","5,844",775,"2,978","1,539","2,225","2,704","1,135","3,818","1,838"
2021년01월_계_40~49세,"26,042","7,327",837,"3,241","1,958","2,325","3,440","1,400","3,437","2,077"
2021년01월_계_50~59세,"25,567","6,607","1,053","3,224","2,272","2,368","3,791","1,416","2,988","1,848"
2021년01월_계_60~69세,"22,859","5,409","1,161","2,793","1,694","2,234","2,874","1,613","3,211","1,870"
2021년01월_계_70~79세,"8,342","2,026",507,"1,118",509,976,935,628,946,697
2021년01월_계_80~89세,"2,488",630,149,406,179,237,284,170,198,235
2021년01월_계_90~99세,359,103,17,49,20,34,50,24,31,31
2021년01월_계_100세 이상,28,8,1,4,3,4,2,1,2,3
2021년01월_남_총인구수,"81,834","21,629","3,143","10,284","6,187","7,791","10,659","4,553","11,365","6,223"
2021년01월_남_연령구간인구수,"81,834","21,629","3,143","10,284","6,187","7,791","10,659","4,553","11,365","6,223"
2021년01월_남_0~9세,"7,553","1,838",119,"1,111",478,716,"1,023",354,"1,253",661
2021년01월_남_10~19세,"8,250","2,207",192,"1,001",642,747,"1,178",469,"1,160",654
2021년01월_남_20~29세,"9,951","2,637",420,"1,122",847,992,"1,367",538,"1,398",630
2021년01월_남_30~39세,"12,549","3,395",491,"1,527",854,"1,214","1,397",598,"2,101",972
2021년01월_남_40~49세,"14,172","4,163",494,"1,788","1,018","1,264","1,765",746,"1,852","1,082"
2021년01월_남_50~59세,"12,693","3,455",544,"1,637","1,140","1,151","1,865",673,"1,363",865
2021년01월_남_60~69세,"11,519","2,731",562,"1,413",884,"1,087","1,460",806,"1,627",949
2021년01월_남_70~79세,"4,265",997,263,554,257,523,499,310,527,335
2021년01월_남_80~89세,827,199,54,120,66,87,99,57,77,68
2021년01월_남_90~99세,50,7,4,11,1,7,5,2,6,7
2021년01월_남_100세 이상,5,0,0,0,0,3,1,0,1,0
2021년01월_여_총인구수,"74,762","18,660","2,687","9,651","5,640","7,273","10,227","4,354","10,182","6,088"
2021년01월_여_연령구간인구수,"74,762","18,660","2,687","9,651","5,640","7,273","10,227","4,354","10,182","6,088"
2021년01월_여_0~9세,"7,208","1,746",118,"1,075",452,649,"1,065",335,"1,143",625
2021년01월_여_10~19세,"7,372","1,920",172,923,553,613,"1,134",453,986,618
2021년01월_여_20~29세,"7,721","1,987",309,890,681,944,"1,039",371,976,524
2021년01월_여_30~39세,"10,307","2,449",284,"1,451",685,"1,011","1,307",537,"1,717",866
2021년01월_여_40~49세,"11,870","3,164",343,"1,453",940,"1,061","1,675",654,"1,585",995
2021년01월_여_50~59세,"12,874","3,152",509,"1,587","1,132","1,217","1,926",743,"1,625",983
2021년01월_여_60~69세,"11,340","2,678",599,"1,380",810,"1,147","1,414",807,"1,584",921
2021년01월_여_70~79세,"4,077","1,029",244,564,252,453,436,318,419,362
2021년01월_여_80~89세,"1,661",431,95,286,113,150,185,113,121,167
2021년01월_여_90~99세,309,96,13,38,19,27,45,22,25,24
2021년01월_여_100세 이상,23,8,1,4,3,1,1,1,1,3
