카테고리,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2021년09월_계_총인구수,"87,595","4,862","5,739","12,896","6,001","4,164","9,901","3,939","5,344","10,825","11,811","7,741","4,372"
2021년09월_계_연령구간인구수,"87,595","4,862","5,739","12,896","6,001","4,164","9,901","3,939","5,344","10,825","11,811","7,741","4,372"
2021년09월_계_0~9세,"4,002",147,138,"1,197",153,188,401,92,151,428,329,416,362
2021년09월_계_10~19세,"4,859",271,251,820,373,295,533,194,335,573,604,368,242
2021년09월_계_20~29세,"10,260",674,641,"1,890",601,489,"1,144",358,545,"1,282","1,294",919,423
2021년09월_계_30~39세,"10,347",534,564,"2,639",473,392,"1,143",299,400,"1,088","1,144","1,036",635
2021년09월_계_40~49세,"11,587",704,696,"2,018",765,576,"1,202",430,646,"1,376","1,378","1,099",697
2021년09월_계_50~59세,"14,268",806,986,"1,776","1,009",674,"1,645",673,916,"1,803","2,031","1,368",581
2021년09월_계_60~69세,"16,126",864,"1,202","1,471","1,194",759,"1,905",817,"1,083","2,053","2,591","1,444",743
2021년09월_계_70~79세,"10,646",595,834,713,900,541,"1,286",697,848,"1,479","1,578",734,441
2021년09월_계_80~89세,"4,846",244,356,319,459,226,564,338,371,665,782,309,213
2021년09월_계_90~99세,584,23,61,51,63,21,60,41,48,65,77,41,33
2021년09월_계_100세 이상,70,0,10,2,11,3,18,0,1,13,3,7,2
2021년09월_남_총인구수,"42,854","2,446","2,842","6,283","2,931","2,023","4,712","1,938","2,542","5,259","5,814","3,911","2,153"
2021년09월_남_연령구간인구수,"42,854","2,446","2,842","6,283","2,931","2,023","4,712","1,938","2,542","5,259","5,814","3,911","2,153"
2021년09월_남_0~9세,"2,119",64,80,636,75,104,201,54,81,237,168,220,199
2021년09월_남_10~19세,"2,516",151,128,427,208,152,269,109,163,286,300,199,124
2021년09월_남_20~29세,"5,163",341,318,824,334,254,551,201,301,696,684,467,192
2021년09월_남_30~39세,"5,474",295,328,"1,301",275,214,617,167,223,563,643,533,315
2021년09월_남_40~49세,"6,241",396,402,"1,042",394,297,630,242,342,743,775,587,391
2021년09월_남_50~59세,"7,330",450,535,893,535,350,800,380,460,877,"1,041",711,298
2021년09월_남_60~69세,"7,595",392,550,706,558,337,879,400,476,970,"1,224",724,379
2021년09월_남_70~79세,"4,601",273,353,338,383,224,554,270,364,632,702,329,179
2021년09월_남_80~89세,"1,660",81,122,103,154,89,194,103,121,241,256,127,69
2021년09월_남_90~99세,136,3,21,12,12,2,14,12,11,11,20,12,6
2021년09월_남_100세 이상,19,0,5,1,3,0,3,0,0,3,1,2,1
2021년09월_여_총인구수,"44,741","2,416","2,897","6,613","3,070","2,141","5,189","2,001","2,802","5,566","5,997","3,830","2,219"
2021년09월_여_연령구간인구수,"44,741","2,416","2,897","6,613","3,070","2,141","5,189","2,001","2,802","5,566","5,997","3,830","2,219"
2021년09월_여_0~9세,"1,883",83,58,561,78,84,200,38,70,191,161,196,163
2021년09월_여_10~19세,"2,343",120,123,393,165,143,264,85,172,287,304,169,118
2021년09월_여_20~29세,"5,097",333,323,"1,066",267,235,593,157,244,586,610,452,231
2021년09월_여_30~39세,"4,873",239,236,"1,338",198,178,526,132,177,525,501,503,320
2021년09월_여_40~49세,"5,346",308,294,976,371,279,572,188,304,633,603,512,306
2021년09월_여_50~59세,"6,938",356,451,883,474,324,845,293,456,926,990,657,283
2021년09월_여_60~69세,"8,531",472,652,765,636,422,"1,026",417,607,"1,083","1,367",720,364
2021년09월_여_70~79세,"6,045",322,481,375,517,317,732,427,484,847,876,405,262
2021년09월_여_80~89세,"3,186",163,234,216,305,137,370,235,250,424,526,182,144
2021년09월_여_90~99세,448,20,40,39,51,19,46,29,37,54,57,29,27
2021년09월_여_100세 이상,51,0,5,1,8,3,15,0,1,10,2,5,1
