카테고리,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2020년12월_계_총인구수,"267,859","3,184","4,720","3,454","2,677","2,589","5,043","3,021","2,903","2,224","3,394","3,039","2,406","5,547","7,186","5,705","4,466","12,805","22,238","7,511","7,753","2,878","55,353","12,699","23,838","32,345","16,755","12,126"
2020년12월_계_연령구간인구수,"267,859","3,184","4,720","3,454","2,677","2,589","5,043","3,021","2,903","2,224","3,394","3,039","2,406","5,547","7,186","5,705","4,466","12,805","22,238","7,511","7,753","2,878","55,353","12,699","23,838","32,345","16,755","12,126"
2020년12월_계_0~9세,"20,951",87,580,179,65,72,155,72,101,48,93,118,120,189,368,158,236,"1,076","2,544",395,486,164,"6,746",665,"1,730","2,643","1,160",701
2020년12월_계_10~19세,"26,830",113,370,357,111,110,234,152,137,98,176,144,139,397,587,337,208,"1,134","2,100",500,671,254,"7,709","1,125","2,935","4,232","1,645",855
2020년12월_계_20~29세,"29,721",259,371,244,231,168,348,266,249,137,313,265,168,450,804,595,450,"1,400","2,529",723,"1,056",301,"6,590","1,583","2,942","4,194","1,833","1,252"
2020년12월_계_30~39세,"30,705",188,724,215,146,162,360,181,185,127,274,209,201,466,562,407,630,"1,681","3,778",766,904,250,"7,644","1,279","2,190","3,563","2,087","1,526"
2020년12월_계_40~49세,"43,433",312,721,483,247,256,518,298,274,235,484,369,281,712,954,604,593,"1,937","3,602","1,071","1,058",365,"10,942","1,822","3,917","6,106","3,138","2,134"
2020년12월_계_50~59세,"43,964",584,688,557,479,438,815,606,572,380,723,466,365,939,"1,109",956,686,"2,036","3,080","1,226","1,419",478,"7,927","2,405","4,139","5,519","3,083","2,289"
2020년12월_계_60~69세,"37,597",697,618,599,632,590,"1,139",670,635,514,724,614,497,"1,154","1,334","1,155",795,"1,802","2,611","1,395","1,267",517,"4,554","2,191","3,323","3,471","2,262","1,837"
2020년12월_계_70~79세,"22,900",560,385,460,434,418,872,478,458,393,422,536,457,840,"1,023",993,613,"1,227","1,384","1,023",630,347,"2,230","1,158","1,693","1,778","1,084","1,004"
2020년12월_계_80~89세,"10,068",322,224,304,268,304,503,261,244,250,160,270,150,340,390,440,215,453,523,357,220,174,868,407,844,741,372,464
2020년12월_계_90~99세,"1,566",57,39,56,59,63,92,33,45,39,21,43,22,48,50,56,37,56,83,51,41,25,137,63,122,93,79,56
2020년12월_계_100세 이상,124,5,0,0,5,8,7,4,3,3,4,5,6,12,5,4,3,3,4,4,1,3,6,1,3,5,12,8
2020년12월_남_총인구수,"135,332","1,645","2,399","1,761","1,358","1,297","2,494","1,548","1,469","1,166","1,922","1,548","1,175","2,755","3,587","2,787","2,270","6,445","11,303","3,765","3,895","1,477","27,573","6,341","11,521","16,148","9,121","6,562"
2020년12월_남_연령구간인구수,"135,332","1,645","2,399","1,761","1,358","1,297","2,494","1,548","1,469","1,166","1,922","1,548","1,175","2,755","3,587","2,787","2,270","6,445","11,303","3,765","3,895","1,477","27,573","6,341","11,521","16,148","9,121","6,562"
2020년12월_남_0~9세,"10,663",42,293,86,33,42,74,35,46,31,47,66,58,96,192,80,132,572,"1,276",200,245,79,"3,445",341,852,"1,348",601,351
2020년12월_남_10~19세,"13,842",60,183,191,61,51,135,85,67,55,102,73,69,202,302,169,110,582,"1,114",266,340,141,"3,986",607,"1,451","2,160",837,443
2020년12월_남_20~29세,"16,311",169,210,144,137,104,194,162,154,86,194,157,80,268,467,344,218,746,"1,339",391,563,184,"3,443",899,"1,610","2,280","1,038",730
2020년12월_남_30~39세,"16,031",124,357,108,88,102,194,109,94,69,178,118,102,239,292,224,368,871,"1,970",432,497,142,"3,667",695,"1,067","1,808","1,213",903
2020년12월_남_40~49세,"22,797",192,403,279,160,156,316,172,156,144,320,222,160,382,503,336,334,"1,034","1,909",611,531,186,"5,385",879,"1,845","3,055","1,816","1,311"
2020년12월_남_50~59세,"23,039",331,377,329,261,249,463,325,298,230,409,267,193,495,579,487,354,"1,058","1,578",632,676,236,"4,096","1,180","2,064","2,773","1,774","1,325"
2020년12월_남_60~69세,"18,521",348,317,315,332,301,546,348,336,270,408,302,236,546,607,543,370,841,"1,255",640,650,255,"2,249","1,069","1,609","1,683","1,215",930
2020년12월_남_70~79세,"10,316",258,182,194,201,184,382,227,219,190,199,245,213,373,484,419,294,544,665,440,307,168,994,518,731,767,485,433
2020년12월_남_80~89세,"3,444",106,74,106,73,91,167,83,86,78,58,85,58,141,150,170,77,185,181,137,82,77,278,141,258,250,124,128
2020년12월_남_90~99세,331,13,3,9,12,15,22,2,13,12,5,13,4,8,10,13,12,11,16,14,3,7,27,12,34,21,12,8
2020년12월_남_100세 이상,37,2,0,0,0,2,1,0,0,1,2,0,2,5,1,2,1,1,0,2,1,2,3,0,0,3,6,0
2020년12월_여_총인구수,"132,527","1,539","2,321","1,693","1,319","1,292","2,549","1,473","1,434","1,058","1,472","1,491","1,231","2,792","3,599","2,918","2,196","6,360","10,935","3,746","3,858","1,401","27,780","6,358","12,317","16,197","7,634","5,564"
2020년12월_여_연령구간인구수,"132,527","1,539","2,321","1,693","1,319","1,292","2,549","1,473","1,434","1,058","1,472","1,491","1,231","2,792","3,599","2,918","2,196","6,360","10,935","3,746","3,858","1,401","27,780","6,358","12,317","16,197","7,634","5,564"
2020년12월_여_0~9세,"10,288",45,287,93,32,30,81,37,55,17,46,52,62,93,176,78,104,504,"1,268",195,241,85,"3,301",324,878,"1,295",559,350
2020년12월_여_10~19세,"12,988",53,187,166,50,59,99,67,70,43,74,71,70,195,285,168,98,552,986,234,331,113,"3,723",518,"1,484","2,072",808,412
2020년12월_여_20~29세,"13,410",90,161,100,94,64,154,104,95,51,119,108,88,182,337,251,232,654,"1,190",332,493,117,"3,147",684,"1,332","1,914",795,522
2020년12월_여_30~39세,"14,674",64,367,107,58,60,166,72,91,58,96,91,99,227,270,183,262,810,"1,808",334,407,108,"3,977",584,"1,123","1,755",874,623
2020년12월_여_40~49세,"20,636",120,318,204,87,100,202,126,118,91,164,147,121,330,451,268,259,903,"1,693",460,527,179,"5,557",943,"2,072","3,051","1,322",823
2020년12월_여_50~59세,"20,925",253,311,228,218,189,352,281,274,150,314,199,172,444,530,469,332,978,"1,502",594,743,242,"3,831","1,225","2,075","2,746","1,309",964
2020년12월_여_60~69세,"19,076",349,301,284,300,289,593,322,299,244,316,312,261,608,727,612,425,961,"1,356",755,617,262,"2,305","1,122","1,714","1,788","1,047",907
2020년12월_여_70~79세,"12,584",302,203,266,233,234,490,251,239,203,223,291,244,467,539,574,319,683,719,583,323,179,"1,236",640,962,"1,011",599,571
2020년12월_여_80~89세,"6,624",216,150,198,195,213,336,178,158,172,102,185,92,199,240,270,138,268,342,220,138,97,590,266,586,491,248,336
2020년12월_여_90~99세,"1,235",44,36,47,47,48,70,31,32,27,16,30,18,40,40,43,25,45,67,37,38,18,110,51,88,72,67,48
2020년12월_여_100세 이상,87,3,0,0,5,6,6,4,3,2,2,5,4,7,4,2,2,2,4,2,0,1,3,1,3,2,6,8
