,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2021년12월_계_총인구수,"396,438","22,426","30,613","28,855","27,743","15,944","18,104","32,065","16,150","23,142","9,916","34,538","12,677","8,559","16,083","13,816","23,270","37,812","24,725"
2021년12월_계_연령구간인구수,"396,438","22,426","30,613","28,855","27,743","15,944","18,104","32,065","16,150","23,142","9,916","34,538","12,677","8,559","16,083","13,816","23,270","37,812","24,725"
2021년12월_계_0~9세,"27,097","1,222","2,806","2,892","2,178","1,213","1,164","1,996","1,027","1,692",477,"2,494",462,202,"1,204",338,825,"3,731","1,174"
2021년12월_계_10~19세,"36,918","1,528","3,040","3,179","2,523","1,186","1,981","2,777","1,763","2,911",484,"4,031",587,459,"1,526",676,"1,374","4,971","1,922"
2021년12월_계_20~29세,"46,850","2,941","3,339","2,717","3,427","1,667","2,701","4,984","1,882","2,817","1,128","4,051","1,355",928,"1,955","1,532","2,288","4,085","3,053"
2021년12월_계_30~39세,"45,120","2,803","3,665","3,367","3,514","2,176","2,109","4,440","1,631","2,444","1,204","3,516","1,473",762,"1,896","1,096","1,821","4,412","2,791"
2021년12월_계_40~49세,"63,976","3,314","5,144","5,051","4,753","2,734","3,093","4,879","2,431","3,893","1,337","5,958","1,654","1,053","2,556","1,642","3,018","7,712","3,754"
2021년12월_계_50~59세,"69,405","3,838","5,386","4,781","4,873","2,793","3,227","5,692","2,969","4,283","1,695","6,279","2,293","1,618","2,906","2,601","4,012","5,607","4,552"
2021년12월_계_60~69세,"60,122","3,693","4,054","4,004","3,616","2,543","1,976","4,120","2,336","2,863","2,006","4,846","2,557","1,893","2,585","2,859","5,173","4,378","4,620"
2021년12월_계_70~79세,"31,233","2,142","2,100","1,891","1,882","1,126","1,098","1,954","1,234","1,362","1,027","2,298","1,589","1,093","1,052","2,057","3,206","2,136","1,986"
2021년12월_계_80~89세,"13,822",828,934,842,864,418,671,"1,069",767,773,487,932,644,507,357,917,"1,358",679,775
2021년12월_계_90~99세,"1,840",115,140,128,110,81,82,151,108,102,69,130,61,44,44,94,189,97,95
2021년12월_계_100세 이상,55,2,5,3,3,7,2,3,2,2,2,3,2,0,2,4,6,4,3
2021년12월_남_총인구수,"190,624","10,657","14,578","13,655","13,323","7,607","8,425","14,775","7,585","10,982","4,784","17,047","6,167","4,200","7,937","6,920","11,315","18,588","12,079"
2021년12월_남_연령구간인구수,"190,624","10,657","14,578","13,655","13,323","7,607","8,425","14,775","7,585","10,982","4,784","17,047","6,167","4,200","7,937","6,920","11,315","18,588","12,079"
2021년12월_남_0~9세,"13,979",609,"1,460","1,486","1,147",579,589,"1,021",509,906,259,"1,291",218,116,632,163,436,"1,957",601
2021년12월_남_10~19세,"19,015",775,"1,562","1,587","1,308",628,"1,043","1,414",921,"1,467",264,"2,107",310,249,778,345,730,"2,548",979
2021년12월_남_20~29세,"24,443","1,426","1,711","1,429","1,747",863,"1,268","2,346","1,023","1,474",613,"2,209",766,516,"1,049",858,"1,282","2,161","1,702"
