카테고리,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2020년02월_계_총인구수,"240,064","17,331","15,039","13,807","14,150","4,824","16,115","5,511","6,904","10,053","10,574","13,918","26,853","6,728","13,924","23,092","13,085","28,156"
2020년02월_계_연령구간인구수,"240,064","17,331","15,039","13,807","14,150","4,824","16,115","5,511","6,904","10,053","10,574","13,918","26,853","6,728","13,924","23,092","13,085","28,156"
2020년02월_계_0~9세,"16,424",977,"1,628",837,"1,041",191,794,192,324,587,679,"1,321","2,099",355,924,"2,108",695,"1,672"
2020년02월_계_10~19세,"23,081","1,155","2,469","1,340","1,122",310,"1,223",271,493,809,833,"1,713","3,307",380,"1,037","2,982","1,173","2,464"
2020년02월_계_20~29세,"31,424","2,963","1,676","1,695","2,358",516,"1,883",954,812,"1,800","1,487","1,543","3,161",872,"1,798","2,843","1,649","3,414"
2020년02월_계_30~39세,"27,658","2,585","1,694","1,501","2,022",480,"1,691",588,678,"1,335","1,345","1,710","2,617",902,"1,651","2,615","1,348","2,896"
2020년02월_계_40~49세,"38,162","2,771","3,310","2,203","2,143",634,"2,164",671,980,"1,509","1,539","2,541","4,570",984,"1,952","4,071","1,970","4,150"
2020년02월_계_50~59세,"40,455","2,869","2,065","2,474","2,101",868,"2,995",965,"1,305","1,521","1,718","2,198","4,513","1,234","2,282","3,509","2,451","5,387"
2020년02월_계_60~69세,"32,561","2,265","1,176","1,985","1,764",843,"2,791",863,"1,145","1,171","1,406","1,491","3,372","1,107","2,207","2,468","1,926","4,581"
2020년02월_계_70~79세,"20,135","1,168",680,"1,152","1,056",653,"1,819",651,762,860,948,964,"2,100",623,"1,388","1,672","1,197","2,442"
2020년02월_계_80~89세,"8,877",488,297,541,455,287,664,314,339,400,540,389,988,242,590,726,611,"1,006"
2020년02월_계_90~99세,"1,210",85,39,75,83,39,85,36,62,53,78,48,117,27,88,94,62,139
2020년02월_계_100세 이상,77,5,5,4,5,3,6,6,4,8,1,0,9,2,7,4,3,5
2020년02월_남_총인구수,"118,636","8,975","7,229","6,690","6,960","2,510","8,139","2,713","3,453","4,820","4,993","6,774","12,969","3,560","6,853","11,196","6,400","14,402"
2020년02월_남_연령구간인구수,"118,636","8,975","7,229","6,690","6,960","2,510","8,139","2,713","3,453","4,820","4,993","6,774","12,969","3,560","6,853","11,196","6,400","14,402"
2020년02월_남_0~9세,"8,395",475,823,415,549,106,411,111,177,283,339,702,"1,075",190,471,"1,092",348,828
2020년02월_남_10~19세,"11,896",593,"1,215",708,601,171,617,148,260,358,418,845,"1,702",226,550,"1,539",634,"1,311"
2020년02월_남_20~29세,"16,185","1,422",856,910,"1,069",291,"1,032",445,422,837,741,794,"1,671",494,918,"1,434",919,"1,930"
2020년02월_남_30~39세,"14,256","1,397",750,780,"1,025",277,986,329,368,699,668,827,"1,257",500,868,"1,232",730,"1,563"
2020년02월_남_40~49세,"19,367","1,566","1,559","1,099","1,150",373,"1,160",379,529,775,727,"1,210","2,149",570,"1,006","1,921",977,"2,217"
2020년02월_남_50~59세,"20,345","1,598","1,098","1,217","1,061",491,"1,482",477,663,775,826,"1,110","2,199",636,"1,097","1,728","1,173","2,714"
2020년02월_남_60~69세,"15,461","1,174",519,874,848,416,"1,344",405,540,569,645,711,"1,533",553,"1,018","1,167",903,"2,242"
2020년02월_남_70~79세,"9,069",540,280,490,461,282,848,279,344,363,411,422,968,287,656,757,496,"1,185"
2020년02월_남_80~89세,"3,364",185,120,179,173,95,244,128,134,145,205,145,382,99,247,301,207,375
2020년02월_남_90~99세,280,23,8,18,22,7,15,9,14,12,13,8,32,5,20,24,13,37
2020년02월_남_100세 이상,18,2,1,0,1,1,0,3,2,4,0,0,1,0,2,1,0,0
2020년02월_여_총인구수,"121,428","8,356","7,810","7,117","7,190","2,314","7,976","2,798","3,451","5,233","5,581","7,144","13,884","3,168","7,071","11,896","6,685","13,754"
2020년02월_여_연령구간인구수,"121,428","8,356","7,810","7,117","7,190","2,314","7,976","2,798","3,451","5,233","5,581","7,144","13,884","3,168","7,071","11,896","6,685","13,754"
2020년02월_여_0~9세,"8,029",502,805,422,492,85,383,81,147,304,340,619,"1,024",165,453,"1,016",347,844
2020년02월_여_10~19세,"11,185",562,"1,254",632,521,139,606,123,233,451,415,868,"1,605",154,487,"1,443",539,"1,153"
2020년02월_여_20~29세,"15,239","1,541",820,785,"1,289",225,851,509,390,963,746,749,"1,490",378,880,"1,409",730,"1,484"
2020년02월_여_30~39세,"13,402","1,188",944,721,997,203,705,259,310,636,677,883,"1,360",402,783,"1,383",618,"1,333"
2020년02월_여_40~49세,"18,795","1,205","1,751","1,104",993,261,"1,004",292,451,734,812,"1,331","2,421",414,946,"2,150",993,"1,933"
2020년02월_여_50~59세,"20,110","1,271",967,"1,257","1,040",377,"1,513",488,642,746,892,"1,088","2,314",598,"1,185","1,781","1,278","2,673"
2020년02월_여_60~69세,"17,100","1,091",657,"1,111",916,427,"1,447",458,605,602,761,780,"1,839",554,"1,189","1,301","1,023","2,339"
2020년02월_여_70~79세,"11,066",628,400,662,595,371,971,372,418,497,537,542,"1,132",336,732,915,701,"1,257"
2020년02월_여_80~89세,"5,513",303,177,362,282,192,420,186,205,255,335,244,606,143,343,425,404,631
2020년02월_여_90~99세,930,62,31,57,61,32,70,27,48,41,65,40,85,22,68,70,49,102
2020년02월_여_100세 이상,59,3,4,4,4,2,6,3,2,4,1,0,8,2,5,3,3,5
