,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2020년06월_계_총인구수,"64,724","18,769","19,774","2,419","6,251","2,894","3,509","5,486","1,969","2,746",907
2020년06월_계_연령구간인구수,"64,724","18,769","19,774","2,419","6,251","2,894","3,509","5,486","1,969","2,746",907
2020년06월_계_0~9세,"4,345","1,354","2,057",62,313,67,70,319,23,65,15
2020년06월_계_10~19세,"6,025","2,015","2,658",118,309,90,135,472,71,130,27
2020년06월_계_20~29세,"5,608","2,068","1,623",162,482,184,246,449,124,219,51
2020년06월_계_30~39세,"5,935","1,949","2,195",154,561,149,152,452,95,179,49
2020년06월_계_40~49세,"9,544","2,928","3,872",221,606,283,316,830,163,261,64
2020년06월_계_50~59세,"11,374","3,399","3,132",428,"1,079",572,609,"1,048",365,562,180
2020년06월_계_60~69세,"10,682","2,653","2,377",543,"1,254",701,801,905,495,687,266
2020년06월_계_70~79세,"6,688","1,453","1,224",415,905,480,686,637,373,366,149
2020년06월_계_80~89세,"3,986",828,546,286,652,328,433,332,241,248,92
2020년06월_계_90~99세,526,117,86,30,88,40,61,42,19,29,14
2020년06월_계_100세 이상,11,5,4,0,2,0,0,0,0,0,0
2020년06월_남_총인구수,"32,793","9,454","10,004","1,199","3,225","1,464","1,733","2,834","1,017","1,398",465
2020년06월_남_연령구간인구수,"32,793","9,454","10,004","1,199","3,225","1,464","1,733","2,834","1,017","1,398",465
2020년06월_남_0~9세,"2,180",702,"1,009",28,153,32,41,166,9,30,10
2020년06월_남_10~19세,"3,213","1,103","1,397",64,174,51,68,224,40,75,17
2020년06월_남_20~29세,"3,241","1,198",895,90,296,110,142,262,80,138,30
2020년06월_남_30~39세,"3,014",980,"1,015",85,325,94,89,239,58,98,31
2020년06월_남_40~49세,"5,192","1,508","2,000",128,391,187,203,467,110,155,43
2020년06월_남_50~59세,"6,227","1,773","1,711",234,628,329,354,600,218,285,95
2020년06월_남_60~69세,"5,525","1,322","1,214",295,663,365,400,486,260,377,143
2020년06월_남_70~79세,"2,890",595,578,182,376,190,287,284,158,172,68
2020년06월_남_80~89세,"1,198",244,163,88,195,97,136,101,82,65,27
2020년06월_남_90~99세,110,29,21,5,22,9,13,5,2,3,1
2020년06월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2020년06월_여_총인구수,"31,931","9,315","9,770","1,220","3,026","1,430","1,776","2,652",952,"1,348",442
2020년06월_여_연령구간인구수,"31,931","9,315","9,770","1,220","3,026","1,430","1,776","2,652",952,"1,348",442
2020년06월_여_0~9세,"2,165",652,"1,048",34,160,35,29,153,14,35,5
2020년06월_여_10~19세,"2,812",912,"1,261",54,135,39,67,248,31,55,10
2020년06월_여_20~29세,"2,367",870,728,72,186,74,104,187,44,81,21
2020년06월_여_30~39세,"2,921",969,"1,180",69,236,55,63,213,37,81,18
2020년06월_여_40~49세,"4,352","1,420","1,872",93,215,96,113,363,53,106,21
2020년06월_여_50~59세,"5,147","1,626","1,421",194,451,243,255,448,147,277,85
2020년06월_여_60~69세,"5,157","1,331","1,163",248,591,336,401,419,235,310,123
2020년06월_여_70~79세,"3,798",858,646,233,529,290,399,353,215,194,81
2020년06월_여_80~89세,"2,788",584,383,198,457,231,297,231,159,183,65
2020년06월_여_90~99세,416,88,65,25,66,31,48,37,17,26,13
2020년06월_여_100세 이상,8,5,3,0,0,0,0,0,0,0,0
