,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2020년10월_계_총인구수,"253,282","5,534","25,131","9,550","19,869","4,335","6,286","4,729","3,272","3,243","21,989","6,340","5,759","5,389","6,664","14,119","4,831","15,009","5,956","21,657","29,093","22,946","9,800","1,781"
2020년10월_계_연령구간인구수,"253,282","5,534","25,131","9,550","19,869","4,335","6,286","4,729","3,272","3,243","21,989","6,340","5,759","5,389","6,664","14,119","4,831","15,009","5,956","21,657","29,093","22,946","9,800","1,781"
2020년10월_계_0~9세,"16,357",158,"1,231",360,"1,139",246,288,100,54,62,"2,469",195,281,223,193,449,101,"1,208",358,"2,640","2,555","1,317",675,55
2020년10월_계_10~19세,"20,935",213,"2,076",505,"1,101",187,331,198,96,128,"2,457",344,338,318,336,853,203,"1,711",347,"2,423","3,770","2,306",600,94
2020년10월_계_20~29세,"26,888",377,"2,407",736,"1,939",439,590,290,129,191,"2,338",500,549,560,652,"2,090",354,"1,949",504,"2,420","3,796","3,049",858,171
2020년10월_계_30~39세,"25,542",350,"1,832",678,"2,247",486,504,259,139,156,"3,106",393,610,544,570,"1,305",301,"1,537",533,"2,952","3,293","2,421","1,185",141
2020년10월_계_40~49세,"36,835",635,"3,396","1,063","2,700",395,734,405,197,314,"3,853",742,707,650,770,"1,830",511,"2,594",761,"3,935","5,370","3,751","1,314",208
2020년10월_계_50~59세,"46,779","1,016","5,073","1,743","4,017",656,"1,307",898,597,572,"3,563","1,288","1,060",911,"1,186","2,412",869,"2,779","1,039","3,727","5,483","4,493","1,760",330
2020년10월_계_60~69세,"40,711","1,253","4,389","2,040","3,561",818,"1,314","1,126",971,754,"2,364","1,328","1,064","1,060","1,462","2,683","1,069","1,753","1,146","2,145","2,955","3,358","1,713",385
2020년10월_계_70~79세,"24,477",946,"2,937","1,465","1,912",617,744,815,658,665,"1,139",904,724,744,990,"1,766",842,928,782,890,"1,179","1,537","1,037",256
