카테고리,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2020년08월_계_총인구수,"280,603","2,736","8,668","1,929","20,519","6,318","6,519","2,879","1,335",850,"2,095","4,650","3,261","4,502","4,073","6,317","3,890","5,528","11,835","7,026","19,133","19,780","11,999","10,493","10,545","32,953","37,333","21,523","8,240","2,475","1,199"
2020년08월_계_연령구간인구수,"280,603","2,736","8,668","1,929","20,519","6,318","6,519","2,879","1,335",850,"2,095","4,650","3,261","4,502","4,073","6,317","3,890","5,528","11,835","7,026","19,133","19,780","11,999","10,493","10,545","32,953","37,333","21,523","8,240","2,475","1,199"
2020년08월_계_0~9세,"21,426",54,617,37,"2,140",287,138,73,12,25,60,239,109,163,117,265,166,179,778,483,"1,347","1,465",720,831,"1,074","2,865","4,759","1,261","1,055",75,32
2020년08월_계_10~19세,"26,732",106,659,71,"2,054",316,312,137,38,41,85,282,212,313,235,325,265,265,944,640,"1,954","2,177","1,114","1,240",950,"4,013","4,524","2,123","1,131",141,65
2020년08월_계_20~29세,"33,651",188,752,129,"2,225",472,556,152,63,57,166,434,379,389,350,699,422,474,"1,302",739,"2,503","2,536","1,805","1,441","1,086","5,131","4,612","3,356",860,264,109
2020년08월_계_30~39세,"31,399",133,813,93,"2,670",444,381,127,56,34,138,454,321,368,293,587,325,456,"1,218",713,"2,080","2,179","1,294","1,194","1,406","4,050","5,755","2,343","1,224",184,66
2020년08월_계_40~49세,"42,348",252,"1,304",148,"3,213",752,633,254,93,86,231,564,361,592,491,797,447,623,"1,618",931,"2,869","3,259","1,838","1,776","1,580","5,672","6,563","3,313","1,656",297,135
2020년08월_계_50~59세,"48,457",478,"1,421",325,"3,505","1,052","1,246",461,192,142,473,725,499,733,665,"1,046",616,950,"2,142","1,178","3,429","3,366","2,244","1,862","1,553","5,884","6,027","4,508","1,020",479,236
2020년08월_계_60~69세,"40,130",622,"1,578",449,"2,493","1,231","1,349",656,297,169,471,961,597,956,855,"1,287",809,"1,236","2,059","1,334","2,933","2,715","1,667","1,352","1,518","3,260","3,195","2,717",689,457,218
2020년08월_계_70~79세,"24,250",559,"1,010",390,"1,388","1,041","1,132",609,337,174,285,724,550,716,764,942,568,955,"1,304",758,"1,351","1,400",892,575,953,"1,412","1,251","1,238",436,346,190
2020년08월_계_80~89세,"10,526",295,448,245,732,614,651,360,202,103,153,221,210,239,264,321,234,343,421,214,587,584,379,184,360,570,549,573,151,193,126
2020년08월_계_90~99세,"1,580",47,65,41,93,104,117,46,44,18,30,41,22,25,34,42,36,40,41,33,79,99,45,37,57,92,95,90,16,29,22
2020년08월_계_100세 이상,104,2,1,1,6,5,4,4,1,1,3,5,1,8,5,6,2,7,8,3,1,0,1,1,8,4,3,1,2,10,0
2020년08월_남_총인구수,"143,046","1,372","4,492",951,"10,446","3,261","3,366","1,481",652,427,"1,180","2,361","1,655","2,246","2,098","3,291","1,927","2,810","5,981","3,502","9,408","9,963","6,406","5,297","5,307","16,902","18,728","11,339","4,224","1,351",622
2020년08월_남_연령구간인구수,"143,046","1,372","4,492",951,"10,446","3,261","3,366","1,481",652,427,"1,180","2,361","1,655","2,246","2,098","3,291","1,927","2,810","5,981","3,502","9,408","9,963","6,406","5,297","5,307","16,902","18,728","11,339","4,224","1,351",622
2020년08월_남_0~9세,"10,877",24,318,20,"1,108",145,78,40,6,13,32,118,53,86,67,156,76,81,396,245,663,764,371,414,548,"1,438","2,408",636,526,36,11
2020년08월_남_10~19세,"13,941",53,342,38,"1,039",175,172,75,16,21,48,147,114,168,124,186,123,121,497,315,"1,007","1,125",591,658,503,"2,093","2,401","1,071",609,80,29
2020년08월_남_20~29세,"19,008",106,428,72,"1,256",279,320,100,33,30,98,247,197,228,200,391,236,274,742,412,"1,392","1,402","1,086",766,594,"2,977","2,418","2,010",472,175,67
2020년08월_남_30~39세,"16,914",87,436,52,"1,384",253,234,84,38,17,83,261,199,209,183,353,189,251,676,368,"1,080","1,158",747,650,728,"2,127","2,878","1,402",619,121,47
2020년08월_남_40~49세,"22,341",170,785,100,"1,697",511,397,168,66,54,168,331,213,336,309,475,253,402,893,485,"1,423","1,634","1,001",858,843,"2,754","3,179","1,702",851,188,95
2020년08월_남_50~59세,"25,266",261,761,167,"1,814",605,732,286,104,96,283,375,267,381,358,555,313,536,"1,019",573,"1,609","1,704","1,229",919,778,"3,058","3,090","2,385",578,287,143
2020년08월_남_60~69세,"19,919",319,784,238,"1,285",618,727,335,173,83,265,449,276,425,403,596,364,551,981,653,"1,428","1,357",883,687,726,"1,616","1,613","1,398",325,241,120
2020년08월_남_70~79세,"10,979",233,452,178,614,453,494,263,151,76,145,348,238,315,345,451,278,452,617,361,585,625,382,278,454,657,560,556,191,158,69
