,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2021년03월_계_총인구수,"392,041","24,704","19,224","14,601","34,247","22,143","25,358","24,639","20,113","20,058","25,267","35,072","19,318","30,229","16,979","39,098","20,991"
2021년03월_계_연령구간인구수,"392,041","24,704","19,224","14,601","34,247","22,143","25,358","24,639","20,113","20,058","25,267","35,072","19,318","30,229","16,979","39,098","20,991"
2021년03월_계_0~9세,"22,413","1,236","1,067","1,310","1,543","1,162","1,099","1,828",778,"1,242","1,037","2,290","1,043","1,468",760,"3,228","1,322"
2021년03월_계_10~19세,"26,288","1,575","1,212",890,"1,918","1,244","1,464","1,936",780,"1,304","1,165","3,079","1,206","1,873","1,159","3,753","1,730"
2021년03월_계_20~29세,"55,938","3,350","2,545","1,773","5,410","3,092","3,813","3,584","4,176","2,866","3,759","4,979","2,698","4,177","2,326","4,853","2,537"
2021년03월_계_30~39세,"57,444","3,279","2,717","2,700","5,268","3,348","3,557","3,629","4,216","3,181","3,660","4,856","3,065","4,064","2,086","4,925","2,893"
2021년03월_계_40~49세,"57,143","3,666","2,987","2,218","4,998","3,160","3,483","3,555","2,631","2,809","3,431","5,776","2,841","4,076","2,404","5,928","3,180"
2021년03월_계_50~59세,"68,812","4,887","3,320","2,461","6,269","3,860","4,682","4,348","3,087","3,321","4,855","5,543","3,262","5,649","3,279","6,472","3,517"
2021년03월_계_60~69세,"59,107","3,747","2,940","1,903","4,960","3,581","4,062","3,400","2,539","3,140","4,157","4,778","3,003","5,143","2,806","5,640","3,308"
2021년03월_계_70~79세,"31,270","2,073","1,821",966,"2,779","1,934","2,265","1,590","1,359","1,568","2,243","2,606","1,557","2,619","1,468","2,804","1,618"
