카테고리,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2021년08월_계_총인구수,"166,878","8,504","9,935","16,752","9,737","9,361","9,863","6,177","7,730","10,277","7,903","8,019","9,994","18,137","1,767","4,858","20,191","7,673"
2021년08월_계_연령구간인구수,"166,878","8,504","9,935","16,752","9,737","9,361","9,863","6,177","7,730","10,277","7,903","8,019","9,994","18,137","1,767","4,858","20,191","7,673"
2021년08월_계_0~9세,"7,049",296,306,693,285,273,354,180,220,365,290,578,341,"1,204",68,119,"1,221",256
2021년08월_계_10~19세,"10,383",482,496,"1,166",630,471,576,306,472,531,456,589,562,"1,250",94,290,"1,632",380
2021년08월_계_20~29세,"20,639","1,306","1,229","2,346","1,121",991,"1,214",636,962,"1,189","1,024",869,"1,242","2,222",216,575,"2,564",933
2021년08월_계_30~39세,"16,928",935,937,"1,941",859,774,938,569,672,"1,007",736,926,"1,004","2,193",177,451,"2,121",688
2021년08월_계_40~49세,"21,882","1,047","1,236","2,192","1,284","1,073","1,246",713,981,"1,286",994,"1,200","1,259","2,638",230,575,"2,910","1,018"
2021년08월_계_50~59세,"32,799","1,604","1,928","2,995","2,049","1,825","2,023","1,259","1,599","2,200","1,590","1,410","2,086","3,442",353,"1,054","3,846","1,536"
2021년08월_계_60~69세,"32,040","1,567","1,995","3,086","1,899","1,946","1,983","1,286","1,570","2,072","1,555","1,452","2,003","3,088",363,"1,076","3,612","1,487"
2021년08월_계_70~79세,"17,174",857,"1,199","1,592","1,098","1,340","1,054",846,839,"1,146",829,705,"1,031","1,462",185,483,"1,585",923
2021년08월_계_80~89세,"7,206",374,567,659,470,609,437,354,372,440,392,268,418,549,73,208,608,408
2021년08월_계_90~99세,746,32,42,82,42,56,38,28,36,39,35,22,47,86,3,27,87,44
2021년08월_계_100세 이상,32,4,0,0,0,3,0,0,7,2,2,0,1,3,5,0,5,0
2021년08월_남_총인구수,"83,453","4,202","4,793","8,094","4,979","4,655","4,832","3,138","3,820","5,443","3,982","3,922","5,036","9,004",934,"2,569","10,165","3,885"
2021년08월_남_연령구간인구수,"83,453","4,202","4,793","8,094","4,979","4,655","4,832","3,138","3,820","5,443","3,982","3,922","5,036","9,004",934,"2,569","10,165","3,885"
2021년08월_남_0~9세,"3,638",162,159,345,141,151,177,96,119,191,141,295,181,612,36,58,659,115
2021년08월_남_10~19세,"5,389",268,264,604,334,259,293,152,252,263,235,284,314,635,53,145,856,178
2021년08월_남_20~29세,"11,299",688,631,"1,253",662,551,649,355,546,685,581,461,659,"1,197",130,331,"1,398",522
2021년08월_남_30~39세,"9,585",529,538,"1,087",496,444,539,340,387,572,437,496,583,"1,191",99,279,"1,175",393
2021년08월_남_40~49세,"11,789",558,691,"1,090",729,624,687,396,494,778,555,607,693,"1,361",132,341,"1,470",583
2021년08월_남_50~59세,"16,581",745,964,"1,373","1,079",956,986,694,820,"1,235",831,686,"1,046","1,694",180,572,"1,909",811
2021년08월_남_60~69세,"15,015",717,878,"1,372",914,931,885,606,704,"1,045",730,681,962,"1,449",178,548,"1,712",703
2021년08월_남_70~79세,"7,514",397,474,715,455,533,465,365,347,516,338,308,454,670,89,219,754,415
2021년08월_남_80~89세,"2,517",131,186,235,165,198,144,128,141,155,130,101,139,183,35,70,218,158
2021년08월_남_90~99세,122,7,8,20,4,8,7,6,8,3,4,3,5,12,1,6,13,7
2021년08월_남_100세 이상,4,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0
2021년08월_여_총인구수,"83,425","4,302","5,142","8,658","4,758","4,706","5,031","3,039","3,910","4,834","3,921","4,097","4,958","9,133",833,"2,289","10,026","3,788"
2021년08월_여_연령구간인구수,"83,425","4,302","5,142","8,658","4,758","4,706","5,031","3,039","3,910","4,834","3,921","4,097","4,958","9,133",833,"2,289","10,026","3,788"
2021년08월_여_0~9세,"3,411",134,147,348,144,122,177,84,101,174,149,283,160,592,32,61,562,141
2021년08월_여_10~19세,"4,994",214,232,562,296,212,283,154,220,268,221,305,248,615,41,145,776,202
2021년08월_여_20~29세,"9,340",618,598,"1,093",459,440,565,281,416,504,443,408,583,"1,025",86,244,"1,166",411
2021년08월_여_30~39세,"7,343",406,399,854,363,330,399,229,285,435,299,430,421,"1,002",78,172,946,295
2021년08월_여_40~49세,"10,093",489,545,"1,102",555,449,559,317,487,508,439,593,566,"1,277",98,234,"1,440",435
2021년08월_여_50~59세,"16,218",859,964,"1,622",970,869,"1,037",565,779,965,759,724,"1,040","1,748",173,482,"1,937",725
2021년08월_여_60~69세,"17,025",850,"1,117","1,714",985,"1,015","1,098",680,866,"1,027",825,771,"1,041","1,639",185,528,"1,900",784
2021년08월_여_70~79세,"9,660",460,725,877,643,807,589,481,492,630,491,397,577,792,96,264,831,508
2021년08월_여_80~89세,"4,689",243,381,424,305,411,293,226,231,285,262,167,279,366,38,138,390,250
2021년08월_여_90~99세,624,25,34,62,38,48,31,22,28,36,31,19,42,74,2,21,74,37
2021년08월_여_100세 이상,28,4,0,0,0,3,0,0,5,2,2,0,1,3,4,0,4,0
