,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2020년09월_계_총인구수,"32,209","8,472","3,398","1,873","3,911","1,943","3,144","2,891","2,858","3,719"
2020년09월_계_연령구간인구수,"32,209","8,472","3,398","1,873","3,911","1,943","3,144","2,891","2,858","3,719"
2020년09월_계_0~9세,"1,428",550,140,69,148,46,109,106,98,162
2020년09월_계_10~19세,"2,069",768,186,65,221,90,237,140,131,231
2020년09월_계_20~29세,"2,512",800,195,132,268,141,251,200,256,269
2020년09월_계_30~39세,"2,173",724,177,120,236,104,198,188,185,241
2020년09월_계_40~49세,"3,517","1,155",347,183,388,171,294,259,318,402
2020년09월_계_50~59세,"5,557","1,375",581,299,666,370,584,508,522,652
2020년09월_계_60~69세,"5,857","1,260",649,407,773,373,546,637,560,652
2020년09월_계_70~79세,"5,182","1,055",659,332,673,346,528,469,449,671
2020년09월_계_80~89세,"3,396",684,416,228,462,264,344,332,287,379
2020년09월_계_90~99세,490,95,47,37,72,37,52,50,45,55
2020년09월_계_100세 이상,28,6,1,1,4,1,1,2,7,5
2020년09월_남_총인구수,"16,116","4,171","1,684",935,"1,945",935,"1,612","1,430","1,445","1,959"
2020년09월_남_연령구간인구수,"16,116","4,171","1,684",935,"1,945",935,"1,612","1,430","1,445","1,959"
2020년09월_남_0~9세,748,281,58,38,83,19,64,59,50,96
2020년09월_남_10~19세,"1,093",418,93,34,114,49,128,66,68,123
2020년09월_남_20~29세,"1,483",437,119,70,166,92,159,120,149,171
2020년09월_남_30~39세,"1,163",360,98,73,128,56,113,105,95,135
2020년09월_남_40~49세,"2,079",626,227,116,238,99,162,151,181,279
2020년09월_남_50~59세,"3,241",757,342,167,377,212,367,301,310,408
2020년09월_남_60~69세,"3,021",620,340,206,409,196,269,343,295,343
2020년09월_남_70~79세,"2,172",438,262,153,283,131,237,192,194,282
2020년09월_남_80~89세,"1,003",209,133,70,132,71,105,90,88,105
2020년09월_남_90~99세,110,23,12,8,15,10,8,3,15,16
2020년09월_남_100세 이상,3,2,0,0,0,0,0,0,0,1
2020년09월_여_총인구수,"16,093","4,301","1,714",938,"1,966","1,008","1,532","1,461","1,413","1,760"
2020년09월_여_연령구간인구수,"16,093","4,301","1,714",938,"1,966","1,008","1,532","1,461","1,413","1,760"
2020년09월_여_0~9세,680,269,82,31,65,27,45,47,48,66
2020년09월_여_10~19세,976,350,93,31,107,41,109,74,63,108
2020년09월_여_20~29세,"1,029",363,76,62,102,49,92,80,107,98
2020년09월_여_30~39세,"1,010",364,79,47,108,48,85,83,90,106
2020년09월_여_40~49세,"1,438",529,120,67,150,72,132,108,137,123
2020년09월_여_50~59세,"2,316",618,239,132,289,158,217,207,212,244
2020년09월_여_60~69세,"2,836",640,309,201,364,177,277,294,265,309
2020년09월_여_70~79세,"3,010",617,397,179,390,215,291,277,255,389
2020년09월_여_80~89세,"2,393",475,283,158,330,193,239,242,199,274
2020년09월_여_90~99세,380,72,35,29,57,27,44,47,30,39
2020년09월_여_100세 이상,25,4,1,1,4,1,1,2,7,4
