카테고리,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2020년02월_계_총인구수,"653,816","259,558","24,216","4,183","4,341","4,382","3,286","2,331","6,177","2,181","5,558","3,712","8,954","9,673","17,542","24,973","45,302","56,018","36,729","394,258","25,190","22,445","19,516","8,829","16,364","25,834","14,374","38,736","19,379","41,028","68,102","40,016","54,445"
2020년02월_계_연령구간인구수,"653,816","259,558","24,216","4,183","4,341","4,382","3,286","2,331","6,177","2,181","5,558","3,712","8,954","9,673","17,542","24,973","45,302","56,018","36,729","394,258","25,190","22,445","19,516","8,829","16,364","25,834","14,374","38,736","19,379","41,028","68,102","40,016","54,445"
2020년02월_계_0~9세,"63,992","21,625","1,873",149,123,153,87,59,287,32,173,97,444,323,"1,086","2,445","5,096","6,320","2,878","42,367","1,437","2,055","1,467",335,816,"1,076",940,"3,713","1,562","6,018","10,473","3,513","8,962"
2020년02월_계_10~19세,"69,718","27,019","2,878",254,204,252,185,92,358,87,313,186,734,751,"1,469","3,325","5,984","7,092","2,855","42,699","2,436","2,507","1,944",606,"1,139","1,492","1,326","5,232","2,495","5,664","9,205","3,854","4,799"
2020년02월_계_20~29세,"95,158","35,479","2,760",395,396,400,259,204,776,143,555,490,"1,127","1,222","2,741","3,047","6,208","7,288","7,468","59,679","2,907","2,602","2,423",996,"2,443","6,427","2,542","6,052","2,749","5,171","8,561","8,690","8,116"
2020년02월_계_30~39세,"106,580","34,505","2,589",343,316,346,204,184,593,107,519,402,910,958,"2,403","2,830","7,232","8,769","5,800","72,075","2,386","3,226","2,791",771,"2,290","5,670","1,957","5,486","2,494","7,371","14,677","7,655","15,301"
2020년02월_계_40~49세,"111,788","43,733","4,645",469,469,535,352,241,771,192,721,492,"1,293","1,430","2,902","4,725","9,059","10,256","5,181","68,055","4,067","4,264","3,505","1,179","2,547","3,815","2,021","6,951","3,328","7,709","13,589","6,576","8,504"
2020년02월_계_50~59세,"101,977","44,176","4,324",815,920,926,658,457,"1,203",484,"1,097",739,"1,837","1,972","3,251","4,233","6,770","8,321","6,169","57,801","4,345","3,700","3,461","1,854","3,227","3,622","2,650","6,702","3,542","5,565","7,972","5,669","5,492"
2020년02월_계_60~69세,"58,753","29,062","2,646",879,923,875,733,488,"1,089",472,"1,130",698,"1,383","1,513","2,191","2,468","2,998","4,706","3,870","29,691","3,760","2,276","2,115","1,513","2,185","2,315","1,839","2,862","1,782","2,218","2,324","2,386","2,116"
2020년02월_계_70~79세,"29,150","15,097","1,503",502,557,506,477,330,622,372,706,399,801,975,"1,015","1,273","1,220","2,142","1,697","14,053","2,439","1,170","1,132",949,"1,184",958,725,"1,108",874,858,845,"1,070",741
2020년02월_계_80~89세,"14,437","7,648",875,328,369,344,290,249,401,247,299,181,360,473,403,549,630,949,701,"6,789","1,222",558,603,533,473,386,311,564,477,386,388,530,358
2020년02월_계_90~99세,"2,100","1,130",122,49,62,44,38,25,69,41,36,25,56,50,71,73,102,166,101,970,163,85,71,80,53,67,61,61,74,66,66,68,55
2020년02월_계_100세 이상,163,84,1,0,2,1,3,2,8,4,9,3,9,6,10,5,3,9,9,79,28,2,4,13,7,6,2,5,2,2,2,5,1
2020년02월_남_총인구수,"333,367","131,703","12,439","2,249","2,192","2,265","1,718","1,270","3,249","1,167","2,950","1,959","4,678","4,979","8,983","12,492","23,056","28,005","18,052","201,664","13,049","11,717","10,621","4,716","8,583","13,707","7,093","19,036","9,389","20,511","34,174","20,625","28,443"
2020년02월_남_연령구간인구수,"333,367","131,703","12,439","2,249","2,192","2,265","1,718","1,270","3,249","1,167","2,950","1,959","4,678","4,979","8,983","12,492","23,056","28,005","18,052","201,664","13,049","11,717","10,621","4,716","8,583","13,707","7,093","19,036","9,389","20,511","34,174","20,625","28,443"
2020년02월_남_0~9세,"32,678","11,120",954,78,60,76,43,26,135,16,93,52,244,168,562,"1,247","2,643","3,244","1,479","21,558",751,"1,030",761,169,432,554,511,"1,851",779,"3,028","5,341","1,817","4,534"
2020년02월_남_10~19세,"36,191","14,084","1,521",132,119,130,92,54,186,57,171,93,444,406,785,"1,715","3,142","3,623","1,414","22,107","1,288","1,282","1,025",333,554,764,662,"2,772","1,339","2,926","4,731","1,985","2,446"
2020년02월_남_20~29세,"49,824","18,878","1,540",248,223,242,149,123,507,92,299,247,636,675,"1,439","1,695","3,351","3,807","3,605","30,946","1,638","1,417","1,460",587,"1,331","3,201","1,291","3,133","1,450","2,673","4,276","4,387","4,102"
2020년02월_남_30~39세,"56,588","18,129","1,382",206,174,209,130,121,368,58,309,252,501,583,"1,337","1,327","3,765","4,395","3,012","38,459","1,323","1,737","1,664",485,"1,325","3,417","1,065","2,706","1,223","3,567","7,283","4,278","8,386"
2020년02월_남_40~49세,"57,517","22,492","2,428",289,254,289,221,164,441,135,416,289,686,754,"1,514","2,360","4,564","5,083","2,605","35,025","2,240","2,301","1,986",696,"1,393","2,123",993,"3,257","1,578","3,881","6,624","3,350","4,603"
2020년02월_남_50~59세,"52,446","22,601","2,314",446,489,509,364,268,607,280,634,411,966,"1,013","1,649","2,141","3,446","4,149","2,915","29,845","2,352","1,994","1,888","1,017","1,714","1,947","1,220","3,226","1,681","2,792","4,192","2,932","2,890"
2020년02월_남_60~69세,"29,605","14,598","1,318",481,483,439,388,267,587,256,571,371,669,739,"1,101","1,230","1,449","2,358","1,891","15,007","1,849","1,192","1,104",769,"1,111","1,150",907,"1,418",881,"1,131","1,215","1,199","1,081"
2020년02월_남_70~79세,"13,068","6,889",658,253,260,242,229,148,265,173,326,168,391,447,445,579,493,973,839,"6,179","1,104",540,492,428,530,424,320,477,318,393,374,479,300
2020년02월_남_80~89세,"4,939","2,642",295,106,116,122,93,94,137,90,117,65,124,182,136,180,181,332,272,"2,297",454,202,223,202,176,116,109,180,126,104,127,183,95
