,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2021년08월_계_총인구수,"282,714","7,589","19,756","1,445","2,574","1,077","3,766","2,520",943,"17,391","3,423","3,558","2,732","2,153","8,648","9,490","11,681","14,832","21,140","4,473","12,026","4,418","35,049","49,695","19,187","23,148"
2021년08월_계_연령구간인구수,"282,714","7,589","19,756","1,445","2,574","1,077","3,766","2,520",943,"17,391","3,423","3,558","2,732","2,153","8,648","9,490","11,681","14,832","21,140","4,473","12,026","4,418","35,049","49,695","19,187","23,148"
2021년08월_계_0~9세,"20,892",321,"2,063",27,98,22,99,66,13,"1,378",73,101,84,81,916,740,501,"1,271","1,736",319,401,147,"2,333","4,317","1,542","2,243"
2021년08월_계_10~19세,"26,616",450,"2,478",59,132,27,182,144,20,"1,719",153,163,118,115,642,771,838,"1,424","1,926",376,664,228,"4,291","5,817","1,573","2,306"
2021년08월_계_20~29세,"37,312",720,"1,958",116,247,44,225,171,30,"2,152",225,899,343,249,"1,011","1,195","1,837","2,167","2,645",535,"2,753",956,"5,099","6,436","2,412","2,887"
2021년08월_계_30~39세,"33,903",656,"2,316",90,185,51,223,115,36,"2,338",235,414,295,191,"1,439","1,183","1,365","2,085","2,761",472,"1,319",586,"3,652","6,160","2,628","3,108"
2021년08월_계_40~49세,"41,887",858,"3,616",112,245,85,334,212,57,"2,841",344,376,347,239,"1,168","1,358","1,485","2,145","3,082",657,"1,388",469,"5,718","8,321","2,815","3,615"
2021년08월_계_50~59세,"46,444","1,393","3,042",229,487,201,670,447,189,"2,807",650,489,467,382,"1,192","1,618","1,906","2,343","3,433",744,"1,796",658,"6,241","8,354","3,195","3,511"
2021년08월_계_60~69세,"40,795","1,554","2,613",432,644,302,987,700,298,"2,401",920,517,498,393,"1,136","1,386","1,973","1,792","3,043",705,"1,796",688,"4,237","5,965","2,868","2,947"
2021년08월_계_70~79세,"20,620",905,"1,008",200,279,195,571,374,188,"1,029",489,366,330,294,666,751,"1,059",940,"1,504",383,"1,139",392,"2,098","2,552","1,375","1,533"
2021년08월_계_80~89세,"12,259",638,547,167,224,127,393,248,98,616,284,206,209,171,414,417,616,571,876,244,679,257,"1,211","1,538",652,856
2021년08월_계_90~99세,"1,915",91,111,12,33,22,77,43,14,105,46,25,41,35,60,67,99,90,130,37,89,36,163,232,117,140
2021년08월_계_100세 이상,71,3,4,1,0,1,5,0,0,5,4,2,0,3,4,4,2,4,4,1,2,1,6,3,10,2
2021년08월_남_총인구수,"139,628","3,799","9,772",785,"1,330",585,"1,937","1,247",520,"8,690","1,798","1,839","1,318","1,044","4,380","4,631","5,810","7,067","10,070","2,227","6,377","2,245","17,193","23,953","9,366","11,645"
2021년08월_남_연령구간인구수,"139,628","3,799","9,772",785,"1,330",585,"1,937","1,247",520,"8,690","1,798","1,839","1,318","1,044","4,380","4,631","5,810","7,067","10,070","2,227","6,377","2,245","17,193","23,953","9,366","11,645"
2021년08월_남_0~9세,"10,749",160,"1,055",10,56,16,43,34,7,732,43,63,46,41,486,366,261,646,888,156,203,79,"1,171","2,205",789,"1,193"
2021년08월_남_10~19세,"13,834",232,"1,283",40,58,15,108,79,10,891,82,92,65,65,354,410,435,733,971,211,338,120,"2,190","3,001",820,"1,231"
2021년08월_남_20~29세,"19,952",399,"1,061",67,152,27,126,106,17,"1,098",119,489,167,143,520,629,969,"1,094","1,356",288,"1,649",485,"2,695","3,374","1,273","1,649"
2021년08월_남_30~39세,"17,344",349,"1,088",55,100,32,120,66,23,"1,231",137,232,157,99,765,613,763,"1,039","1,400",250,772,324,"1,877","3,006","1,328","1,518"
2021년08월_남_40~49세,"20,679",463,"1,781",75,140,48,192,102,34,"1,433",206,207,193,121,605,685,773,"1,016","1,472",339,795,273,"2,696","3,844","1,369","1,817"
2021년08월_남_50~59세,"23,371",735,"1,552",131,278,125,381,221,107,"1,424",370,257,247,208,677,797,952,"1,105","1,623",371,"1,001",342,"3,141","4,014","1,510","1,802"
2021년08월_남_60~69세,"19,744",797,"1,285",247,319,164,538,363,183,"1,186",473,241,234,190,555,657,947,820,"1,411",332,868,331,"2,045","2,822","1,333","1,403"
2021년08월_남_70~79세,"9,069",414,455,94,141,99,287,176,91,442,250,182,134,113,247,301,467,394,639,162,479,168,888,"1,079",677,690
2021년08월_남_80~89세,"4,401",221,193,62,79,54,128,92,45,225,103,66,67,57,143,153,220,192,278,107,255,115,450,548,237,311
2021년08월_남_90~99세,466,28,19,4,7,5,14,8,3,27,13,9,8,6,26,18,23,28,30,11,15,8,39,59,27,31
2021년08월_남_100세 이상,19,1,0,0,0,0,0,0,0,1,2,1,0,1,2,2,0,0,2,0,2,0,1,1,3,0
2021년08월_여_총인구수,"143,086","3,790","9,984",660,"1,244",492,"1,829","1,273",423,"8,701","1,625","1,719","1,414","1,109","4,268","4,859","5,871","7,765","11,070","2,246","5,649","2,173","17,856","25,742","9,821","11,503"
2021년08월_여_연령구간인구수,"143,086","3,790","9,984",660,"1,244",492,"1,829","1,273",423,"8,701","1,625","1,719","1,414","1,109","4,268","4,859","5,871","7,765","11,070","2,246","5,649","2,173","17,856","25,742","9,821","11,503"
2021년08월_여_0~9세,"10,143",161,"1,008",17,42,6,56,32,6,646,30,38,38,40,430,374,240,625,848,163,198,68,"1,162","2,112",753,"1,050"
2021년08월_여_10~19세,"12,782",218,"1,195",19,74,12,74,65,10,828,71,71,53,50,288,361,403,691,955,165,326,108,"2,101","2,816",753,"1,075"
2021년08월_여_20~29세,"17,360",321,897,49,95,17,99,65,13,"1,054",106,410,176,106,491,566,868,"1,073","1,289",247,"1,104",471,"2,404","3,062","1,139","1,238"
2021년08월_여_30~39세,"16,559",307,"1,228",35,85,19,103,49,13,"1,107",98,182,138,92,674,570,602,"1,046","1,361",222,547,262,"1,775","3,154","1,300","1,590"
2021년08월_여_40~49세,"21,208",395,"1,835",37,105,37,142,110,23,"1,408",138,169,154,118,563,673,712,"1,129","1,610",318,593,196,"3,022","4,477","1,446","1,798"
2021년08월_여_50~59세,"23,073",658,"1,490",98,209,76,289,226,82,"1,383",280,232,220,174,515,821,954,"1,238","1,810",373,795,316,"3,100","4,340","1,685","1,709"
2021년08월_여_60~69세,"21,051",757,"1,328",185,325,138,449,337,115,"1,215",447,276,264,203,581,729,"1,026",972,"1,632",373,928,357,"2,192","3,143","1,535","1,544"
2021년08월_여_70~79세,"11,551",491,553,106,138,96,284,198,97,587,239,184,196,181,419,450,592,546,865,221,660,224,"1,210","1,473",698,843
2021년08월_여_80~89세,"7,858",417,354,105,145,73,265,156,53,391,181,140,142,114,271,264,396,379,598,137,424,142,761,990,415,545
2021년08월_여_90~99세,"1,449",63,92,8,26,17,63,35,11,78,33,16,33,29,34,49,76,62,100,26,74,28,124,173,90,109
2021년08월_여_100세 이상,52,2,4,1,0,1,5,0,0,4,2,1,0,2,2,2,2,4,2,1,0,1,5,2,7,2
