카테고리,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2021년06월_계_총인구수,"71,409","5,854","1,110","3,223",862,"2,473","3,091","2,396","2,783","1,973","3,594","2,655","5,828","7,120","9,008","3,133","16,306"
2021년06월_계_연령구간인구수,"71,409","5,854","1,110","3,223",862,"2,473","3,091","2,396","2,783","1,973","3,594","2,655","5,828","7,120","9,008","3,133","16,306"
2021년06월_계_0~9세,"3,918",205,37,107,12,55,92,40,57,85,97,78,360,437,622,121,"1,513"
2021년06월_계_10~19세,"5,558",376,62,147,38,285,126,160,105,78,118,87,404,578,854,153,"1,987"
2021년06월_계_20~29세,"6,264",364,65,166,37,144,195,334,155,93,225,127,528,633,851,202,"2,145"
2021년06월_계_30~39세,"5,567",358,48,157,46,87,162,102,117,100,209,133,558,643,781,245,"1,821"
2021년06월_계_40~49세,"8,621",601,92,258,77,185,259,172,216,171,287,182,705,859,"1,313",309,"2,935"
2021년06월_계_50~59세,"11,873","1,011",224,524,186,329,475,378,476,349,621,504,977,"1,116","1,526",517,"2,660"
2021년06월_계_60~69세,"13,880","1,320",277,745,218,587,744,540,666,526,783,682,"1,167","1,422","1,581",703,"1,919"
2021년06월_계_70~79세,"9,136",957,170,575,144,388,536,352,509,317,690,460,733,946,935,519,905
2021년06월_계_80~89세,"5,727",575,117,465,89,352,422,278,418,219,496,333,363,433,479,327,361
2021년06월_계_90~99세,827,76,18,77,14,61,79,40,59,35,63,64,32,51,63,36,59
2021년06월_계_100세 이상,38,11,0,2,1,0,1,0,5,0,5,5,1,2,3,1,1
2021년06월_남_총인구수,"35,098","2,833",566,"1,567",453,"1,299","1,555","1,145","1,384","1,020","1,710","1,231","2,854","3,459","4,487","1,579","7,956"
2021년06월_남_연령구간인구수,"35,098","2,833",566,"1,567",453,"1,299","1,555","1,145","1,384","1,020","1,710","1,231","2,854","3,459","4,487","1,579","7,956"
2021년06월_남_0~9세,"2,024",99,18,51,6,26,50,19,34,44,43,42,205,224,337,51,775
2021년06월_남_10~19세,"3,019",194,34,87,22,185,60,90,55,42,69,45,229,306,495,92,"1,014"
2021년06월_남_20~29세,"3,551",218,44,101,19,88,131,135,99,58,130,79,305,374,510,123,"1,137"
2021년06월_남_30~39세,"2,949",204,27,88,18,53,86,57,73,57,119,75,297,347,405,139,904
2021년06월_남_40~49세,"4,620",327,54,144,44,114,176,101,133,105,184,111,386,462,686,192,"1,401"
2021년06월_남_50~59세,"6,172",530,128,283,111,194,269,214,274,183,350,253,463,557,750,302,"1,311"
2021년06월_남_60~69세,"6,777",647,144,391,136,306,373,282,357,310,388,331,512,627,727,345,901
2021년06월_남_70~79세,"3,963",396,77,247,64,192,246,150,224,139,281,193,315,415,394,235,395
2021년06월_남_80~89세,"1,849",200,37,154,33,127,150,90,121,75,133,88,133,141,164,96,107
2021년06월_남_90~99세,165,14,3,21,0,14,14,7,12,7,12,13,9,6,19,4,10
2021년06월_남_100세 이상,9,4,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1
2021년06월_여_총인구수,"36,311","3,021",544,"1,656",409,"1,174","1,536","1,251","1,399",953,"1,884","1,424","2,974","3,661","4,521","1,554","8,350"
2021년06월_여_연령구간인구수,"36,311","3,021",544,"1,656",409,"1,174","1,536","1,251","1,399",953,"1,884","1,424","2,974","3,661","4,521","1,554","8,350"
2021년06월_여_0~9세,"1,894",106,19,56,6,29,42,21,23,41,54,36,155,213,285,70,738
2021년06월_여_10~19세,"2,539",182,28,60,16,100,66,70,50,36,49,42,175,272,359,61,973
2021년06월_여_20~29세,"2,713",146,21,65,18,56,64,199,56,35,95,48,223,259,341,79,"1,008"
2021년06월_여_30~39세,"2,618",154,21,69,28,34,76,45,44,43,90,58,261,296,376,106,917
2021년06월_여_40~49세,"4,001",274,38,114,33,71,83,71,83,66,103,71,319,397,627,117,"1,534"
2021년06월_여_50~59세,"5,701",481,96,241,75,135,206,164,202,166,271,251,514,559,776,215,"1,349"
2021년06월_여_60~69세,"7,103",673,133,354,82,281,371,258,309,216,395,351,655,795,854,358,"1,018"
2021년06월_여_70~79세,"5,173",561,93,328,80,196,290,202,285,178,409,267,418,531,541,284,510
2021년06월_여_80~89세,"3,878",375,80,311,56,225,272,188,297,144,363,245,230,292,315,231,254
2021년06월_여_90~99세,662,62,15,56,14,47,65,33,47,28,51,51,23,45,44,32,49
2021년06월_여_100세 이상,29,7,0,2,1,0,1,0,3,0,4,4,1,2,3,1,0
