카테고리,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2020년04월_계_총인구수,"505,209","232,620","7,771","31,157","54,683","3,603","9,974","4,180","1,930","25,357","17,657","12,812","4,853","2,960","30,703","24,980","272,589","40,612","2,870","4,891","2,554","5,030","2,129",602,"1,286","15,977","17,433","19,988","22,647","32,034","22,460","72,467","9,609"
2020년04월_계_연령구간인구수,"505,209","232,620","7,771","31,157","54,683","3,603","9,974","4,180","1,930","25,357","17,657","12,812","4,853","2,960","30,703","24,980","272,589","40,612","2,870","4,891","2,554","5,030","2,129",602,"1,286","15,977","17,433","19,988","22,647","32,034","22,460","72,467","9,609"
2020년04월_계_0~9세,"41,207","18,299",163,"2,558","5,995",86,591,77,37,"1,286",657,451,239,178,"3,690","2,291","22,908","4,046",73,123,37,109,35,7,23,614,"1,292",847,"1,560","3,098","1,552","8,538",954
2020년04월_계_10~19세,"47,596","21,621",270,"3,780","5,812",161,804,138,76,"1,589",856,745,277,207,"3,823","3,083","25,975","3,632",90,231,87,205,57,18,39,843,"1,943","1,028","2,163","3,107","2,465","8,905","1,162"
2020년04월_계_20~29세,"57,375","26,792",527,"3,729","6,244",305,"1,034",216,107,"3,318","1,794","1,115",621,694,"3,635","3,453","30,583","4,232",178,321,171,311,76,35,53,"1,678","2,186","2,363","2,453","3,980","2,899","8,730",917
2020년04월_계_30~39세,"61,240","28,040",487,"3,346","8,536",281,950,190,85,"3,079","1,741","1,105",557,365,"3,993","3,325","33,200","5,269",134,290,111,250,76,14,58,"1,787","1,916","2,447","2,390","4,409","2,289","10,522","1,238"
2020년04월_계_40~49세,"78,041","36,087",790,"5,304","10,050",350,"1,325",329,181,"3,472","2,288","1,503",536,353,"5,183","4,423","41,954","6,296",228,500,204,407,135,42,105,"2,005","2,794","2,588","3,346","4,921","3,329","13,378","1,676"
2020년04월_계_50~59세,"91,371","42,209","1,511","6,105","8,424",743,"1,853",725,357,"4,721","3,504","2,495",885,512,"5,614","4,760","49,162","7,085",502,920,486,924,406,122,207,"2,878","3,523","3,566","4,269","6,076","4,621","12,062","1,515"
2020년04월_계_60~69세,"75,301","35,366","1,898","3,997","5,971",888,"1,745",964,451,"4,966","4,084","3,115",953,382,"3,571","2,381","39,935","5,464",721,"1,077",620,"1,205",575,193,340,"3,277","2,467","4,073","3,923","4,103","3,424","7,109","1,364"
2020년04월_계_70~79세,"35,998","16,769","1,350","1,606","2,459",519,"1,115",846,387,"2,273","2,084","1,668",573,190,853,846,"19,229","2,913",498,853,469,897,419,104,253,"2,022",936,"2,254","1,801","1,621","1,334","2,276",579
