,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2021년09월_계_총인구수,"43,650","9,787","3,046","3,478","1,930","1,837","2,215","3,405","5,894","1,706","1,701","1,437","4,222","2,992"
2021년09월_계_연령구간인구수,"43,650","9,787","3,046","3,478","1,930","1,837","2,215","3,405","5,894","1,706","1,701","1,437","4,222","2,992"
2021년09월_계_0~9세,"1,657",522,82,101,53,51,52,81,322,21,61,49,148,114
2021년09월_계_10~19세,"2,720",858,198,177,87,66,122,147,430,62,82,112,229,150
2021년09월_계_20~29세,"3,076",943,211,179,114,96,131,224,437,77,77,68,228,291
2021년09월_계_30~39세,"2,566",776,124,152,96,98,102,173,405,63,94,74,213,196
2021년09월_계_40~49세,"4,624","1,302",335,322,179,138,207,299,752,127,140,116,355,352
2021년09월_계_50~59세,"8,087","1,780",699,700,330,329,374,633,"1,035",276,274,259,829,569
2021년09월_계_60~69세,"9,283","1,725",644,784,444,438,519,794,"1,154",396,391,396,990,608
2021년09월_계_70~79세,"6,336","1,138",452,580,306,298,355,587,731,352,302,214,625,396
2021년09월_계_80~89세,"4,491",647,252,407,282,276,284,392,519,273,241,127,511,280
2021년09월_계_90~99세,794,95,47,75,39,44,68,72,108,57,39,22,92,36
2021년09월_계_100세 이상,16,1,2,1,0,3,1,3,1,2,0,0,2,0
2021년09월_남_총인구수,"21,785","4,828","1,541","1,723",948,899,"1,092","1,725","2,919",830,832,749,"2,128","1,571"
2021년09월_남_연령구간인구수,"21,785","4,828","1,541","1,723",948,899,"1,092","1,725","2,919",830,832,749,"2,128","1,571"
2021년09월_남_0~9세,869,267,43,64,34,24,31,44,145,13,27,27,82,68
2021년09월_남_10~19세,"1,486",451,109,102,54,34,56,75,242,26,46,76,126,89
2021년09월_남_20~29세,"1,834",523,118,121,66,55,86,147,263,48,45,39,138,185
2021년09월_남_30~39세,"1,406",409,62,83,52,52,61,115,204,38,53,41,117,119
2021년09월_남_40~49세,"2,575",666,179,181,102,90,121,174,414,77,81,69,204,217
2021년09월_남_50~59세,"4,453",953,396,366,181,169,210,371,548,156,165,141,465,332
2021년09월_남_60~69세,"4,816",853,344,411,237,236,272,397,585,210,212,211,532,316
2021년09월_남_70~79세,"2,799",484,190,244,135,145,158,259,335,163,130,108,288,160
2021년09월_남_80~89세,"1,383",204,86,143,74,82,86,128,158,90,65,33,158,76
2021년09월_남_90~99세,159,18,13,8,13,9,11,15,25,9,8,4,17,9
2021년09월_남_100세 이상,5,0,1,0,0,3,0,0,0,0,0,0,1,0
2021년09월_여_총인구수,"21,865","4,959","1,505","1,755",982,938,"1,123","1,680","2,975",876,869,688,"2,094","1,421"
2021년09월_여_연령구간인구수,"21,865","4,959","1,505","1,755",982,938,"1,123","1,680","2,975",876,869,688,"2,094","1,421"
2021년09월_여_0~9세,788,255,39,37,19,27,21,37,177,8,34,22,66,46
2021년09월_여_10~19세,"1,234",407,89,75,33,32,66,72,188,36,36,36,103,61
2021년09월_여_20~29세,"1,242",420,93,58,48,41,45,77,174,29,32,29,90,106
2021년09월_여_30~39세,"1,160",367,62,69,44,46,41,58,201,25,41,33,96,77
2021년09월_여_40~49세,"2,049",636,156,141,77,48,86,125,338,50,59,47,151,135
2021년09월_여_50~59세,"3,634",827,303,334,149,160,164,262,487,120,109,118,364,237
2021년09월_여_60~69세,"4,467",872,300,373,207,202,247,397,569,186,179,185,458,292
2021년09월_여_70~79세,"3,537",654,262,336,171,153,197,328,396,189,172,106,337,236
2021년09월_여_80~89세,"3,108",443,166,264,208,194,198,264,361,183,176,94,353,204
2021년09월_여_90~99세,635,77,34,67,26,35,57,57,83,48,31,18,75,27
2021년09월_여_100세 이상,11,1,1,1,0,0,1,3,1,2,0,0,1,0
