,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2021년10월_계_총인구수,"487,357","24,467","15,173","29,356","28,957","16,942","35,467","33,270","15,153","25,857","18,210","22,616","17,923","23,127","22,543","22,241","15,358","17,264","23,539","22,364","30,616","26,914"
2021년10월_계_연령구간인구수,"487,357","24,467","15,173","29,356","28,957","16,942","35,467","33,270","15,153","25,857","18,210","22,616","17,923","23,127","22,543","22,241","15,358","17,264","23,539","22,364","30,616","26,914"
2021년10월_계_0~9세,"20,229","1,120","1,191","1,866","1,068",620,"1,191","1,924",385,"1,022",928,643,519,734,761,339,"1,099",615,655,797,"1,591","1,161"
2021년10월_계_10~19세,"27,419","1,434","1,131","2,827","1,321",803,"1,577","2,652",563,"1,499",799,806,811,"1,034","1,046",508,"1,397",817,959,"1,402","2,226","1,807"
2021년10월_계_20~29세,"108,486","4,817","1,806","3,784","7,519","5,577","11,597","5,354","4,440","5,821","3,917","6,355","4,398","5,523","5,842","8,563","1,733","3,988","6,012","2,633","4,755","4,052"
2021년10월_계_30~39세,"85,657","4,018","2,505","3,721","5,920","3,547","6,935","5,176","3,016","4,927","3,661","4,635","3,165","4,571","3,988","5,769","1,786","3,204","4,867","2,484","4,160","3,602"
2021년10월_계_40~49세,"66,015","3,305","2,415","4,847","3,585","1,976","3,977","5,088","1,709","3,490","2,262","2,745","2,189","3,151","2,807","2,462","2,859","2,275","3,490","3,073","4,535","3,775"
2021년10월_계_50~59세,"67,047","3,406","2,294","4,776","3,452","1,644","3,807","4,851","1,766","3,483","2,560","2,725","2,405","3,085","3,148","1,808","2,581","2,351","3,209","4,056","4,890","4,750"
2021년10월_계_60~69세,"60,066","3,371","1,964","3,948","3,204","1,393","3,365","4,383","1,692","3,006","2,271","2,550","2,265","2,777","2,664","1,506","2,105","2,186","2,409","4,121","4,708","4,178"
2021년10월_계_70~79세,"36,697","2,108","1,203","2,467","2,074",967,"2,176","2,722","1,098","1,847","1,294","1,527","1,505","1,578","1,625",917,"1,261","1,259","1,298","2,556","2,689","2,526"
2021년10월_계_80~89세,"13,986",781,591,993,725,376,745,"1,003",441,688,458,569,593,595,591,329,482,503,575,"1,078",929,941
2021년10월_계_90~99세,"1,657",104,70,122,83,35,94,113,38,72,57,56,69,72,67,35,53,64,65,158,115,115
2021년10월_계_100세 이상,98,3,3,5,6,4,3,4,5,2,3,5,4,7,4,5,2,2,0,6,18,7
2021년10월_남_총인구수,"244,844","12,033","7,381","14,160","14,058","8,491","17,095","16,222","7,268","12,595","8,797","11,728","9,058","12,750","11,328","11,778","7,519","8,716","14,182","11,196","14,972","13,517"
2021년10월_남_연령구간인구수,"244,844","12,033","7,381","14,160","14,058","8,491","17,095","16,222","7,268","12,595","8,797","11,728","9,058","12,750","11,328","11,778","7,519","8,716","14,182","11,196","14,972","13,517"
2021년10월_남_0~9세,"10,374",556,623,971,550,316,584,"1,013",213,531,486,335,250,369,406,175,540,311,340,423,803,579
2021년10월_남_10~19세,"14,004",749,579,"1,468",657,388,771,"1,352",274,770,378,413,409,532,554,257,712,416,485,745,"1,123",972
2021년10월_남_20~29세,"52,739","2,305",922,"1,890","3,378","2,658","5,149","2,520","1,863","2,743","1,777","3,228","2,267","3,077","2,770","4,172",888,"1,803","3,516","1,401","2,330","2,082"
2021년10월_남_30~39세,"47,509","2,193","1,244","1,863","3,176","1,944","3,707","2,644","1,641","2,568","1,942","2,752","1,816","2,855","2,273","3,394",860,"1,766","3,314","1,408","2,170","1,979"
2021년10월_남_40~49세,"35,291","1,724","1,228","2,385","1,866","1,060","2,071","2,622",917,"1,789","1,148","1,510","1,186","1,921","1,456","1,425","1,444","1,201","2,356","1,649","2,321","2,012"
2021년10월_남_50~59세,"33,938","1,628","1,130","2,333","1,708",862,"1,911","2,429",883,"1,695","1,192","1,333","1,213","1,637","1,577","1,035","1,322","1,275","2,041","2,048","2,379","2,307"
2021년10월_남_60~69세,"27,991","1,560",891,"1,782","1,475",664,"1,558","1,980",793,"1,377","1,026","1,169",999,"1,334","1,266",730,962,"1,083","1,255","1,917","2,166","2,004"
2021년10월_남_70~79세,"16,711",975,516,"1,067",901,435,996,"1,220",483,806,603,730,676,754,736,423,582,617,601,"1,146","1,266","1,178"
2021년10월_남_80~89세,"5,872",319,230,362,322,151,320,425,190,294,232,242,232,258,275,161,196,222,256,421,382,382
2021년10월_남_90~99세,395,24,17,38,23,11,27,16,10,22,13,15,9,13,14,5,12,22,18,37,27,22
2021년10월_남_100세 이상,20,0,1,1,2,2,1,1,1,0,0,1,1,0,1,1,1,0,0,1,5,0
2021년10월_여_총인구수,"242,513","12,434","7,792","15,196","14,899","8,451","18,372","17,048","7,885","13,262","9,413","10,888","8,865","10,377","11,215","10,463","7,839","8,548","9,357","11,168","15,644","13,397"
2021년10월_여_연령구간인구수,"242,513","12,434","7,792","15,196","14,899","8,451","18,372","17,048","7,885","13,262","9,413","10,888","8,865","10,377","11,215","10,463","7,839","8,548","9,357","11,168","15,644","13,397"
