카테고리,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2021년01월_계_총인구수,"231,241","26,396","5,969","6,970","11,966","10,422","5,370","50,285","9,769","27,215","27,699","49,180"
2021년01월_계_연령구간인구수,"231,241","26,396","5,969","6,970","11,966","10,422","5,370","50,285","9,769","27,215","27,699","49,180"
2021년01월_계_0~9세,"19,947","1,380",147,381,624,482,206,"4,871",639,"1,935","2,289","6,993"
2021년01월_계_10~19세,"24,137","2,546",320,398,862,539,271,"7,051",762,"2,674","3,506","5,208"
2021년01월_계_20~29세,"27,498","3,263",672,799,"1,293","1,105",586,"5,422","1,541","3,538","3,943","5,336"
2021년01월_계_30~39세,"28,151","2,329",459,781,"1,164","1,074",447,"5,425","1,195","2,872","3,014","9,391"
2021년01월_계_40~49세,"39,558","3,918",673,816,"1,694","1,143",633,"10,282","1,375","4,387","5,093","9,544"
2021년01월_계_50~59세,"38,204","5,188","1,269","1,250","2,479","1,802","1,070","7,365","1,790","5,445","4,695","5,851"
2021년01월_계_60~69세,"29,109","4,255","1,365","1,397","2,172","2,198","1,103","5,084","1,344","3,652","2,512","4,027"
2021년01월_계_70~79세,"16,339","2,267",677,706,"1,068","1,300",671,"3,355",734,"1,855","1,660","2,046"
2021년01월_계_80~89세,"7,193","1,093",324,366,528,628,329,"1,262",335,759,887,682
2021년01월_계_90~99세,"1,041",150,60,72,77,143,50,161,42,93,96,97
2021년01월_계_100세 이상,64,7,3,4,5,8,4,7,12,5,4,5
2021년01월_남_총인구수,"117,346","13,346","3,394","3,897","6,446","5,338","2,816","24,597","5,147","13,820","13,730","24,815"
2021년01월_남_연령구간인구수,"117,346","13,346","3,394","3,897","6,446","5,338","2,816","24,597","5,147","13,820","13,730","24,815"
2021년01월_남_0~9세,"10,158",683,74,178,312,257,105,"2,460",318,998,"1,177","3,596"
2021년01월_남_10~19세,"12,274","1,298",172,211,459,298,150,"3,537",393,"1,392","1,794","2,570"
2021년01월_남_20~29세,"14,761","1,798",406,513,747,664,319,"2,752",893,"1,866","2,066","2,737"
2021년01월_남_30~39세,"14,541","1,253",292,475,658,595,254,"2,615",651,"1,526","1,493","4,729"
2021년01월_남_40~49세,"20,375","1,996",424,492,966,615,357,"5,073",739,"2,261","2,515","4,937"
2021년01월_남_50~59세,"20,053","2,702",777,739,"1,382",889,564,"3,845",976,"2,797","2,409","2,973"
2021년01월_남_60~69세,"14,627","2,160",767,786,"1,179","1,088",614,"2,260",690,"1,863","1,226","1,994"
2021년01월_남_70~79세,"7,558","1,034",345,352,513,646,313,"1,516",340,817,671,"1,011"
2021년01월_남_80~89세,"2,748",396,122,135,209,250,131,496,133,278,345,253
2021년01월_남_90~99세,239,26,15,14,21,32,8,43,12,22,31,15
2021년01월_남_100세 이상,12,0,0,2,0,4,1,0,2,0,3,0
2021년01월_여_총인구수,"113,895","13,050","2,575","3,073","5,520","5,084","2,554","25,688","4,622","13,395","13,969","24,365"
2021년01월_여_연령구간인구수,"113,895","13,050","2,575","3,073","5,520","5,084","2,554","25,688","4,622","13,395","13,969","24,365"
2021년01월_여_0~9세,"9,789",697,73,203,312,225,101,"2,411",321,937,"1,112","3,397"
2021년01월_여_10~19세,"11,863","1,248",148,187,403,241,121,"3,514",369,"1,282","1,712","2,638"
2021년01월_여_20~29세,"12,737","1,465",266,286,546,441,267,"2,670",648,"1,672","1,877","2,599"
2021년01월_여_30~39세,"13,610","1,076",167,306,506,479,193,"2,810",544,"1,346","1,521","4,662"
2021년01월_여_40~49세,"19,183","1,922",249,324,728,528,276,"5,209",636,"2,126","2,578","4,607"
2021년01월_여_50~59세,"18,151","2,486",492,511,"1,097",913,506,"3,520",814,"2,648","2,286","2,878"
2021년01월_여_60~69세,"14,482","2,095",598,611,993,"1,110",489,"2,824",654,"1,789","1,286","2,033"
2021년01월_여_70~79세,"8,781","1,233",332,354,555,654,358,"1,839",394,"1,038",989,"1,035"
2021년01월_여_80~89세,"4,445",697,202,231,319,378,198,766,202,481,542,429
2021년01월_여_90~99세,802,124,45,58,56,111,42,118,30,71,65,82
2021년01월_여_100세 이상,52,7,3,2,5,4,3,7,10,5,1,5
