,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2021년05월_계_총인구수,"341,730","7,524","10,580","9,904","11,853","6,486","13,086","12,270","7,399","14,062","13,699","4,079","21,581","14,660","15,793","18,073","15,432","43,162","11,198","21,263","29,311","18,755","21,560"
2021년05월_계_연령구간인구수,"341,730","7,524","10,580","9,904","11,853","6,486","13,086","12,270","7,399","14,062","13,699","4,079","21,581","14,660","15,793","18,073","15,432","43,162","11,198","21,263","29,311","18,755","21,560"
2021년05월_계_0~9세,"24,544",278,959,927,362,210,744,883,156,512,670,182,"2,192",637,821,821,742,"3,660",626,"2,379","2,463","3,009","1,311"
2021년05월_계_10~19세,"26,360",403,845,633,639,384,878,"1,020",339,804,965,219,"2,304",889,921,"1,236",934,"3,693",645,"2,674","2,946","1,513","1,476"
2021년05월_계_20~29세,"41,273",867,"1,010","1,067","1,720",772,"1,514","1,561","1,290","1,839","1,722",599,"2,230","1,928","2,139","2,313","1,884","5,161","1,380","2,166","3,832","1,904","2,375"
2021년05월_계_30~39세,"43,472",653,"1,369","1,577","1,388",555,"1,481","1,496","1,066","1,360","1,496",448,"2,735","1,493","1,881","1,677","1,637","5,636","1,333","3,012","4,073","4,508","2,598"
2021년05월_계_40~49세,"51,054",938,"1,818","1,383","1,554",821,"1,878","1,910",939,"1,687","1,930",443,"4,006","1,744","2,013","2,229","1,960","6,720","1,429","4,221","4,883","3,545","3,003"
2021년05월_계_50~59세,"56,662","1,303","1,560","1,500","2,283","1,211","2,191","2,155","1,259","2,548","2,290",733,"3,273","2,867","2,900","3,481","2,835","6,949","2,162","2,891","4,651","1,770","3,850"
2021년05월_계_60~69세,"52,816","1,439","1,440","1,495","2,146","1,303","2,150","1,715","1,247","2,710","2,479",740,"2,773","2,913","2,796","3,378","2,857","6,420","2,019","2,006","3,711","1,532","3,547"
2021년05월_계_70~79세,"30,336","1,031","1,025",876,"1,218",810,"1,453",964,733,"1,730","1,427",462,"1,407","1,501","1,562","1,929","1,758","3,247","1,108","1,312","1,912",692,"2,179"
2021년05월_계_80~89세,"13,582",540,489,397,485,383,715,506,340,780,636,226,578,627,685,919,739,"1,482",440,543,760,244,"1,068"
2021년05월_계_90~99세,"1,550",66,57,46,57,33,77,52,27,81,81,27,79,60,75,87,83,189,54,58,78,36,147
2021년05월_계_100세 이상,81,6,8,3,1,4,5,8,3,11,3,0,4,1,0,3,3,5,2,1,2,2,6
2021년05월_남_총인구수,"168,209","3,724","5,007","4,913","6,004","3,072","6,232","6,056","3,699","6,980","6,566","2,172","10,585","7,296","7,944","8,712","7,741","21,165","5,649","10,312","14,520","9,273","10,587"
2021년05월_남_연령구간인구수,"168,209","3,724","5,007","4,913","6,004","3,072","6,232","6,056","3,699","6,980","6,566","2,172","10,585","7,296","7,944","8,712","7,741","21,165","5,649","10,312","14,520","9,273","10,587"
2021년05월_남_0~9세,"12,517",147,507,493,185,103,390,467,76,287,319,84,"1,086",320,426,409,373,"1,906",311,"1,194","1,266","1,535",633
2021년05월_남_10~19세,"13,839",228,445,341,348,214,478,581,194,439,496,123,"1,172",467,481,651,500,"1,956",351,"1,322","1,520",767,765
2021년05월_남_20~29세,"22,047",476,527,547,890,435,808,838,607,"1,004",901,398,"1,209","1,072","1,162","1,268","1,043","2,739",775,"1,107","2,039",880,"1,322"
2021년05월_남_30~39세,"23,008",391,678,834,785,301,762,753,612,782,817,266,"1,338",852,"1,057",893,931,"2,889",736,"1,467","2,149","2,308","1,407"
2021년05월_남_40~49세,"26,163",511,922,704,871,418,966,915,543,882,977,251,"1,997",944,"1,082","1,138","1,061","3,429",768,"2,026","2,411","1,883","1,464"
2021년05월_남_50~59세,"27,634",675,734,739,"1,180",559,"1,030","1,080",642,"1,260","1,093",381,"1,603","1,379","1,398","1,613","1,451","3,386","1,048","1,480","2,257",801,"1,845"
2021년05월_남_60~69세,"24,503",666,619,690,"1,013",565,924,813,560,"1,243","1,104",380,"1,319","1,364","1,368","1,535","1,339","2,957",960,905,"1,735",715,"1,729"
2021년05월_남_70~79세,"13,245",422,400,397,531,331,587,406,334,744,605,198,634,669,698,850,780,"1,407",488,588,854,304,"1,018"
2021년05월_남_80~89세,"4,892",198,157,160,182,137,267,186,125,314,231,86,212,215,256,336,249,462,196,209,265,74,375
