,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2020년03월_계_총인구수,"272,319","33,011","10,590","24,924","19,170","15,513","38,473","10,885","28,846","17,001","15,137","28,623","14,822","15,324"
2020년03월_계_연령구간인구수,"272,319","33,011","10,590","24,924","19,170","15,513","38,473","10,885","28,846","17,001","15,137","28,623","14,822","15,324"
2020년03월_계_0~9세,"20,195","2,723",386,"2,658","1,062",934,"2,579",856,"2,694","1,474",847,"2,074","1,033",875
2020년03월_계_10~19세,"25,347","2,891",700,"3,175","1,141","1,499","2,959","1,019","4,208","1,621","1,047","2,925","1,099","1,063"
2020년03월_계_20~29세,"33,535","4,088","1,221","2,598","2,846","1,819","5,608","1,343","3,284","1,803","1,808","3,388","1,751","1,978"
2020년03월_계_30~39세,"34,024","4,461",953,"3,238","3,138","1,512","5,275","1,437","3,042","2,024","1,738","3,351","1,903","1,952"
2020년03월_계_40~49세,"43,452","5,067","1,358","4,975","3,061","2,215","5,628","1,788","5,757","2,912","2,139","4,585","2,036","1,931"
2020년03월_계_50~59세,"45,147","5,350","1,898","3,587","2,985","2,620","6,668","1,723","4,721","2,601","2,650","4,971","2,558","2,815"
2020년03월_계_60~69세,"39,865","4,759","2,055","2,598","2,560","2,501","5,675","1,422","3,153","2,485","2,764","4,412","2,599","2,882"
2020년03월_계_70~79세,"21,714","2,614","1,355","1,465","1,606","1,604","2,924",904,"1,459","1,517","1,533","2,066","1,325","1,342"
2020년03월_계_80~89세,"7,859",921,570,538,650,689,"1,020",346,456,505,542,750,451,421
2020년03월_계_90~99세,"1,045",121,73,84,94,113,120,45,67,54,63,89,61,61
2020년03월_계_100세 이상,136,16,21,8,27,7,17,2,5,5,6,12,6,4
2020년03월_남_총인구수,"132,743","16,180","5,152","12,141","9,092","7,488","18,837","5,240","13,987","8,439","7,495","13,966","7,232","7,494"
2020년03월_남_연령구간인구수,"132,743","16,180","5,152","12,141","9,092","7,488","18,837","5,240","13,987","8,439","7,495","13,966","7,232","7,494"
2020년03월_남_0~9세,"10,421","1,386",198,"1,365",518,452,"1,334",438,"1,359",843,475,"1,061",536,456
2020년03월_남_10~19세,"13,298","1,574",378,"1,752",568,810,"1,548",484,"2,109",886,560,"1,524",535,570
2020년03월_남_20~29세,"17,608","2,207",659,"1,317","1,294",998,"2,856",714,"1,770",960,953,"1,863",927,"1,090"
2020년03월_남_30~39세,"17,082","2,253",536,"1,494","1,575",770,"2,710",725,"1,412",988,922,"1,694",970,"1,033"
2020년03월_남_40~49세,"21,140","2,499",696,"2,397","1,519","1,053","2,715",876,"2,639","1,486","1,129","2,154","1,044",933
2020년03월_남_50~59세,"21,401","2,497",905,"1,740","1,442","1,211","3,173",823,"2,341","1,273","1,237","2,328","1,179","1,252"
2020년03월_남_60~69세,"18,567","2,199",975,"1,189","1,187","1,153","2,692",634,"1,525","1,135","1,272","2,070","1,219","1,317"
2020년03월_남_70~79세,"10,032","1,187",579,669,714,740,"1,357",404,688,678,718,984,643,671
2020년03월_남_80~89세,"2,937",340,211,200,250,271,419,135,130,181,213,265,163,159
2020년03월_남_90~99세,234,30,15,17,22,27,32,6,13,9,14,23,14,12
2020년03월_남_100세 이상,23,8,0,1,3,3,1,1,1,0,2,0,2,1
2020년03월_여_총인구수,"139,576","16,831","5,438","12,783","10,078","8,025","19,636","5,645","14,859","8,562","7,642","14,657","7,590","7,830"
2020년03월_여_연령구간인구수,"139,576","16,831","5,438","12,783","10,078","8,025","19,636","5,645","14,859","8,562","7,642","14,657","7,590","7,830"
2020년03월_여_0~9세,"9,774","1,337",188,"1,293",544,482,"1,245",418,"1,335",631,372,"1,013",497,419
2020년03월_여_10~19세,"12,049","1,317",322,"1,423",573,689,"1,411",535,"2,099",735,487,"1,401",564,493
2020년03월_여_20~29세,"15,927","1,881",562,"1,281","1,552",821,"2,752",629,"1,514",843,855,"1,525",824,888
2020년03월_여_30~39세,"16,942","2,208",417,"1,744","1,563",742,"2,565",712,"1,630","1,036",816,"1,657",933,919
2020년03월_여_40~49세,"22,312","2,568",662,"2,578","1,542","1,162","2,913",912,"3,118","1,426","1,010","2,431",992,998
2020년03월_여_50~59세,"23,746","2,853",993,"1,847","1,543","1,409","3,495",900,"2,380","1,328","1,413","2,643","1,379","1,563"
2020년03월_여_60~69세,"21,298","2,560","1,080","1,409","1,373","1,348","2,983",788,"1,628","1,350","1,492","2,342","1,380","1,565"
2020년03월_여_70~79세,"11,682","1,427",776,796,892,864,"1,567",500,771,839,815,"1,082",682,671
2020년03월_여_80~89세,"4,922",581,359,338,400,418,601,211,326,324,329,485,288,262
2020년03월_여_90~99세,811,91,58,67,72,86,88,39,54,45,49,66,47,49
2020년03월_여_100세 이상,113,8,21,7,24,4,16,1,4,5,4,12,4,3
