,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2021년10월_계_총인구수,"2,627,925","503,179","230,407","272,772","252,403","140,149","157,317","413,366","101,929","101,681","95,677","71,223","268,431","22,894","50,739","24,605","16,330","35,497","41,736","30,694","42,781","113,843","55,809","30,807","47,941","8,894"
2021년10월_계_연령구간인구수,"2,627,925","503,179","230,407","272,772","252,403","140,149","157,317","413,366","101,929","101,681","95,677","71,223","268,431","22,894","50,739","24,605","16,330","35,497","41,736","30,694","42,781","113,843","55,809","30,807","47,941","8,894"
2021년10월_계_0~9세,"180,301","37,674","16,489","21,185","15,511","10,023","10,137","39,134","5,772","5,595","4,914","3,858","19,857",616,"1,823",935,683,"1,499","1,413","1,327","1,848","8,807","4,487","1,245","2,762",381
2021년10월_계_10~19세,"222,349","46,185","20,929","25,256","20,259","12,288","13,370","44,180","8,597","6,539","7,386","5,449","22,926",915,"2,177","1,160",902,"2,021","2,196","1,904","2,191","11,389","4,480","1,816","3,566",453
2021년10월_계_20~29세,"277,409","56,483","26,489","29,994","25,973","14,196","16,363","54,997","9,534","9,685","7,685","6,137","36,554","1,393","2,878","1,582","1,066","2,276","2,582","2,318","3,182","11,592","4,042","1,805","4,276",810
2021년10월_계_30~39세,"281,227","57,754","25,958","31,796","24,727","14,575","15,142","63,468","8,099","9,108","7,047","5,507","33,122","1,218","3,016","1,556",990,"2,180","2,601","2,084","3,148","13,886","5,324","1,779","4,087",809
2021년10월_계_40~49세,"377,048","76,571","35,400","41,171","35,860","19,175","21,607","72,583","13,432","12,298","10,967","8,567","41,586","2,018","4,444","2,281","1,603","3,696","4,258","3,579","4,533","20,515","7,209","3,029","6,017","1,220"
2021년10월_계_50~59세,"454,444","89,141","40,907","48,234","46,628","23,508","25,731","69,979","17,336","18,075","16,225","11,862","45,873","4,132","8,243","4,507","2,832","5,982","7,099","5,752","8,084","19,891","7,934","5,526","8,324","1,780"
2021년10월_계_60~69세,"430,951","82,586","38,305","44,281","43,130","23,287","26,776","42,982","19,173","19,532","19,068","14,016","37,287","5,563","12,130","5,708","3,621","7,552","9,885","6,548","9,811","14,811","9,792","7,106","8,778","1,809"
2021년10월_계_70~79세,"243,375","38,164","17,798","20,366","24,972","13,415","16,651","16,383","11,784","12,715","12,381","9,172","20,163","4,001","8,880","3,967","2,583","5,794","6,665","4,117","5,892","7,664","6,749","4,659","5,556","1,048"
2021년10월_계_80~89세,"140,156","16,262","7,151","9,111","13,444","8,388","10,008","8,384","7,051","7,234","8,595","5,762","9,808","2,679","6,284","2,557","1,764","3,918","4,390","2,708","3,567","4,597","5,075","3,308","3,875",498
2021년10월_계_90~99세,"20,017","2,286",940,"1,346","1,837","1,260","1,487","1,238","1,096",877,"1,370",852,"1,224",344,838,340,269,557,636,348,516,669,694,508,688,83
2021년10월_계_100세 이상,648,73,41,32,62,34,45,38,55,23,39,41,31,15,26,12,17,22,11,9,9,22,23,26,12,3
2021년10월_남_총인구수,"1,324,128","254,811","119,172","135,639","126,297","70,298","77,812","212,427","50,550","51,675","46,928","34,983","135,001","11,723","24,813","12,253","8,137","16,847","20,495","15,769","22,174","59,251","27,405","15,560","24,052","4,867"
2021년10월_남_연령구간인구수,"1,324,128","254,811","119,172","135,639","126,297","70,298","77,812","212,427","50,550","51,675","46,928","34,983","135,001","11,723","24,813","12,253","8,137","16,847","20,495","15,769","22,174","59,251","27,405","15,560","24,052","4,867"
2021년10월_남_0~9세,"92,810","19,544","8,542","11,002","7,918","5,184","5,279","20,099","3,013","2,836","2,561","1,974","10,081",329,962,482,358,748,720,689,922,"4,559","2,278",646,"1,434",194
2021년10월_남_10~19세,"116,727","24,205","10,992","13,213","10,554","6,664","6,991","23,012","4,482","3,510","3,912","2,957","11,917",500,"1,140",617,466,"1,041","1,118","1,024","1,206","5,949","2,362",968,"1,903",229
2021년10월_남_20~29세,"157,167","32,537","15,782","16,755","14,676","7,937","8,930","30,819","5,548","5,713","4,436","3,461","19,879",839,"1,666",953,624,"1,329","1,516","1,349","1,924","6,633","2,266","1,092","2,539",501
2021년10월_남_30~39세,"150,415","30,756","14,141","16,615","13,209","7,665","7,927","33,937","4,353","4,929","3,777","2,908","17,841",710,"1,672",899,536,"1,143","1,412","1,134","1,702","7,530","2,672",977,"2,246",480
2021년10월_남_40~49세,"196,429","38,678","18,420","20,258","18,660","10,112","11,150","36,637","6,907","6,772","5,797","4,585","21,335","1,187","2,593","1,303",956,"2,020","2,346","2,014","2,693","11,026","3,868","1,758","3,284",748
2021년10월_남_50~59세,"235,682","44,808","21,307","23,501","24,122","12,263","13,250","35,684","8,941","9,699","8,613","6,170","22,982","2,353","4,487","2,418","1,586","3,230","3,778","3,265","4,475","10,764","4,171","2,998","4,564","1,061"
2021년10월_남_60~69세,"214,830","40,434","18,917","21,517","21,358","11,520","13,018","22,077","9,240","9,872","9,417","6,857","18,270","2,956","6,139","2,842","1,835","3,645","5,017","3,470","5,187","7,733","4,913","3,722","4,366",942
2021년10월_남_70~79세,"109,584","17,976","8,514","9,462","11,161","5,911","7,488","7,303","5,323","5,773","5,431","4,014","9,023","1,863","3,896","1,782","1,128","2,373","3,053","1,847","2,767","3,397","3,027","2,116","2,439",493
2021년10월_남_80~89세,"46,331","5,450","2,390","3,060","4,281","2,767","3,460","2,620","2,501","2,366","2,719","1,881","3,394",912,"2,073",888,585,"1,214","1,409",893,"1,187","1,494","1,714","1,162","1,162",199
2021년10월_남_90~99세,"4,063",411,159,252,350,272,310,236,233,199,261,167,273,73,182,68,61,101,125,80,110,164,132,120,115,20
2021년10월_남_100세 이상,90,12,8,4,8,3,9,3,9,6,4,9,6,1,3,1,2,3,1,4,1,2,2,1,0,0
2021년10월_여_총인구수,"1,303,797","248,368","111,235","137,133","126,106","69,851","79,505","200,939","51,379","50,006","48,749","36,240","133,430","11,171","25,926","12,352","8,193","18,650","21,241","14,925","20,607","54,592","28,404","15,247","23,889","4,027"
2021년10월_여_연령구간인구수,"1,303,797","248,368","111,235","137,133","126,106","69,851","79,505","200,939","51,379","50,006","48,749","36,240","133,430","11,171","25,926","12,352","8,193","18,650","21,241","14,925","20,607","54,592","28,404","15,247","23,889","4,027"
2021년10월_여_0~9세,"87,491","18,130","7,947","10,183","7,593","4,839","4,858","19,035","2,759","2,759","2,353","1,884","9,776",287,861,453,325,751,693,638,926,"4,248","2,209",599,"1,328",187
2021년10월_여_10~19세,"105,622","21,980","9,937","12,043","9,705","5,624","6,379","21,168","4,115","3,029","3,474","2,492","11,009",415,"1,037",543,436,980,"1,078",880,985,"5,440","2,118",848,"1,663",224
2021년10월_여_20~29세,"120,242","23,946","10,707","13,239","11,297","6,259","7,433","24,178","3,986","3,972","3,249","2,676","16,675",554,"1,212",629,442,947,"1,066",969,"1,258","4,959","1,776",713,"1,737",309
2021년10월_여_30~39세,"130,812","26,998","11,817","15,181","11,518","6,910","7,215","29,531","3,746","4,179","3,270","2,599","15,281",508,"1,344",657,454,"1,037","1,189",950,"1,446","6,356","2,652",802,"1,841",329
2021년10월_여_40~49세,"180,619","37,893","16,980","20,913","17,200","9,063","10,457","35,946","6,525","5,526","5,170","3,982","20,251",831,"1,851",978,647,"1,676","1,912","1,565","1,840","9,489","3,341","1,271","2,733",472
2021년10월_여_50~59세,"218,762","44,333","19,600","24,733","22,506","11,245","12,481","34,295","8,395","8,376","7,612","5,692","22,891","1,779","3,756","2,089","1,246","2,752","3,321","2,487","3,609","9,127","3,763","2,528","3,760",719
2021년10월_여_60~69세,"216,121","42,152","19,388","22,764","21,772","11,767","13,758","20,905","9,933","9,660","9,651","7,159","19,017","2,607","5,991","2,866","1,786","3,907","4,868","3,078","4,624","7,078","4,879","3,384","4,412",867
2021년10월_여_70~79세,"133,791","20,188","9,284","10,904","13,811","7,504","9,163","9,080","6,461","6,942","6,950","5,158","11,140","2,138","4,984","2,185","1,455","3,421","3,612","2,270","3,125","4,267","3,722","2,543","3,117",555
2021년10월_여_80~89세,"93,825","10,812","4,761","6,051","9,163","5,621","6,548","5,764","4,550","4,868","5,876","3,881","6,414","1,767","4,211","1,669","1,179","2,704","2,981","1,815","2,380","3,103","3,361","2,146","2,713",299
2021년10월_여_90~99세,"15,954","1,875",781,"1,094","1,487",988,"1,177","1,002",863,678,"1,109",685,951,271,656,272,208,456,511,268,406,505,562,388,573,63
2021년10월_여_100세 이상,558,61,33,28,54,31,36,35,46,17,35,32,25,14,23,11,15,19,10,5,8,20,21,25,12,3
